RG	RawReads	ReadsL35	FinalNoPCRDups	AvrgTimesSeen	FinalReads	EukaTaxa	Order	Family
simadna_1000.fq	4999210	4999210	2829734	 1.8	155408	Proboscidea	Proboscidea	null
simadna_1000.fq	4999210	4999210	2829734	 1.8	18910	Felidae	Carnivora	Felidae
simadna_1000.fq	4999210	4999210	2829734	 1.8	216546	Carnivora	Carnivora	null
simadna_1000.fq	4999210	4999210	2829734	 1.8	39545	Homininae	Primates	Hominidae
simadna_1000.fq	4999210	4999210	2829734	 1.8	437741	Suina	Artiodactyla	null
simadna_1000.fq	4999210	4999210	2829734	 1.8	682184	Bovidae	Artiodactyla	Bovidae
simadna_hd_1000.fq	4999234	4999234	4614860	 1.1	1106	Caniformia	Carnivora	null
simadna_hd_1000.fq	4999234	4999234	4614860	 1.1	117860	Proboscidea	Proboscidea	null
simadna_hd_1000.fq	4999234	4999234	4614860	 1.1	1274	Phocidae	Carnivora	Phocidae
simadna_hd_1000.fq	4999234	4999234	4614860	 1.1	132	Hominoidea	Primates	null
simadna_hd_1000.fq	4999234	4999234	4614860	 1.1	136	Macaca	Primates	Cercopithecidae
simadna_hd_1000.fq	4999234	4999234	4614860	 1.1	185	Sciurinae	Rodentia	Sciuridae
simadna_hd_1000.fq	4999234	4999234	4614860	 1.1	1926	Mustelidae	Carnivora	Mustelidae
simadna_hd_1000.fq	4999234	4999234	4614860	 1.1	1937	Canidae	Carnivora	Canidae
simadna_hd_1000.fq	4999234	4999234	4614860	 1.1	2019	Odontoceti	Artiodactyla	null
simadna_hd_1000.fq	4999234	4999234	4614860	 1.1	202092	Carnivora	Carnivora	null
simadna_hd_1000.fq	4999234	4999234	4614860	 1.1	2143	Microchiroptera	Chiroptera	null
simadna_hd_1000.fq	4999234	4999234	4614860	 1.1	22085	Felidae	Carnivora	Felidae
simadna_hd_1000.fq	4999234	4999234	4614860	 1.1	2400	Otariidae	Carnivora	Otariidae
simadna_hd_1000.fq	4999234	4999234	4614860	 1.1	26561	Homininae	Primates	Hominidae
simadna_hd_1000.fq	4999234	4999234	4614860	 1.1	332	Sorex	Eulipotyphla	Soricidae
simadna_hd_1000.fq	4999234	4999234	4614860	 1.1	3424	Eulipotyphla	Eulipotyphla	null
simadna_hd_1000.fq	4999234	4999234	4614860	 1.1	380775	Suina	Artiodactyla	null
simadna_hd_1000.fq	4999234	4999234	4614860	 1.1	382	Cricetidae	Rodentia	Cricetidae
simadna_hd_1000.fq	4999234	4999234	4614860	 1.1	389	Lepilemur	Primates	Lepilemuridae
simadna_hd_1000.fq	4999234	4999234	4614860	 1.1	443	Callosciurinae	Rodentia	Sciuridae
simadna_hd_1000.fq	4999234	4999234	4614860	 1.1	471	Cercopithecidae	Primates	Cercopithecidae
simadna_hd_1000.fq	4999234	4999234	4614860	 1.1	488	Hystricomorpha	Rodentia	null
simadna_hd_1000.fq	4999234	4999234	4614860	 1.1	513	Strepsirrhini	Primates	null
simadna_hd_1000.fq	4999234	4999234	4614860	 1.1	5430	Pecora	Artiodactyla	null
simadna_hd_1000.fq	4999234	4999234	4614860	 1.1	600	Cetacea	Artiodactyla	null
simadna_hd_1000.fq	4999234	4999234	4614860	 1.1	602	Phyllostomidae	Chiroptera	Phyllostomidae
simadna_hd_1000.fq	4999234	4999234	4614860	 1.1	620	Myotis	Chiroptera	Vespertilionidae
simadna_hd_1000.fq	4999234	4999234	4614860	 1.1	706	Rhinolophus	Chiroptera	Rhinolophidae
simadna_hd_1000.fq	4999234	4999234	4614860	 1.1	724141	Bovidae	Artiodactyla	Bovidae
simadna_hd_1000.fq	4999234	4999234	4614860	 1.1	731	Cephalophus	Artiodactyla	Bovidae
simadna_hd_1000.fq	4999234	4999234	4614860	 1.1	766	Mustela	Carnivora	Mustelidae
simadna_hd_1000.fq	4999234	4999234	4614860	 1.1	840	Perissodactyla	Perissodactyla	null
simadna_hd_1000.fq	4999234	4999234	4614860	 1.1	900	Muridae	Rodentia	Muridae
simadna_hd_1000.fq	4999234	4999234	4614860	 1.1	907	Cingulata	Cingulata	null
simadna_md_1000.fq	4999212	4999212	3416403	 1.5	1189	Ursidae	Carnivora	Ursidae
simadna_md_1000.fq	4999212	4999212	3416403	 1.5	1365	Microchiroptera	Chiroptera	null
simadna_md_1000.fq	4999212	4999212	3416403	 1.5	1410	Pecora	Artiodactyla	null
simadna_md_1000.fq	4999212	4999212	3416403	 1.5	154459	Proboscidea	Proboscidea	null
