RG	RawReads	ReadsL35	FinalNoPCRDups	AvrgTimesSeen	Family	Species	ReadsMapped	ReadsDeduped	Ancientness	ReadsDeam1Term	ReadsDeam3Term	Deam5_95CI	Deam3_95CI	Deam5Cond_95CI	Deam3Cond_95CI	MeanFragmentLength	MeanFragmentLength_Deam
simadna_10.fq	499896	499896	499491	 1.0	Bovidae	Addax_nasomaculatus	500	475	-	7	20	3.2 (0.7,9.0)	4.8 (1.3,11.9)	N/A (N/A,N/A)	N/A (N/A,N/A)	45.8	46.5
simadna_10.fq	499896	499896	499491	 1.0	Bovidae	Aepyceros_melampus	530	488	-	9	26	1.8 (0.2,6.2)	6.4 (2.6,12.7)	0.0 (0.0,97.5)	N/A (N/A,N/A)	47.3	47.1
simadna_10.fq	499896	499896	499491	 1.0	Bovidae	Alcelaphus_buselaphus	585	537	-	9	34	3.4 (0.9,8.5)	4.5 (1.5,10.1)	N/A (N/A,N/A)	N/A (N/A,N/A)	46.1	46.7
simadna_10.fq	499896	499896	499491	 1.0	Bovidae	Ammotragus_lervia	520	473	-	15	27	3.8 (1.0,9.4)	11.2 (5.7,19.2)	0.0 (0.0,70.8)	0.0 (0.0,97.5)	46.0	47.6
simadna_10.fq	499896	499896	499491	 1.0	Bovidae	Antidorcas_marsupialis	406	382	-	1	13	1.4 (0.0,7.4)	0.0 (0.0,4.9)	N/A (N/A,N/A)	N/A (N/A,N/A)	46.0	49.0
simadna_10.fq	499896	499896	499491	 1.0	Bovidae	Antilope_cervicapra	516	482	-	8	22	3.0 (0.6,8.5)	5.5 (1.8,12.4)	0.0 (0.0,84.2)	0.0 (0.0,84.2)	46.8	47.5
simadna_10.fq	499896	499896	499491	 1.0	Bovidae	Arabitragus_jayakari	531	484	-	12	29	4.3 (1.2,10.5)	7.3 (3.2,14.0)	0.0 (0.0,97.5)	0.0 (0.0,97.5)	46.3	45.0
simadna_10.fq	499896	499896	499491	 1.0	Bovidae	Beatragus_hunteri	534	491	-	13	28	7.0 (2.9,13.9)	6.3 (2.4,13.2)	0.0 (0.0,97.5)	0.0 (0.0,97.5)	45.7	46.2
simadna_10.fq	499896	499896	499491	 1.0	Bovidae	Bison_bison	6032	5121	-	78	238	3.4 (2.4,4.7)	4.4 (3.2,5.9)	10.0 (0.3,44.5)	9.1 (0.2,41.3)	51.4	51.6
simadna_10.fq	499896	499896	499491	 1.0	Bovidae	Bison_bonasus	6936	5859	-	97	298	3.3 (2.4,4.5)	5.1 (3.9,6.6)	5.3 (0.1,26.0)	16.7 (0.4,64.1)	51.5	50.9
simadna_10.fq	499896	499896	499491	 1.0	Bovidae	Bison_priscus	6138	5202	-	79	242	3.6 (2.6,4.9)	4.3 (3.1,5.7)	10.0 (0.3,44.5)	9.1 (0.2,41.3)	51.3	52.2
simadna_10.fq	499896	499896	499491	 1.0	Bovidae	Bison_schoetensacki	7156	6035	-	95	294	3.5 (2.5,4.7)	4.5 (3.4,5.9)	0.0 (0.0,20.6)	0.0 (0.0,70.8)	51.5	50.6
simadna_10.fq	499896	499896	499491	 1.0	Bovidae	Bootherium_bombifrons	557	510	-	12	27	3.5 (1.0,8.8)	9.0 (4.0,16.9)	0.0 (0.0,84.2)	0.0 (0.0,97.5)	45.9	47.6
simadna_10.fq	499896	499896	499491	 1.0	Bovidae	Bos_frontalis	5458	4647	-	67	219	2.9 (1.9,4.2)	4.4 (3.2,6.0)	11.1 (0.3,48.2)	8.3 (0.2,38.5)	51.0	51.1
simadna_10.fq	499896	499896	499491	 1.0	Bovidae	Bos_gaurus	5444	4624	-	70	222	3.1 (2.1,4.4)	4.6 (3.4,6.2)	11.1 (0.3,48.2)	8.3 (0.2,38.5)	51.0	51.3
simadna_10.fq	499896	499896	499491	 1.0	Bovidae	Bos_grunniens	5635	4807	-	74	242	3.3 (2.3,4.6)	4.8 (3.5,6.4)	10.0 (0.3,44.5)	8.3 (0.2,38.5)	51.1	50.3
simadna_10.fq	499896	499896	499491	 1.0	Bovidae	Bos_grunniens_x_Bos_taurus	5594	4762	-	75	242	3.5 (2.5,4.9)	4.6 (3.4,6.2)	11.1 (0.3,48.2)	10.0 (0.3,44.5)	51.0	50.1
simadna_10.fq	499896	499896	499491	 1.0	Bovidae	Bos_indicus	11155	9211	-	57	183	1.2 (0.8,1.8)	2.1 (1.4,2.8)	12.5 (0.3,52.7)	16.7 (0.4,64.1)	53.2	53.7
simadna_10.fq	499896	499896	499491	 1.0	Bovidae	Bos_javanicus	11635	9573	-	7	21	0.2 (0.0,0.5)	0.2 (0.1,0.6)	N/A (N/A,N/A)	0.0 (0.0,97.5)	53.2	53.5
simadna_10.fq	499896	499896	499491	 1.0	Bovidae	Bos_mutus	5862	4988	-	72	239	3.0 (2.0,4.2)	4.6 (3.4,6.2)	9.1 (0.2,41.3)	9.1 (0.2,41.3)	51.3	50.0
simadna_10.fq	499896	499896	499491	 1.0	Bovidae	Bos_primigenius	11584	9536	-	17	50	0.4 (0.1,0.8)	0.6 (0.3,1.0)	0.0 (0.0,70.8)	0.0 (0.0,84.2)	53.2	54.4
simadna_10.fq	499896	499896	499491	 1.0	Bovidae	Bos_taurus	11634	9572	-	7	24	0.1 (0.0,0.3)	0.3 (0.1,0.7)	N/A (N/A,N/A)	N/A (N/A,N/A)	53.2	53.8
simadna_10.fq	499896	499896	499491	 1.0	Bovidae	Boselaphus_tragocamelus	770	699	-	9	37	2.3 (0.5,6.6)	4.6 (1.7,9.8)	0.0 (0.0,97.5)	N/A (N/A,N/A)	47.8	46.7
simadna_10.fq	499896	499896	499491	 1.0	Bovidae	Bubalus_arnee	1078	964	-	22	62	3.2 (1.2,6.9)	8.0 (4.6,12.6)	0.0 (0.0,84.2)	0.0 (0.0,84.2)	48.1	50.9
simadna_10.fq	499896	499896	499491	 1.0	Bovidae	Bubalus_bubalis	1138	1013	-	24	69	3.6 (1.5,7.3)	7.9 (4.7,12.3)	0.0 (0.0,84.2)	0.0 (0.0,60.2)	48.1	51.4
simadna_10.fq	499896	499896	499491	 1.0	Bovidae	Bubalus_carabanensis	934	839	-	18	47	4.3 (1.7,8.6)	5.9 (3.0,10.3)	0.0 (0.0,97.5)	0.0 (0.0,60.2)	48.2	48.5
simadna_10.fq	499896	499896	499491	 1.0	Bovidae	Bubalus_depressicornis	1013	907	-	16	54	3.2 (1.2,6.9)	5.5 (2.7,9.9)	0.0 (0.0,97.5)	0.0 (0.0,84.2)	48.1	50.4
