RG	FinalReads	EukaTaxa	Order	Family
simadna_100.fq	110876	Bovidae	Artiodactyla	Bovidae
simadna_100.fq	16937	Proboscidea	Proboscidea	null
simadna_100.fq	3906	Felidae	Carnivora	Felidae
simadna_100.fq	4016	Homininae	Primates	Hominidae
simadna_100.fq	40785	Carnivora	Carnivora	null
simadna_100.fq	57058	Suina	Artiodactyla	null
simadna_hd_100.fq	11991	Proboscidea	Proboscidea	null
simadna_hd_100.fq	196	Odontoceti	Artiodactyla	null
simadna_hd_100.fq	209	Mustelidae	Carnivora	Mustelidae
simadna_hd_100.fq	23288	Carnivora	Carnivora	null
simadna_hd_100.fq	2521	Felidae	Carnivora	Felidae
simadna_hd_100.fq	2730	Homininae	Primates	Hominidae
simadna_hd_100.fq	371	Eulipotyphla	Eulipotyphla	null
simadna_hd_100.fq	40293	Suina	Artiodactyla	null
simadna_hd_100.fq	545	Pecora	Artiodactyla	null
simadna_hd_100.fq	73	Cephalophus	Artiodactyla	Bovidae
simadna_hd_100.fq	77	Rhinolophus	Chiroptera	Rhinolophidae
simadna_hd_100.fq	79532	Bovidae	Artiodactyla	Bovidae
simadna_md_100.fq	107897	Bovidae	Artiodactyla	Bovidae
simadna_md_100.fq	16309	Proboscidea	Proboscidea	null
simadna_md_100.fq	214	Pecora	Artiodactyla	null
simadna_md_100.fq	3585	Felidae	Carnivora	Felidae
simadna_md_100.fq	38504	Carnivora	Carnivora	null
simadna_md_100.fq	3872	Homininae	Primates	Hominidae
simadna_md_100.fq	55285	Suina	Artiodactyla	null
