This table contains all individual libraries processed,,,,,,,,,,,,,,,,,"Support for different branches based on sequences covering diagnostic positions. Each shows percent support calculted by the number of sequences covering diagnostic positions supporting the relative branch over the total sequences covering diagnostic positions. Significant assignments (lower 95% binomial confidence >10% support) indicated with ""**"". Note that internal branches were not considered for assignment to a lineage. ",,,,,,,,,,,,,
Lines with the same Index Library ID are due to multiple sequencing runs of the same library,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All deamination rates were computed by looking at C->T substitutions on the three terminal positions of the 5' and 3' ends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Field sample ID,MPI-EVA Sample ID,Sub-sample/ Lysate ID,Indexed Library ID,Raw Sequences,Sequences ≥ 35 bp,"Mapped Sequences (≥ 35 bp, mapping quality ≥ 25)","Unique mapped sequences (≥ 35 bp, mapping quality ≥ 25)",% of sequences identified as hominin,Unique hominin sequences,Duplication rate,5' C->T substitutions [%],3' C->T substitutions [%],5' C->T substitutions [%] (95% binomial confidence intervals),3' C->T substitutions [%] (95% binomial confidence intervals),Ancient hominin mtDNA present, Number of deaminated sequences,Modern human support (all sequences),Modern human support (deaminated sequences only),Neanderthal-Hohlenstein-Stadel shared branch support (all sequences),Neanderthal-Hohlenstein-Stadel shared branch support (deaminated sequences only),Neanderthal support (all sequences),Neanderthal support (deaminated sequences only),Hohlenstein-Stadel support (all sequences),Hohlenstein-Stadel support (deaminated sequences only),Denisovan support (all sequences),Denisovan support (deaminated sequences only),Sima de los Huesos support (all sequences),Sima de los Huesos support (deaminated sequences only),Denisovan-Sima de los Huesos shared branch support (all sequences),Denisovan-Sima de los Huesos shared branch support (deaminated sequences only)
E256 ,SP7576,Lys3103,M5450,1014261,189964,52449,14206,36.54,258,1.91,29.1,15.5,19.4-40.4,8.0-26.0,No,60,12.5% (5 / 40),9.1% (1 / 11),**92.0% (23 / 25),**80.0% (4 / 5),**100.0% (14 / 14),**100.0% (3 / 3),0.0% (0 / 20),0.0% (0 / 3),2.9% (2 / 68),5.6% (1 / 18),0.0% (0 / 43),0.0% (0 / 10),2.6% (2 / 77),4.5% (1 / 22)
E256 ,SP7576,Lys3103,M5450,953115,603632,238882,28074,14.63,446,2.26,30.5,22.1,22.6-39.2,15.1-30.5,Yes,105,0.0% (0 / 33),0.0% (0 / 9),**78.9% (30 / 38),**88.9% (8 / 9),**88.2% (15 / 17),**100.0% (4 / 4),0.0% (0 / 36),0.0% (0 / 9),4.1% (4 / 97),4.2% (1 / 24),0.0% (0 / 64),0.0% (0 / 15),5.1% (6 / 118),9.7% (3 / 31)
E255 ,SP7575,Lys3102,A27266,2562580,1957226,469902,39687,78.02,10085,2.9,1.4,1,1.0-2.0,0.6-1.5,No,132,**97.0% (995 / 1026),**85.7% (6 / 7),0.3% (3 / 997),0.0% (0 / 12),0.8% (5 / 658),0.0% (0 / 4),0.0% (0 / 947),0.0% (0 / 21),0.1% (3 / 2166),0.0% (0 / 21),0.0% (0 / 1621),0.0% (0 / 23),0.4% (10 / 2471),0.0% (0 / 37)
E255 ,SP7575,Lys3102,M5449,1068110,679284,268097,27820,6.47,224,2.33,12.2,6.1,4.1-26.2,1.3-16.9,No,13,**96.0% (24 / 25),NA% (0 / 0),0.0% (0 / 20),0.0% (0 / 1),0.0% (0 / 13),NA% (0 / 0),0.0% (0 / 15),0.0% (0 / 2),1.8% (1 / 56),33.3% (1 / 3),0.0% (0 / 28),0.0% (0 / 2),2.4% (1 / 41),16.7% (1 / 6)
E255 ,SP7575,Lys3102,M5449,1032619,174325,44367,13271,21.69,131,1.95,0,7.1,0.0-17.6,0.9-23.5,No,5,**100.0% (18 / 18),NA% (0 / 0),0.0% (0 / 16),NA% (0 / 0),0.0% (0 / 7),NA% (0 / 0),0.0% (0 / 13),0.0% (0 / 1),2.8% (1 / 36),50.0% (1 / 2),0.0% (0 / 15),NA% (0 / 0),5.6% (1 / 18),100.0% (1 / 1)
E254 ,SP7574,Lys3101,A27265,2739383,2100901,497788,36193,60.45,5129,2.74,31.9,17.8,29.3-34.6,15.5-20.2,Yes,931,**98.4% (504 / 512),**97.7% (85 / 87),1.1% (5 / 445),2.6% (2 / 77),0.3% (1 / 337),0.0% (0 / 61),0.4% (2 / 479),0.0% (0 / 76),0.9% (10 / 1086),1.4% (3 / 209),1.3% (10 / 789),0.7% (1 / 144),1.2% (15 / 1299),2.3% (5 / 219)
E254 ,SP7574,Lys3101,M5448,1188249,826405,302867,36580,54.12,4608,2.13,30.8,20.1,28.2-33.5,17.8-22.5,Yes,990,**98.5% (390 / 396),**97.6% (81 / 83),0.6% (2 / 343),0.0% (0 / 76),2.0% (5 / 254),0.0% (0 / 45),1.3% (5 / 389),2.5% (2 / 81),0.7% (7 / 952),0.9% (2 / 216),0.8% (5 / 657),1.5% (2 / 137),1.0% (11 / 1063),2.3% (5 / 217)
E254 ,SP7574,Lys3101,M5448,1447416,304699,73643,18539,63.88,1705,2.01,33.7,22.3,29.3-38.3,18.3-26.7,Yes,392,**98.5% (197 / 200),**98.0% (48 / 49),0.0% (0 / 187),0.0% (0 / 42),1.6% (2 / 122),0.0% (0 / 31),1.7% (3 / 174),0.0% (0 / 43),1.0% (4 / 404),2.1% (2 / 97),1.4% (4 / 284),1.7% (1 / 60),1.2% (6 / 511),3.7% (4 / 107)
E253 ,SP7573,Lys3100,A27264,2640858,2036912,595239,32387,29.83,1152,2.87,35.9,23.1,29.9-42.1,18.2-28.7,Yes,234,**89.8% (88 / 98),**90.0% (18 / 20),13.3% (12 / 90),0.0% (0 / 17),8.7% (6 / 69),6.7% (1 / 15),1.0% (1 / 99),0.0% (0 / 18),1.2% (3 / 255),0.0% (0 / 53),0.6% (1 / 175),3.0% (1 / 33),1.4% (4 / 288),3.6% (2 / 56)
E253 ,SP7573,Lys3100,M5442,1202084,253883,67062,16565,37.05,362,1.77,36.3,19.8,27.0-46.4,12.2-29.4,Yes,82,**84.6% (33 / 39),**88.9% (8 / 9),20.5% (9 / 44),14.3% (1 / 7),19.2% (5 / 26),25.0% (2 / 8),2.3% (1 / 43),0.0% (0 / 14),1.2% (1 / 81),0.0% (0 / 16),1.5% (1 / 66),0.0% (0 / 14),1.9% (2 / 105),5.0% (1 / 20)
