This table contains all individual libraries processed,,,,,,,,,,,,,,,,,"Support for different branches based on sequences covering diagnostic positions. Each shows percent support calculted by the number of sequences covering diagnostic positions supporting the relative branch over the total sequences covering diagnostic positions. Significant assignments (lower 95% binomial confidence >10% support) indicated with ""**"". Note that internal branches were not considered for assignment to a lineage. ",,,,,,,,,,,,,
Lines with the same Index Library ID are due to multiple sequencing runs of the same library,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All deamination rates were computed by looking at C->T substitutions on the three terminal positions of the 5' and 3' ends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Field sample ID,MPI-EVA Sample ID,Sub-sample/ Lysate ID,Indexed Library ID,Raw Sequences,Sequences ≥ 35 bp,"Mapped Sequences (≥ 35 bp, mapping quality ≥ 25)","Unique mapped sequences (≥ 35 bp, mapping quality ≥ 25)",% of sequences identified as hominin,Unique hominin sequences,Duplication rate,5' C->T substitutions [%],3' C->T substitutions [%],5' C->T substitutions [%] (95% binomial confidence intervals),3' C->T substitutions [%] (95% binomial confidence intervals),Ancient hominin mtDNA present, Number of deaminated sequences,Modern human support (all sequences),Modern human support (deaminated sequences only),Neanderthal-Hohlenstein-Stadel shared branch support (all sequences),Neanderthal-Hohlenstein-Stadel shared branch support (deaminated sequences only),Neanderthal support (all sequences),Neanderthal support (deaminated sequences only),Hohlenstein-Stadel support (all sequences),Hohlenstein-Stadel support (deaminated sequences only),Denisovan support (all sequences),Denisovan support (deaminated sequences only),Sima de los Huesos support (all sequences),Sima de los Huesos support (deaminated sequences only),Denisovan-Sima de los Huesos shared branch support (all sequences),Denisovan-Sima de los Huesos shared branch support (deaminated sequences only)
E208 ,SP7528,Lys3051,M5286,356468,229037,80731,19779,45.91,1314,1.57,36.7,23.8,31.9-41.8,19.5-28.7,Yes,316,**40.9% (38 / 93),7.1% (1 / 14),**56.4% (44 / 78),**92.9% (13 / 14),**57.5% (42 / 73),**100.0% (15 / 15),0.0% (0 / 95),0.0% (0 / 16),1.2% (3 / 246),0.0% (0 / 52),0.9% (2 / 220),0.0% (0 / 51),2.6% (8 / 312),2.8% (2 / 72)
E207 ,SP7527,Lys3050,M5285,345387,229937,79128,21039,35.88,1005,1.35,53.8,35.8,47.2-59.6,29.7-41.5,Yes,330,4.0% (2 / 50),0.0% (0 / 13),**79.2% (42 / 53),**100.0% (17 / 17),**80.5% (33 / 41),**87.5% (7 / 8),1.3% (1 / 77),0.0% (0 / 21),1.1% (2 / 175),3.4% (2 / 58),1.5% (2 / 132),0.0% (0 / 37),1.9% (4 / 211),1.8% (1 / 55)
E207 ,SP7527,Lys3050,M5285,302222,45807,7970,5144,54.03,181,1.15,45.7,30.8,30.9-61.0,17.0-47.6,Yes,55,**27.3% (6 / 22),0.0% (0 / 2),**61.1% (11 / 18),**100.0% (4 / 4),**70.0% (7 / 10),**100.0% (4 / 4),0.0% (0 / 15),NA% (0 / 0),2.5% (1 / 40),0.0% (0 / 10),6.9% (2 / 29),9.1% (1 / 11),1.8% (1 / 55),0.0% (0 / 14)
E206 ,SP7526,Lys3049,A27241,2375704,1844488,532743,23887,10.85,152,3.91,30.8,23.3,14.3-51.8,9.9-42.3,No,27,**38.5% (5 / 13),33.3% (1 / 3),**90.0% (9 / 10),100.0% (1 / 1),**58.3% (7 / 12),50.0% (1 / 2),0.0% (0 / 7),0.0% (0 / 1),0.0% (0 / 33),0.0% (0 / 6),0.0% (0 / 21),0.0% (0 / 1),0.0% (0 / 51),0.0% (0 / 11)
E206 ,SP7526,Lys3049,M5284,2125710,393420,82225,15475,14.21,53,1.47,23.5,38.9,6.8-49.9,17.3-64.3,No,17,16.7% (1 / 6),NA% (0 / 0),0.0% (0 / 1),NA% (0 / 0),**100.0% (6 / 6),100.0% (2 / 2),0.0% (0 / 6),0.0% (0 / 4),0.0% (0 / 8),0.0% (0 / 4),0.0% (0 / 13),0.0% (0 / 4),5.0% (1 / 20),0.0% (0 / 7)
E206 ,SP7526,Lys3049,M5284,308189,218295,69649,18368,7.19,78,1.1,39.1,37.9,22.2-59.2,19.9-52.7,Yes,26,50.0% (1 / 2),0.0% (0 / 1),100.0% (1 / 1),100.0% (1 / 1),**100.0% (2 / 2),NA% (0 / 0),0.0% (0 / 5),0.0% (0 / 1),0.0% (0 / 12),0.0% (0 / 5),0.0% (0 / 10),0.0% (0 / 3),0.0% (0 / 19),0.0% (0 / 4)
E205 ,SP7525,Lys3048,M5283,360713,193836,85456,15551,20.74,293,1.4,1.2,3.4,0.0-4.4,0.6-7.8,No,5,**100.0% (35 / 35),NA% (0 / 0),0.0% (0 / 24),NA% (0 / 0),0.0% (0 / 25),NA% (0 / 0),0.0% (0 / 25),0.0% (0 / 1),0.0% (0 / 62),0.0% (0 / 2),0.0% (0 / 46),NA% (0 / 0),1.5% (1 / 66),NA% (0 / 0)
E205 ,SP7525,Lys3048,M5283,2508968,168822,34421,8944,52.96,304,3.62,3.9,1.1,0.8-11.1,0.0-5.7,No,5,**100.0% (37 / 37),100.0% (1 / 1),0.0% (0 / 39),NA% (0 / 0),0.0% (0 / 27),NA% (0 / 0),0.0% (0 / 40),NA% (0 / 0),0.0% (0 / 74),0.0% (0 / 1),0.0% (0 / 59),NA% (0 / 0),0.0% (0 / 99),0.0% (0 / 2)
E204 ,SP7524,Lys3047,M5278,2344924,243109,59948,13829,33.05,271,2.48,0,1.1,0.0-5.8,0.0-6.1,No,3,**96.3% (26 / 27),NA% (0 / 0),0.0% (0 / 21),NA% (0 / 0),0.0% (0 / 13),NA% (0 / 0),0.0% (0 / 30),NA% (0 / 0),0.0% (0 / 61),NA% (0 / 0),0.0% (0 / 45),0.0% (0 / 1),0.0% (0 / 84),0.0% (0 / 2)
E204 ,SP7524,Lys3047,M5278,395317,233696,102178,20744,9.8,257,1.27,1.6,0,0.0-5.8,0.0-4.6,No,5,**100.0% (30 / 30),NA% (0 / 0),0.0% (0 / 26),NA% (0 / 0),0.0% (0 / 8),NA% (0 / 0),0.0% (0 / 30),NA% (0 / 0),0.0% (0 / 52),0.0% (0 / 2),0.0% (0 / 41),NA% (0 / 0),0.0% (0 / 51),0.0% (0 / 1)
E203 ,SP7523,Lys3046,M5277,359102,189224,91594,9894,2.86,26,4.08,14.3,14.3,2.6-51.3,2.6-51.3,No,8,0.0% (0 / 1),NA% (0 / 0),0.0% (0 / 2),0.0% (0 / 1),NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),0.0% (0 / 1),NA% (0 / 0),0.0% (0 / 6),NA% (0 / 0),0.0% (0 / 2),NA% (0 / 0)
E202 ,SP7522,Lys3045,M5276,374138,239751,95897,30249,90.6,11108,1.58,44.2,32.8,42.3-46.0,31.1-34.5,Yes,3214,1.5% (11 / 723),2.0% (4 / 204),**93.3% (573 / 614),**91.2% (135 / 148),**97.9% (424 / 433),**95.8% (114 / 119),0.8% (7 / 922),1.5% (4 / 269),0.5% (11 / 2079),0.5% (3 / 601),0.8% (12 / 1548),0.2% (1 / 465),1.1% (30 / 2657),1.1% (8 / 755)
E202 ,SP7522,Lys3045,M5276,213837,27647,6320,4856,96.06,1707,1.19,43.4,33.2,38.9-48.0,28.8-37.8,Yes,520,4.5% (7 / 157),6.0% (3 / 50),**93.5% (144 / 154),**91.8% (45 / 49),**96.0% (96 / 100),**100.0% (25 / 25),0.6% (1 / 175),0.0% (0 / 48),0.5% (2 / 376),0.9% (1 / 111),1.5% (4 / 273),0.0% (0 / 87),1.2% (6 / 483),0.0% (0 / 147)
E201 ,SP7521,Lys3044,M5275,357724,237311,85751,20880,13.33,206,1.12,42.1,33.3,28.6-53.3,21.8-43.8,Yes,60,28.6% (2 / 7),0.0% (0 / 2),**66.7% (6 / 9),100.0% (1 / 1),**100.0% (6 / 6),100.0% (1 / 1),0.0% (0 / 19),0.0% (0 / 6),0.0% (0 / 38),0.0% (0 / 13),3.3% (1 / 30),0.0% (0 / 7),0.0% (0 / 41),0.0% (0 / 14)
E201 ,SP7521,Lys3044,M5275,2294193,387919,87532,17217,22.48,145,1.54,36.8,37.8,21.8-54.0,23.8-53.5,Yes,41,22.2% (4 / 18),0.0% (0 / 7),**100.0% (10 / 10),**100.0% (6 / 6),**87.5% (7 / 8),100.0% (1 / 1),0.0% (0 / 15),0.0% (0 / 7),0.0% (0 / 34),0.0% (0 / 15),4.8% (1 / 21),0.0% (0 / 7),2.2% (1 / 45),0.0% (0 / 7)
E200 ,SP7520,Lys3043,A27240,1804710,1364601,345334,20070,21.02,335,5.44,51,22.2,40.8-61.1,13.7-32.8,Yes,97,20.7% (6 / 29),12.5% (1 / 8),**66.7% (8 / 12),100.0% (1 / 1),**77.8% (14 / 18),**100.0% (5 / 5),0.0% (0 / 22),0.0% (0 / 4),0.0% (0 / 57),0.0% (0 / 15),0.0% (0 / 51),0.0% (0 / 11),0.0% (0 / 91),0.0% (0 / 18)
E200 ,SP7520,Lys3043,M5274,2145705,420377,85719,17250,30.83,238,2.16,42.6,29.3,30.7-55.2,18.1-42.7,Yes,54,16.0% (4 / 25),0.0% (0 / 2),**57.1% (12 / 21),75.0% (3 / 4),**62.5% (5 / 8),NA% (0 / 0),0.0% (0 / 21),0.0% (0 / 4),1.9% (1 / 53),0.0% (0 / 14),0.0% (0 / 41),0.0% (0 / 7),0.0% (0 / 69),0.0% (0 / 21)
E200 ,SP7520,Lys3043,M5274,291108,200047,67765,18688,15.35,229,1.28,36.9,24.5,24.9-47.5,13.0-35.9,Yes,53,**40.0% (8 / 20),33.3% (1 / 3),**80.0% (8 / 10),NA% (0 / 0),*66.7% (2 / 3),NA% (0 / 0),0.0% (0 / 19),0.0% (0 / 5),0.0% (0 / 31),0.0% (0 / 10),0.0% (0 / 30),0.0% (0 / 2),0.0% (0 / 46),0.0% (0 / 7)
E199 ,SP7519,Lys3042,M5273,2127617,270002,57607,10703,44.93,275,7.27,5.6,5.3,1.2-15.4,1.5-13.1,No,11,**91.3% (21 / 23),NA% (0 / 0),0.0% (0 / 31),0.0% (0 / 2),0.0% (0 / 17),0.0% (0 / 1),0.0% (0 / 23),NA% (0 / 0),0.0% (0 / 70),0.0% (0 / 1),0.0% (0 / 35),0.0% (0 / 2),2.7% (2 / 73),100.0% (1 / 1)
E199 ,SP7519,Lys3042,M5273,321008,184664,66860,14234,25.89,312,2.2,11.3,7.4,4.9-19.0,3.4-15.2,No,19,**95.8% (23 / 24),0.0% (0 / 1),3.3% (1 / 30),33.3% (1 / 3),5.6% (1 / 18),50.0% (1 / 2),0.0% (0 / 23),NA% (0 / 0),0.0% (0 / 73),0.0% (0 / 7),0.0% (0 / 42),0.0% (0 / 4),1.9% (1 / 54),50.0% (1 / 2)
E198 ,SP7518,Lys3041,M5272,412597,221550,69090,9286,17.37,136,3.82,3.1,0,0.6-15.7,0.0-9.4,No,3,**91.7% (11 / 12),NA% (0 / 0),0.0% (0 / 14),NA% (0 / 0),0.0% (0 / 8),0.0% (0 / 1),0.0% (0 / 13),NA% (0 / 0),2.8% (1 / 36),0.0% (0 / 1),0.0% (0 / 18),NA% (0 / 0),0.0% (0 / 34),NA% (0 / 0)
E197 ,SP7517,Lys3040,M5271,2341668,368460,77322,15519,16.25,103,2.04,20,18.2,6.8-40.7,5.2-40.3,No,16,**62.5% (5 / 8),NA% (0 / 0),37.5% (3 / 8),100.0% (1 / 1),0.0% (0 / 6),NA% (0 / 0),0.0% (0 / 2),NA% (0 / 0),0.0% (0 / 25),0.0% (0 / 3),6.2% (1 / 16),0.0% (0 / 2),3.0% (1 / 33),50.0% (1 / 2)
E197 ,SP7517,Lys3040,M5271,349678,223081,80902,19495,8.01,139,1.3,34.2,29.3,21.2-50.1,15.7-41.9,Yes,30,**63.6% (7 / 11),NA% (0 / 0),*37.5% (3 / 8),**100.0% (2 / 2),*42.9% (3 / 7),NA% (0 / 0),7.7% (1 / 13),NA% (0 / 0),0.0% (0 / 29),0.0% (0 / 6),0.0% (0 / 18),0.0% (0 / 6),3.1% (1 / 32),0.0% (0 / 7)
E196 ,SP7516,Lys3039,M5270,332323,187296,66328,10409,28.14,213,3.93,11.6,8.3,5.1-24.5,1.5-18.1,No,14,**84.2% (16 / 19),33.3% (1 / 3),0.0% (0 / 17),NA% (0 / 0),0.0% (0 / 16),NA% (0 / 0),0.0% (0 / 17),0.0% (0 / 2),0.0% (0 / 47),0.0% (0 / 4),0.0% (0 / 25),NA% (0 / 0),1.9% (1 / 52),0.0% (0 / 3)
E195 ,SP7515,Lys3038,M5269,364665,195751,62352,8100,14.96,89,5.56,0,5.3,0.0-19.4,0.0-16.8,No,3,**91.7% (11 / 12),NA% (0 / 0),0.0% (0 / 10),NA% (0 / 0),0.0% (0 / 9),NA% (0 / 0),0.0% (0 / 9),NA% (0 / 0),0.0% (0 / 21),NA% (0 / 0),0.0% (0 / 9),NA% (0 / 0),0.0% (0 / 21),0.0% (0 / 2)
E194 ,SP7514,Lys3036,M5267,358544,220075,53935,8924,23.92,188,3.53,2.4,2.2,0.0-8.6,0.0-7.9,No,4,**94.7% (18 / 19),NA% (0 / 0),0.0% (0 / 16),NA% (0 / 0),0.0% (0 / 16),NA% (0 / 0),0.0% (0 / 15),NA% (0 / 0),0.0% (0 / 35),0.0% (0 / 1),0.0% (0 / 25),NA% (0 / 0),3.9% (2 / 51),NA% (0 / 0)
E193 ,SP7513,Lys3035,M5266,2379438,248220,47379,11654,22.9,136,3.1,8,0,1.0-26.0,0.0-10.3,No,3,**100.0% (17 / 17),100.0% (1 / 1),0.0% (0 / 18),0.0% (0 / 2),0.0% (0 / 12),0.0% (0 / 2),0.0% (0 / 24),NA% (0 / 0),0.0% (0 / 40),0.0% (0 / 1),0.0% (0 / 25),0.0% (0 / 1),0.0% (0 / 46),NA% (0 / 0)
E193 ,SP7513,Lys3035,M5266,374323,224980,84517,15540,8.09,113,1.57,5.3,0,0.0-16.8,0.0-13.3,No,1,**100.0% (11 / 11),NA% (0 / 0),0.0% (0 / 12),NA% (0 / 0),0.0% (0 / 7),0.0% (0 / 1),0.0% (0 / 10),NA% (0 / 0),0.0% (0 / 24),NA% (0 / 0),0.0% (0 / 26),NA% (0 / 0),0.0% (0 / 28),NA% (0 / 0)
E192 ,SP7512,Lys3034,M5265,347710,192310,73053,14287,9.5,106,1.96,9.4,3.6,3.2-24.2,0.0-12.1,No,4,**92.9% (13 / 14),NA% (0 / 0),0.0% (0 / 14),NA% (0 / 0),0.0% (0 / 5),NA% (0 / 0),0.0% (0 / 11),NA% (0 / 0),0.0% (0 / 27),NA% (0 / 0),0.0% (0 / 18),0.0% (0 / 1),6.7% (1 / 15),0.0% (0 / 1)
E192 ,SP7512,Lys3034,M5265,2265138,162246,25510,6745,34.51,98,4.81,3.4,4.2,0.1-17.8,0.1-21.1,No,2,**100.0% (13 / 13),NA% (0 / 0),0.0% (0 / 14),NA% (0 / 0),0.0% (0 / 7),NA% (0 / 0),0.0% (0 / 6),NA% (0 / 0),0.0% (0 / 28),NA% (0 / 0),0.0% (0 / 16),NA% (0 / 0),0.0% (0 / 18),NA% (0 / 0)
E191 ,SP7511,Lys3033,M5264,2123675,156063,25996,8282,41.85,154,2.19,0,0,0.0-10.0,0.0-10.6,No,2,**100.0% (18 / 18),NA% (0 / 0),0.0% (0 / 20),NA% (0 / 0),0.0% (0 / 22),NA% (0 / 0),0.0% (0 / 19),NA% (0 / 0),0.0% (0 / 38),NA% (0 / 0),0.0% (0 / 25),NA% (0 / 0),0.0% (0 / 44),0.0% (0 / 1)
E191 ,SP7511,Lys3033,M5264,320627,180750,70124,15343,7.79,94,1.33,4.5,4.8,0.8-21.8,0.0-15.5,No,5,**100.0% (8 / 8),100.0% (1 / 1),0.0% (0 / 9),NA% (0 / 0),0.0% (0 / 13),NA% (0 / 0),0.0% (0 / 8),NA% (0 / 0),0.0% (0 / 25),NA% (0 / 0),0.0% (0 / 19),0.0% (0 / 1),4.8% (1 / 21),0.0% (0 / 1)
E190 ,SP7510,Lys3032,M5263,2115853,201448,30451,7464,4.85,11,3,0,0,0.0-84.2,0.0-84.2,No,2,100.0% (1 / 1),NA% (0 / 0),0.0% (0 / 1),NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),0.0% (0 / 4),0.0% (0 / 1),0.0% (0 / 3),NA% (0 / 0),0.0% (0 / 2),NA% (0 / 0),0.0% (0 / 4),NA% (0 / 0)
E190 ,SP7510,Lys3032,M5263,368396,228730,83217,15469,2.21,25,1.52,20,0,3.6-62.4,0.0-65.8,No,3,**100.0% (4 / 4),NA% (0 / 0),0.0% (0 / 2),0.0% (0 / 1),0.0% (0 / 2),NA% (0 / 0),0.0% (0 / 3),NA% (0 / 0),0.0% (0 / 5),NA% (0 / 0),0.0% (0 / 5),0.0% (0 / 1),0.0% (0 / 2),NA% (0 / 0)
E189 ,SP7509,Lys3031,M5262,375376,208519,89052,15558,4.02,39,2.54,44.4,10,12.1-64.6,1.8-40.4,No,7,0.0% (0 / 3),0.0% (0 / 1),0.0% (0 / 1),NA% (0 / 0),0.0% (0 / 6),0.0% (0 / 3),0.0% (0 / 1),NA% (0 / 0),100.0% (1 / 1),NA% (0 / 0),0.0% (0 / 11),0.0% (0 / 3),*66.7% (2 / 3),NA% (0 / 0)
E189 ,SP7509,Lys3031,M5262,2745840,202151,43114,9227,7.94,20,3.05,33.3,0,0.8-90.6,0.0-97.5,No,2,100.0% (1 / 1),NA% (0 / 0),0.0% (0 / 4),NA% (0 / 0),0.0% (0 / 1),NA% (0 / 0),0.0% (0 / 2),NA% (0 / 0),0.0% (0 / 1),NA% (0 / 0),0.0% (0 / 1),NA% (0 / 0),0.0% (0 / 2),NA% (0 / 0)
E188 ,SP7508,Lys3030,M5261,389308,208689,84880,10558,8.59,55,3.87,0,7.7,0.0-16.8,0.0-22.8,No,1,**100.0% (6 / 6),NA% (0 / 0),0.0% (0 / 5),NA% (0 / 0),0.0% (0 / 4),NA% (0 / 0),0.0% (0 / 7),NA% (0 / 0),0.0% (0 / 12),NA% (0 / 0),0.0% (0 / 9),NA% (0 / 0),0.0% (0 / 12),NA% (0 / 0)
E187 ,SP7507,Lys3029,M5260,419671,223819,89019,13283,7.18,72,2.25,9.1,4.5,0.8-21.8,0.8-21.8,No,4,**100.0% (6 / 6),NA% (0 / 0),0.0% (0 / 11),0.0% (0 / 1),0.0% (0 / 4),0.0% (0 / 1),0.0% (0 / 5),NA% (0 / 0),0.0% (0 / 16),0.0% (0 / 1),0.0% (0 / 14),NA% (0 / 0),0.0% (0 / 22),0.0% (0 / 1)
E187 ,SP7507,Lys3029,M5260,2764106,203954,34904,7257,24.84,77,7.36,10,4.8,1.2-31.7,0.1-23.8,No,4,**100.0% (6 / 6),NA% (0 / 0),0.0% (0 / 10),0.0% (0 / 1),0.0% (0 / 4),NA% (0 / 0),0.0% (0 / 8),NA% (0 / 0),0.0% (0 / 14),NA% (0 / 0),0.0% (0 / 14),NA% (0 / 0),0.0% (0 / 25),0.0% (0 / 2)
E186 ,SP7506,Lys3028,M5254,2454486,246478,40903,7155,50,168,8.55,36.4,20.6,22.4-52.2,8.7-37.9,No,36,**33.3% (6 / 18),0.0% (0 / 5),**53.8% (7 / 13),**100.0% (3 / 3),50.0% (3 / 6),100.0% (1 / 1),0.0% (0 / 17),0.0% (0 / 4),0.0% (0 / 38),0.0% (0 / 5),0.0% (0 / 23),0.0% (0 / 4),0.0% (0 / 45),0.0% (0 / 11)
E186 ,SP7506,Lys3028,M5254,351981,200150,73842,12589,37.65,398,2.81,43.5,39.4,34.0-51.7,30.3-49.2,Yes,121,*23.1% (6 / 26),0.0% (0 / 7),**72.7% (16 / 22),**100.0% (4 / 4),**62.5% (5 / 8),100.0% (1 / 1),0.0% (0 / 33),0.0% (0 / 5),2.8% (2 / 71),4.5% (1 / 22),0.0% (0 / 53),0.0% (0 / 15),1.2% (1 / 80),4.2% (1 / 24)
E185 ,SP7505,Lys3027,M5253,408391,239696,87444,14826,14.23,141,2.21,28.6,16.7,16.3-45.1,7.3-33.6,No,22,**80.0% (8 / 10),NA% (0 / 0),6.7% (1 / 15),NA% (0 / 0),*30.0% (3 / 10),**100.0% (2 / 2),0.0% (0 / 12),0.0% (0 / 3),0.0% (0 / 32),0.0% (0 / 5),0.0% (0 / 16),NA% (0 / 0),5.9% (2 / 34),0.0% (0 / 5)
E185 ,SP7505,Lys3027,M5253,1081290,109339,18314,5850,43.08,84,3.36,13,16.7,2.8-33.6,3.6-41.4,No,8,**100.0% (10 / 10),NA% (0 / 0),0.0% (0 / 12),NA% (0 / 0),11.1% (1 / 9),100.0% (1 / 1),0.0% (0 / 12),0.0% (0 / 2),4.3% (1 / 23),50.0% (1 / 2),0.0% (0 / 14),0.0% (0 / 2),3.4% (1 / 29),0.0% (0 / 2)
E184 ,SP7504,Lys3026,M5252,358512,197812,68128,10262,13.78,109,3.72,0,6.7,0.0-13.8,1.8-21.3,No,6,**92.3% (12 / 13),*66.7% (2 / 3),0.0% (0 / 18),0.0% (0 / 1),0.0% (0 / 12),NA% (0 / 0),0.0% (0 / 14),0.0% (0 / 1),0.0% (0 / 18),0.0% (0 / 1),0.0% (0 / 14),0.0% (0 / 2),0.0% (0 / 17),NA% (0 / 0)
E183 ,SP7503,Lys3025,M5251,375430,216269,78744,14243,8.68,101,1.89,8,12,2.2-25.0,4.2-30.0,No,5,**100.0% (17 / 17),NA% (0 / 0),0.0% (0 / 11),NA% (0 / 0),0.0% (0 / 6),NA% (0 / 0),0.0% (0 / 13),NA% (0 / 0),0.0% (0 / 22),0.0% (0 / 2),0.0% (0 / 17),0.0% (0 / 1),0.0% (0 / 28),NA% (0 / 0)
E183 ,SP7503,Lys3025,M5251,2256921,193681,29915,6851,30.27,79,4.96,0,0,0.0-15.4,0.0-16.8,No,0,**100.0% (11 / 11),NA% (0 / 0),0.0% (0 / 14),NA% (0 / 0),0.0% (0 / 12),NA% (0 / 0),0.0% (0 / 6),NA% (0 / 0),0.0% (0 / 17),NA% (0 / 0),0.0% (0 / 15),NA% (0 / 0),0.0% (0 / 22),NA% (0 / 0)
E182 ,SP7502,Lys3024,M5250,2217239,188896,28529,5896,82.17,636,8.19,1.7,0.8,0.2-6.1,0.0-4.3,No,6,**100.0% (55 / 55),NA% (0 / 0),0.0% (0 / 72),NA% (0 / 0),0.0% (0 / 51),0.0% (0 / 1),2.4% (2 / 84),NA% (0 / 0),0.6% (1 / 167),NA% (0 / 0),0.0% (0 / 88),0.0% (0 / 1),0.0% (0 / 169),0.0% (0 / 3)
E182 ,SP7502,Lys3024,M5250,342258,192233,67094,11860,48.83,666,2.5,0,0,0.0-3.0,0.0-2.7,No,4,**100.0% (60 / 60),NA% (0 / 0),0.0% (0 / 57),NA% (0 / 0),0.0% (0 / 45),0.0% (0 / 1),0.0% (0 / 70),0.0% (0 / 1),0.7% (1 / 151),NA% (0 / 0),0.0% (0 / 92),0.0% (0 / 1),0.7% (1 / 151),0.0% (0 / 1)
E181 ,SP7501,Lys3023,M5249,1678467,151092,26704,7636,37.82,118,3.09,0,0,0.0-9.7,0.0-11.6,No,0,**100.0% (9 / 9),NA% (0 / 0),0.0% (0 / 19),NA% (0 / 0),0.0% (0 / 11),NA% (0 / 0),0.0% (0 / 16),NA% (0 / 0),0.0% (0 / 31),NA% (0 / 0),0.0% (0 / 16),NA% (0 / 0),0.0% (0 / 28),NA% (0 / 0)
E181 ,SP7501,Lys3023,M5249,384258,222214,83908,15539,10.27,119,1.7,3.1,0,0.6-15.7,0.0-14.3,No,4,**100.0% (7 / 7),100.0% (1 / 1),0.0% (0 / 14),NA% (0 / 0),0.0% (0 / 11),NA% (0 / 0),0.0% (0 / 17),NA% (0 / 0),0.0% (0 / 27),NA% (0 / 0),0.0% (0 / 21),0.0% (0 / 1),0.0% (0 / 29),NA% (0 / 0)
E180 ,SP7500,Lys3022,M5248,384810,228352,80933,15957,7.08,88,1.32,23.1,3.1,11.0-42.1,0.6-15.7,No,9,**100.0% (9 / 9),NA% (0 / 0),0.0% (0 / 13),0.0% (0 / 1),0.0% (0 / 5),NA% (0 / 0),0.0% (0 / 7),0.0% (0 / 1),0.0% (0 / 17),0.0% (0 / 1),0.0% (0 / 22),0.0% (0 / 5),0.0% (0 / 16),NA% (0 / 0)
E180 ,SP7500,Lys3022,M5248,2709689,242831,35920,9112,31.75,114,2.95,10.7,2.7,2.3-28.2,0.1-14.2,No,6,**100.0% (16 / 16),100.0% (1 / 1),0.0% (0 / 22),0.0% (0 / 2),0.0% (0 / 14),0.0% (0 / 1),0.0% (0 / 12),0.0% (0 / 1),0.0% (0 / 28),0.0% (0 / 2),0.0% (0 / 27),0.0% (0 / 1),0.0% (0 / 27),NA% (0 / 0)
E179 ,SP7499,Lys3021,M5247,2085510,184164,37005,9251,34.29,107,3.7,4.8,3.4,0.1-23.8,0.1-17.8,No,2,**100.0% (11 / 11),NA% (0 / 0),0.0% (0 / 18),NA% (0 / 0),0.0% (0 / 6),NA% (0 / 0),0.0% (0 / 10),NA% (0 / 0),0.0% (0 / 24),NA% (0 / 0),0.0% (0 / 15),NA% (0 / 0),3.6% (1 / 28),50.0% (1 / 2)
E179 ,SP7499,Lys3021,M5247,319510,185337,74025,14877,13.28,122,1.6,3.8,7.4,0.7-18.9,2.1-23.4,No,5,**100.0% (9 / 9),100.0% (1 / 1),0.0% (0 / 13),NA% (0 / 0),0.0% (0 / 4),NA% (0 / 0),0.0% (0 / 14),0.0% (0 / 1),0.0% (0 / 23),NA% (0 / 0),0.0% (0 / 18),0.0% (0 / 3),0.0% (0 / 26),NA% (0 / 0)
E178 ,SP7498,Lys3020,M5246,291677,169599,64213,13156,28.34,242,1.8,6.2,3.7,1.6-12.7,0.3-9.8,No,11,**100.0% (25 / 25),NA% (0 / 0),0.0% (0 / 23),0.0% (0 / 3),0.0% (0 / 10),0.0% (0 / 1),0.0% (0 / 23),0.0% (0 / 1),2.1% (1 / 48),0.0% (0 / 1),0.0% (0 / 34),0.0% (0 / 2),6.0% (3 / 50),0.0% (0 / 1)
E178 ,SP7498,Lys3020,M5246,2232201,194573,32554,7382,64.76,272,5.58,5.2,7.4,1.1-14.4,2.4-16.3,No,10,**100.0% (30 / 30),NA% (0 / 0),0.0% (0 / 33),0.0% (0 / 2),0.0% (0 / 22),NA% (0 / 0),0.0% (0 / 34),0.0% (0 / 1),1.6% (1 / 61),50.0% (1 / 2),0.0% (0 / 45),0.0% (0 / 1),1.4% (1 / 74),0.0% (0 / 1)
E177 ,SP7497,Lys3019,M5245,276992,147427,49599,8938,20.87,149,3.13,0,3,0.0-11.7,0.0-10.4,No,3,**100.0% (18 / 18),NA% (0 / 0),0.0% (0 / 13),NA% (0 / 0),0.0% (0 / 13),NA% (0 / 0),0.0% (0 / 10),NA% (0 / 0),0.0% (0 / 40),0.0% (0 / 1),0.0% (0 / 27),NA% (0 / 0),0.0% (0 / 31),NA% (0 / 0)
E176 ,SP7496,Lys3018,M5244,2580849,310090,41978,9209,42.48,161,5.01,2.5,3.4,0.1-13.2,0.1-17.8,No,8,**90.5% (19 / 21),0.0% (0 / 2),0.0% (0 / 18),0.0% (0 / 1),0.0% (0 / 12),NA% (0 / 0),0.0% (0 / 17),NA% (0 / 0),7.7% (4 / 52),0.0% (0 / 2),0.0% (0 / 28),0.0% (0 / 2),6.1% (3 / 49),33.3% (1 / 3)
