RG	ReadsRaw	ReadsFiltered	ReadsLengthfiltered	FamilyKmers	KmerCoverage	KmerDupRate	ExtractLVL	ReadsExtracted	Order	Family	Species	Reference	ReadsMapped	ProportionMapped	ReadsDeduped	DuplicationRate	CoveredBP	ReadsBedfiltered	PostBedCoveredBP	FamPercentage	Ancientness	ReadsDeam(1term)	ReadsDeam(3term)	Deam5(95ci)	Deam3(95ci)	Deam5Cond(95ci)	Deam3Cond(95ci)	RunID	MeanFragmentLength	breadth	coverage	expected_breadth	expected_breadth_prop
Cap.E.7204	2418370	2393166	1465014	303	0.001373	61.8	f	4493	Primates	Cebidae	Leontopithecus_rosalia	best	694	0.1544	216	3.2129	625	211	579	0.62	++	35	76	42.6 (28.3,57.8)	38.6 (24.4,54.5)	50.0 (6.8,93.2)	33.3 (4.3,77.7)	190312_D00829_0232.lane2	40	0.03772104532560806	0.5214557305812059	0.3689974719958352	0.10222575542748925
Cap.E.7204	2418370	2393166	1465014	326	0.001015	15.0	f	1227	Chiroptera	Pteropodidae	Scotonycteris_bergmansi	best	545	0.4441	161	3.385	688	147	591	0.43	++	30	47	60.0 (42.1,76.1)	23.1 (11.1,39.3)	0.0 (0.0,70.8)	0.0 (0.0,70.8)	190312_D00829_0232.lane2	40	0.041523326694429354	0.38867765103506546	0.29050538046002305	0.14293479393970623
Cap.E.7204	2418370	2393166	1465014	406	0.001154	14.4	f	1354	Eulipotyphla	Soricidae	Sorex_sinalis	best	594	0.4387	127	4.6771	1043	123	1031	0.36	++	32	49	68.6 (50.7,83.1)	37.5 (18.8,59.4)	33.3 (0.8,90.6)	20.0 (0.5,71.6)	190312_D00829_0232.lane2	40	0.06294888043937473	0.3065966564065423	0.23717363896993704	0.26541263486434014
Cap.E.7204	2418370	2393166	1465014	552	0.001444	22.0	f	2858	Chiroptera	Phyllostomidae	Artibeus_jamaicensis	best	580	0.2029	120	4.8333	794	118	769	0.34	+	16	32	45.5 (24.4,67.8)	21.4 (8.3,41.0)	N/A (N/A,N/A)	0.0 (0.0,70.8)	190312_D00829_0232.lane2	40	0.04792081598165249	0.2896976281006699	0.22570551456310628	0.21231566306393473
Cap.E.7204	2418370	2393166	1465014	5737	0.009826	47.6	f	42766	Artiodactyla	Bovidae	Bison_schoetensacki	best	31231	0.7302	6381	4.8943	5618	5924	5470	17.5	++	1259	1981	55.4 (52.8,57.9)	34.4 (31.9,37.0)	48.1 (39.4,56.9)	32.2 (25.7,39.1)	190312_D00829_0232.lane2	40	0.33906693222282575	15.404671374253123	0.9999987623855024	0.33906735185749604
Cap.E.7204	2418370	2393166	1465014	633	0.001131	29.6	f	4880	Rodentia	Sciuridae	Dremomys_rufigenis	best	1569	0.3215	422	3.718	1275	397	1170	1.17	++	81	148	41.0 (28.6,54.3)	58.7 (48.6,68.2)	45.5 (16.7,76.6)	35.7 (12.8,64.9)	190312_D00829_0232.lane2	40	0.07695093246424045	1.0187699921540225	0.593257065263018	0.1297092558520556
Cap.E.7204	2418370	2393166	1465014	638	0.001076	91.0	f	7769	Rodentia	Cricetidae	Ondatra_zibethicus	best	4917	0.6328	844	5.8258	1465	844	1465	2.49	++	156	247	54.8 (47.2,62.3)	36.5 (29.2,44.3)	18.2 (2.3,51.8)	15.4 (1.9,45.4)	190312_D00829_0232.lane2	40	0.0884181302432253	2.037539984308045	0.8345601850415472	0.10594578057761472
Cap.E.7204	2418370	2393166	1465014	646	0.006975	12.6	f	1605	Carnivora	Ursidae	Ursus_arctos	best	910	0.5669	226	4.0265	1780	208	1678	0.61	++	42	82	54.9 (40.3,68.9)	51.4 (34.4,68.1)	71.4 (29.0,96.3)	71.4 (29.0,96.3)	190312_D00829_0232.lane2	40	0.10742953708733176	0.5455971995895951	0.38230614667575935	0.2810039493778913
Cap.E.7204	2418370	2393166	1465014	655	0.002486	8.6	f	1066	Carnivora	Mustelidae	Martes_foina	best	438	0.4108	109	4.0183	1644	107	1598	0.31	++	28	41	64.9 (47.5,79.8)	38.9 (17.3,64.3)	100.0 (29.2,100.0)	60.0 (14.7,94.7)	190312_D00829_0232.lane2	40	0.09922143762447945	0.26314201219144184	0.20733484444429795	0.4785565006712416
Cap.E.7204	2418370	2393166	1465014	656	0.0006919	17.6	f	3390	Rodentia	Muridae	Rattus_norvegicus	best	1034	0.305	178	5.8089	665	178	665	0.52	++	41	77	68.4 (51.3,82.5)	39.5 (25.0,55.6)	66.7 (9.4,99.2)	25.0 (3.2,65.1)	190312_D00829_0232.lane2	40	0.04013519222644698	0.42971814834932703	0.31575629091844093	0.12710813174839897
Cap.E.7204	2418370	2393166	1465014	659	0.003333	21.5	f	5147	Artiodactyla	Cervidae	Cervus_nippon_centralis	best	2755	0.5352	455	6.0549	1800	448	1754	1.32	++	132	200	74.1 (65.8,81.2)	34.3 (25.4,44.0)	71.4 (29.0,96.3)	22.7 (7.8,45.4)	190312_D00829_0232.lane2	40	0.10863661053775123	1.0984368398817068	0.620886531534081	0.17497015158201748
Cap.E.7204	2418370	2393166	1465014	810	0.001535	29.8	f	5038	Primates	Cercopithecidae	Macaca_sylvanus	best	1704	0.3382	405	4.2074	953	395	940	1.16	++	70	143	41.8 (31.9,52.2)	32.6 (23.4,43.0)	40.0 (5.3,85.3)	25.0 (3.2,65.1)	190312_D00829_0232.lane2	40	0.05751704991248718	0.977729494839761	0.5782468732973167	0.09946798256687449
Cap.E.7204	2418370	2393166	1465014	928	0.004615	16.6	f	5356	Carnivora	Felidae	Panthera_leo_persica	best	3229	0.6028	606	5.3283	2424	597	2270	1.76	++	152	274	61.7 (52.7,70.2)	49.7 (41.8,57.6)	69.2 (38.6,90.9)	36.0 (18.0,57.5)	190312_D00829_0232.lane2	40	0.1462973021908383	1.4629730219083832	0.7252256815285139	0.20172658789812356
Cap.E.7204	2418370	2393166	1465014	934	0.02022	24.5	f	3872	Perissodactyla	Rhinocerotidae	Coelodonta_antiquitatis	best	3463	0.8943	862	4.0174	3442	858	3430	2.53	++	225	338	57.2 (50.7,63.5)	50.0 (43.0,57.0)	59.4 (40.6,76.3)	48.7 (32.4,65.2)	190312_D00829_0232.lane2	40	0.20773734081718873	2.0809946285231455	0.8407879403683778	0.24707459615342714
Cap.E.7204	2418370	2393166	1465014	973	0.002124	46.6	f	9278	Chiroptera	Vespertilionidae	Plecotus_auritus	best	3756	0.4048	834	4.5035	2147	763	2037	2.25	++	163	270	57.9 (50.9,64.7)	28.7 (21.7,36.4)	60.0 (14.7,94.7)	13.0 (2.8,33.6)	190312_D00829_0232.lane2	40	0.12957933490252882	2.013398515299656	0.8309956608609365	0.15593262516952344
Cap.E.7205	2694111	2661778	1586956	1155	0.02445	45.8	f	6708	Proboscidea	Elephantidae	Mammuthus_columbi	best	6327	0.9432	948	6.674	2778	948	2778	3.9	++	213	330	53.8 (47.2,60.2)	39.2 (33.0,45.8)	50.0 (26.0,74.0)	37.5 (18.8,59.4)	190312_D00829_0232.lane2	40	0.1676625022632627	2.2886112619952925	0.8674564150122195	0.19328060679671258
Cap.E.7205	2694111	2661778	1586956	129	0.001808	48.1	f	1945	Eulipotyphla	Erinaceidae	Erinaceus_europaeus	best	226	0.1161	44	5.1363	401	44	401	0.18	+	7	11	83.3 (35.9,99.6)	33.3 (4.3,77.7)	N/A (N/A,N/A)	N/A (N/A,N/A)	190312_D00829_0232.lane2	40	0.02420182268091013	0.1062224636369123	0.08953009660535183	0.27032052458953143
Cap.E.7205	2694111	2661778	1586956	131	0.001953	9.24	f	462	Carnivora	Otariidae	Arctocephalus_townsendi	best	123	0.2662	27	4.5555	587	27	587	0.11	-	4	11	44.4 (13.7,78.8)	0.0 (0.0,45.9)	N/A (N/A,N/A)	N/A (N/A,N/A)	190312_D00829_0232.lane2	40	0.03542760576981109	0.06518196632265073	0.05593067332886803	0.6334199762176921
Cap.E.7205	2694111	2661778	1586956	134	0.001916	67.1	f	2009	Primates	Lemuridae	Eulemur_rubriventer	best	886	0.441	124	7.1451	270	123	225	0.5	++	20	36	38.1 (18.1,61.6)	70.6 (44.0,89.7)	0.0 (0.0,97.5)	N/A (N/A,N/A)	190312_D00829_0232.lane2	40	0.016295491580662683	0.2993542157040256	0.23227967511786674	0.07015461672397202
Cap.E.7205	2694111	2661778	1586956	142	0.000904	12.7	f	303	Eulipotyphla	Talpidae	Uropsilus_sp._1_FT-2014	best	94	0.3102	28	3.3571	508	28	508	0.11	-	5	10	37.5 (8.5,75.5)	33.3 (7.5,70.1)	50.0 (1.3,98.7)	100.0 (2.5,100.0)	190312_D00829_0232.lane2	40	0.030659665640654234	0.06759611322348964	0.057940994635551024	0.5291532503627802
Cap.E.7205	2694111	2661778	1586956	143	0.001457	116.0	f	2628	Chiroptera	Rhinolophidae	Rhinolophus_macrotis	best	1701	0.6472	301	5.6511	488	301	488	1.24	++	61	93	81.1 (68.0,90.6)	41.1 (28.1,55.0)	83.3 (35.9,99.6)	71.4 (29.0,96.3)	190312_D00829_0232.lane2	40	0.029452592190234776	0.7266582171525138	0.4735712086988332	0.06219253123760972
Cap.E.7205	2694111	2661778	1586956	146	0.001288	14.0	f	271	Cingulata	Chlamyphoridae	Cabassous_chacoensis	best	113	0.4169	23	4.913	273	23	273	0.09	+	4	9	60.0 (14.7,94.7)	20.0 (0.5,71.6)	N/A (N/A,N/A)	0.0 (0.0,84.2)	190312_D00829_0232.lane2	40	0.016476552598225603	0.05552537871929507	0.047846396897455956	0.3443634979147548
Cap.E.7205	2694111	2661778	1586956	146	0.001593	36.4	f	943	Rodentia	Dipodidae	Jaculus_jaculus	best	151	0.1601	36	4.1944	311	36	311	0.14	++	14	22	55.6 (21.2,86.3)	45.0 (23.1,68.5)	0.0 (0.0,84.2)	0.0 (0.0,84.2)	190312_D00829_0232.lane2	40	0.01876999215402257	0.08690928843020097	0.07387021881043687	0.25409417294660325
Cap.E.7205	2694111	2661778	1586956	153	0.0009079	44.7	f	2656	Primates	Lepilemuridae	Lepilemur_otto	best	2219	0.8354	202	10.9851	675	202	675	0.83	++	53	89	78.3 (63.6,89.1)	35.8 (23.1,50.2)	66.7 (9.4,99.2)	18.2 (2.3,51.8)	190312_D00829_0232.lane2	40	0.04073872895165671	0.487657673969461	0.34988221584434487	0.11643555204240646
Cap.E.7205	2694111	2661778	1586956	156	0.001981	133.0	f	3967	Pholidota	Manidae	Manis_culionensis	best	2388	0.6019	209	11.4258	496	209	496	0.86	++	39	61	44.0 (32.5,55.9)	28.6 (11.3,52.2)	0.0 (0.0,97.5)	0.0 (0.0,84.2)	190312_D00829_0232.lane2	40	0.02993542157040256	0.5045567022753334	0.3595111513049706	0.08326701817660329
Cap.E.7205	2694111	2661778	1586956	157	0.001735	16.1	f	1031	Carnivora	Phocidae	Halichoerus_grypus	best	730	0.708	128	5.7031	444	128	444	0.52	++	24	46	61.1 (35.7,82.7)	65.2 (42.7,83.6)	100.0 (15.8,100.0)	100.0 (15.8,100.0)	190312_D00829_0232.lane2	40	0.026797030599311968	0.30901080330738123	0.23879801765014008	0.11221630255981419
Cap.E.7205	2694111	2661778	1586956	1690	0.02374	22.6	f	6608	Primates	Hominidae	Homo_sapiens	fixed	1460	0.2209	169	8.639	3705	-	-	0.69	++	30	44	34.6 (22.0,49.1)	27.3 (16.1,41.0)	100.0 (29.2,100.0)	37.5 (8.5,75.5)	190312_D00829_0232.lane2	40	0.2236103566902046	0.4079908262417768	0.3025021861602726	0.739202448512986
Cap.E.7205	2694111	2661778	1586956	173	0.001262	68.8	f	1298	Rodentia	Spalacidae	Rhizomys_sinensis	best	399	0.3073	41	9.7317	297	40	290	0.16	-	5	15	30.8 (9.1,61.4)	25.0 (0.6,80.6)	N/A (N/A,N/A)	N/A (N/A,N/A)	190312_D00829_0232.lane2	40	0.017925040738728953	0.09898002293439556	0.0836889156718632	0.21418655738128384
Cap.E.7205	2694111	2661778	1586956	176	0.003431	7.93	f	509	Carnivora	Eupleridae	Eupleres_goudotii	best	172	0.3379	33	5.2121	527	33	527	0.13	+	15	21	100.0 (78.2,100.0)	11.1 (0.3,48.2)	100.0 (2.5,100.0)	25.0 (0.6,80.6)	190312_D00829_0232.lane2	40	0.03180638541855272	0.07966684772768423	0.06792857087715454	0.46823280701831627
Cap.E.7205	2694111	2661778	1586956	1761	0.03771	61.7	f	20626	Perissodactyla	Equidae	Equus_ovodovi	best	19746	0.9573	2811	7.0245	3976	2810	3960	11.58	++	659	981	56.5 (52.8,60.0)	36.9 (33.4,40.5)	46.7 (35.1,58.6)	30.7 (22.4,40.0)	190312_D00829_0232.lane2	40	0.23996620194338825	6.786166938258193	0.9975018014990432	0.24056718652815226
Cap.E.7205	2694111	2661778	1586956	1870	0.05578	345.0	f	91049	Carnivora	Hyaenidae	Crocuta_crocuta	best	88377	0.9706	11364	7.7769	5840	11143	5817	45.92	++	2600	3939	58.2 (56.4,60.0)	38.7 (36.9,40.6)	56.6 (50.6,62.3)	37.1 (32.6,41.8)	190312_D00829_0232.lane2	40	0.35246544752248177	27.434365381133443	0.9999999999698412	0.3524654475331117
Cap.E.7205	2694111	2661778	1586956	189	0.001594	33.7	f	468	Dasyuromorphia	Dasyuridae	Sminthopsis_douglasi	best	159	0.3397	39	4.0769	159	39	159	0.16	++	8	9	62.5 (24.5,91.5)	31.2 (11.0,58.7)	100.0 (15.8,100.0)	100.0 (15.8,100.0)	190312_D00829_0232.lane2	40	0.009596233930834691	0.09415172913271773	0.07977399069789248	0.12029276518428218
Cap.E.7205	2694111	2661778	1586956	196	0.0008563	13.7	f	1376	Rodentia	Echimyidae	Proechimys_goeldii	best	611	0.444	72	8.4861	458	72	458	0.29	++	13	32	31.2 (11.0,58.7)	66.7 (34.9,90.1)	0.0 (0.0,97.5)	0.0 (0.0,97.5)	190312_D00829_0232.lane2	40	0.02764198201460559	0.17381857686040195	0.14228362839377184	0.19427380596526564
Cap.E.7205	2694111	2661778	1586956	198	0.002646	25.3	f	1030	Carnivora	Viverridae	Arctictis_binturong	best	750	0.7281	127	5.9055	859	118	793	0.48	++	25	38	52.2 (30.6,73.2)	53.3 (34.3,71.7)	75.0 (19.4,99.4)	50.0 (11.8,88.2)	190312_D00829_0232.lane2	40	0.05184380469551572	0.3065966564065423	0.23717363896993704	0.2185900799122418
Cap.E.7205	2694111	2661778	1586956	230	0.002959	56.5	f	1986	Carnivora	Herpestidae	Suricata_suricatta	best	382	0.1923	55	6.9454	585	55	585	0.22	++	10	17	62.5 (24.5,91.5)	45.5 (16.7,76.6)	0.0 (0.0,97.5)	0.0 (0.0,84.2)	190312_D00829_0232.lane2	40	0.03530689842476915	0.13277807954614038	0.11063098912110836	0.3191411258749435
Cap.E.7205	2694111	2661778	1586956	255	0.001288	17.7	f	1709	Primates	Cheirogaleidae	Microcebus_rufus	best	1180	0.6904	172	6.8604	709	107	677	0.44	+	23	39	57.1 (39.4,73.7)	17.6 (3.8,43.4)	N/A (N/A,N/A)	0.0 (0.0,97.5)	190312_D00829_0232.lane2	40	0.042790753817369784	0.4152332669442936	0.30694850466610835	0.1394069466600484
Cap.E.7205	2694111	2661778	1586956	266	0.001205	63.7	f	4353	Primates	Cebidae	Leontopithecus_rosalia	best	978	0.2246	171	5.7192	630	167	623	0.68	++	31	58	53.8 (37.2,69.9)	32.4 (17.4,50.5)	33.3 (0.8,90.6)	25.0 (0.6,80.6)	190312_D00829_0232.lane2	40	0.03802281368821293	0.41281912004345467	0.3054695567660676	0.12447333243532113
Cap.E.7205	2694111	2661778	1586956	345	0.001074	20.5	f	1771	Chiroptera	Pteropodidae	Rousettus_aegyptiacus	best	602	0.3399	130	4.6307	849	112	789	0.46	+	13	22	36.4 (17.2,59.3)	18.5 (6.3,38.1)	N/A (N/A,N/A)	0.0 (0.0,84.2)	190312_D00829_0232.lane2	40	0.051240267970305994	0.3138390971090591	0.2420364054166383	0.21170479656604416
Cap.E.7205	2694111	2661778	1586956	381	0.0009969	41.1	f	3541	Chiroptera	Phyllostomidae	Artibeus_jamaicensis	best	297	0.0838	69	4.3043	814	69	814	0.28	++	10	18	41.7 (15.2,72.3)	37.5 (15.2,64.6)	100.0 (2.5,100.0)	100.0 (2.5,100.0)	190312_D00829_0232.lane2	40	0.04912788943207194	0.16657613615788522	0.13678089129341575	0.3591721692080889
Cap.E.7205	2694111	2661778	1586956	399	0.001134	17.5	f	1790	Eulipotyphla	Soricidae	Sorex_sinalis	best	744	0.4156	124	6.0	1032	122	1019	0.5	++	33	52	71.4 (53.7,85.4)	24.2 (11.1,42.3)	N/A (N/A,N/A)	0.0 (0.0,41.0)	190312_D00829_0232.lane2	40	0.062284990041644034	0.2993542157040256	0.23227967511786674	0.26814653503384867
Cap.E.7205	2694111	2661778	1586956	4666	0.007991	46.3	f	33631	Artiodactyla	Bovidae	Ovis_ammon_ammon	best	17800	0.5292	2806	6.3435	4126	2710	4088	11.16	++	554	898	54.8 (50.9,58.6)	35.4 (31.6,39.4)	53.8 (39.5,67.8)	35.9 (25.3,47.6)	190312_D00829_0232.lane2	40	0.2490192528215342	6.774096203753999	0.9974750321472368	0.2496496100613941
Cap.E.7205	2694111	2661778	1586956	596	0.003015	28.9	f	5670	Artiodactyla	Cervidae	Cervus_hanglu_yarkandensis	best	3270	0.5767	400	8.175	1664	396	1606	1.63	++	120	183	77.9 (69.5,84.9)	35.8 (25.4,47.2)	50.0 (15.7,84.3)	25.0 (7.3,52.4)	190312_D00829_0232.lane2	40	0.1004285110748989	0.9656587603355664	0.5737275935764033	0.17504563524453323
Cap.E.7205	2694111	2661778	1586956	629	0.001061	84.2	f	7726	Rodentia	Cricetidae	Phodopus_sungorus	best	4524	0.5855	560	8.0785	1105	560	1105	2.3	++	103	190	56.2 (46.9,65.2)	29.5 (21.9,38.1)	80.0 (28.4,99.5)	26.7 (7.8,55.1)	190312_D00829_0232.lane2	40	0.06669080813567506	1.351922264469793	0.6969166290066444	0.09569409791632225
Cap.E.7205	2694111	2661778	1586956	634	0.001384	64.3	f	9110	Chiroptera	Vespertilionidae	Myotis_bechsteinii	best	2584	0.2836	326	7.9263	1194	323	1119	1.33	++	81	139	71.6 (61.0,80.7)	41.5 (28.1,55.9)	80.0 (28.4,99.5)	50.0 (15.7,84.3)	190312_D00829_0232.lane2	40	0.07206228499004165	0.7870118896734867	0.5008913635363679	0.14386809243679338
Cap.E.7205	2694111	2661778	1586956	643	0.0006782	22.3	f	3662	Rodentia	Muridae	Rattus_norvegicus	best	1236	0.3375	173	7.1445	784	173	784	0.71	++	38	75	66.7 (49.8,80.9)	34.2 (19.6,51.4)	33.3 (0.8,90.6)	16.7 (0.4,64.1)	190312_D00829_0232.lane2	40	0.04731727925644275	0.4176474138451325	0.3084243032630303	0.15341618269326088
Cap.E.7205	2694111	2661778	1586956	655	0.002486	11.0	f	1581	Carnivora	Mustelidae	Gulo_gulo	best	601	0.3801	122	4.9262	1865	119	1773	0.49	++	26	32	74.1 (53.7,88.9)	30.4 (13.2,52.9)	100.0 (2.5,100.0)	33.3 (0.8,90.6)	190312_D00829_0232.lane2	40	0.11255959925161446	0.2945259219023478	0.22899960187166157	0.4915274888324755
Cap.E.7205	2694111	2661778	1586956	656	0.007083	12.3	f	1849	Carnivora	Ursidae	Ursus_arctos	best	1174	0.6349	209	5.6172	1706	195	1611	0.8	++	35	65	51.2 (35.5,66.7)	45.5 (28.1,63.6)	66.7 (9.4,99.2)	66.7 (9.4,99.2)	190312_D00829_0232.lane2	40	0.10296336532077976	0.5045567022753334	0.3595111513049706	0.2863982520348492
Cap.E.7205	2694111	2661778	1586956	674	0.001205	28.6	f	5246	Rodentia	Sciuridae	Dremomys_rufigenis	best	1789	0.341	344	5.2005	1076	310	998	1.27	++	67	122	44.3 (31.5,57.6)	52.4 (41.1,63.6)	60.0 (14.7,94.7)	37.5 (8.5,75.5)	190312_D00829_0232.lane2	40	0.06494055163256685	0.8304665338885872	0.5196796248154568	0.12496266648057994
Cap.E.7205	2694111	2661778	1586956	807	0.001529	28.5	f	5201	Primates	Cercopithecidae	Macaca_sylvanus	best	1784	0.343	290	6.1517	996	279	982	1.14	++	65	112	54.8 (42.7,66.5)	38.4 (27.2,50.5)	50.0 (11.8,88.2)	23.1 (5.0,53.8)	190312_D00829_0232.lane2	40	0.06011225783088901	0.7001026012432856	0.46108132294098747	0.13037235481035223
Cap.E.7205	2694111	2661778	1586956	876	0.004356	22.6	f	7032	Carnivora	Felidae	Panthera_uncia	best	4309	0.6127	568	7.5862	2190	553	2048	2.27	++	151	249	61.4 (52.5,69.7)	54.2 (46.0,62.3)	50.0 (29.9,70.1)	50.0 (29.9,70.1)	190312_D00829_0232.lane2	40	0.13217454282093066	1.3712354396765043	0.7020414491429006	0.18827170814814173
Cap.E.7205	2694111	2661778	1586956	993	0.007846	18.8	f	2748	Carnivora	Canidae	Canis_lupus_chanco	best	2201	0.8009	461	4.7744	1970	445	1937	1.83	++	128	186	62.3 (53.4,70.7)	50.5 (40.4,60.6)	33.3 (9.9,65.1)	33.3 (9.9,65.1)	190312_D00829_0232.lane2	40	0.11889673486631662	1.1129217212867404	0.6257045723551595	0.19002056260958408
Cap.E.7205	2694111	2661778	1586956	997	0.02158	42.9	f	6716	Perissodactyla	Rhinocerotidae	Coelodonta_antiquitatis	best	6236	0.9285	1075	5.8009	3390	1074	3383	4.42	++	248	396	59.1 (53.1,64.9)	39.7 (33.5,46.1)	66.7 (43.0,85.4)	32.6 (19.1,48.5)	190312_D00829_0232.lane2	40	0.20459894984609814	2.595207918401835	0.8988922593858925	0.22761231694872597
Cap.E.7206	2836106	2803293	1696391	1098	0.001158	18.5	f	4128	Rodentia	Muridae	Rattus_norvegicus	best	1099	0.2662	300	3.6633	1003	300	1003	0.47	++	71	136	64.7 (52.2,75.9)	39.2 (28.0,51.2)	40.0 (5.3,85.3)	18.2 (2.3,51.8)	190312_D00829_0232.lane2	40	0.06053473353853582	0.7242440702516748	0.472447827881307	0.12812998592882505
Cap.E.7206	2836106	2803293	1696391	1278	0.006355	18.8	f	7542	Carnivora	Felidae	Panthera_onca	best	4148	0.5499	1138	3.6449	2536	1117	2472	1.76	++	289	461	59.2 (53.2,65.0)	45.4 (39.7,51.2)	44.8 (26.4,64.3)	31.7 (18.1,48.1)	190312_D00829_0232.lane2	40	0.1530569135131873	2.7472991731546865	0.9115983964586996	0.1678994984060633
Cap.E.7206	2836106	2803293	1696391	12788	0.1796	30.9	f	29192	Primates	Hominidae	Homo_sapiens	fixed	24821	0.8502	6329	3.9217	16533	-	-	10.0	++	1308	2012	47.3 (45.0,49.6)	31.2 (28.9,33.5)	43.0 (35.2,51.1)	29.1 (23.3,35.3)	190312_D00829_0232.lane2	40	0.997827267789245	15.2791357354095	0.9999986173060919	0.9978286474808372
Cap.E.7206	2836106	2803293	1696391	132	0.002846	22.1	f	632	Artiodactyla	Suidae	Sus_celebensis	best	177	0.28	73	2.4246	559	65	451	0.1	++	14	25	69.2 (38.6,90.9)	58.3 (27.7,84.8)	66.7 (9.4,99.2)	100.0 (15.8,100.0)	190312_D00829_0232.lane2	40	0.03373770293922385	0.17623272376124088	0.14411006788101888	0.2341106588547207
Cap.E.7206	2836106	2803293	1696391	143	0.00331	14.0	f	374	Primates	Tarsiidae	Tarsius_lariang	best	101	0.27	59	1.7118	593	59	593	0.09	-	3	10	20.0 (2.5,55.6)	6.2 (0.2,30.2)	N/A (N/A,N/A)	0.0 (0.0,97.5)	190312_D00829_0232.lane2	40	0.03578972780493693	0.14243466714949604	0.11818219189978663	0.3028352007152234
Cap.E.7206	2836106	2803293	1696391	147	0.001345	21.4	f	574	Lagomorpha	Leporidae	Lepus_europaeus	best	152	0.2648	59	2.5762	712	59	712	0.09	++	12	16	88.9 (51.8,99.7)	35.7 (12.8,64.9)	100.0 (2.5,100.0)	50.0 (1.3,98.7)	190312_D00829_0232.lane2	40	0.0429718148349327	0.14243466714949604	0.11818219189978663	0.36360651418084156
Cap.E.7206	2836106	2803293	1696391	1483	0.00281	19.9	f	4714	Primates	Cercopithecidae	Macaca_sylvanus	best	1961	0.4159	708	2.7697	1339	691	1316	1.09	++	146	271	43.7 (36.2,51.4)	40.1 (33.0,47.5)	35.7 (12.8,64.9)	27.8 (9.7,53.5)	190312_D00829_0232.lane2	40	0.08081356750558272	1.7092160057939525	0.778921565483821	0.10375058425219748
Cap.E.7206	2836106	2803293	1696391	1505	0.01189	14.5	f	2880	Carnivora	Canidae	Canis_lupus_chanco	best	2059	0.7149	937	2.1974	2455	888	2425	1.4	++	186	304	53.3 (46.3,60.2)	37.7 (31.5,44.1)	66.7 (44.7,84.4)	48.5 (30.8,66.5)	190312_D00829_0232.lane2	40	0.14816826603898847	2.2620556460860644	0.8643117271422021	0.17142919780678956
Cap.E.7206	2836106	2803293	1696391	161	0.002302	55.1	f	2329	Primates	Lemuridae	Eulemur_rubriventer	best	1032	0.4431	277	3.7256	525	276	514	0.43	++	38	74	25.9 (15.0,39.7)	64.1 (47.2,78.8)	33.3 (0.8,90.6)	50.0 (1.3,98.7)	190312_D00829_0232.lane2	40	0.031685678073510776	0.6687186915323797	0.4459379553890348	0.07105400581089424
Cap.E.7206	2836106	2803293	1696391	1664	0.01797	17.1	f	3955	Carnivora	Ursidae	Ursus_spelaeus	best	2856	0.7221	1210	2.3603	3334	1138	3326	1.79	++	225	356	48.8 (42.9,54.7)	36.7 (30.9,42.9)	44.8 (26.4,64.3)	34.2 (19.6,51.4)	190312_D00829_0232.lane2	40	0.20121914418492365	2.9211177500150884	0.9241764973663834	0.21772804735711832
Cap.E.7206	2836106	2803293	1696391	167	0.001702	148.0	f	3212	Chiroptera	Rhinolophidae	Rhinolophus_macrotis	best	1780	0.5541	577	3.0849	607	577	607	0.91	++	91	158	63.0 (52.8,72.4)	29.5 (21.0,39.2)	75.0 (19.4,99.4)	27.3 (6.0,61.0)	190312_D00829_0232.lane2	40	0.03663467922023055	1.3929627617840545	0.7077033648769612	0.05176558575018183
Cap.E.7206	2836106	2803293	1696391	170	0.002273	35.2	f	980	Artiodactyla	Ziphiidae	Mesoplodon_europaeus	best	551	0.5622	174	3.1666	526	172	512	0.27	++	35	49	37.3 (25.0,50.9)	31.1 (18.2,46.6)	16.7 (0.4,64.1)	16.7 (0.4,64.1)	190312_D00829_0232.lane2	40	0.031746031746031744	0.4200615607459714	0.3098969592630264	0.10244060419801396
Cap.E.7206	2836106	2803293	1696391	174	0.001221	4.9	f	266	Primates	Pitheciidae	Plecturocebus_donacophilus	best	78	0.2932	22	3.5454	324	22	324	0.03	-	1	12	0.0 (0.0,70.8)	16.7 (0.4,64.1)	N/A (N/A,N/A)	N/A (N/A,N/A)	190312_D00829_0232.lane2	40	0.01955458989679522	0.05311123181845615	0.04581453406863911	0.42682066497715826
Cap.E.7206	2836106	2803293	1696391	1743	0.03773	54.6	f	13189	Perissodactyla	Rhinocerotidae	Coelodonta_antiquitatis	best	12554	0.9518	4638	2.7067	4924	4620	4854	7.3	++	918	1414	48.9 (46.1,51.8)	33.6 (30.8,36.4)	58.6 (48.2,68.4)	35.2 (27.9,43.0)	190312_D00829_0232.lane2	40	0.29718148349327056	11.196813326090892	0.9999491579183286	0.29719659358675415
Cap.E.7206	2836106	2803293	1696391	176	0.002467	39.9	f	1799	Eulipotyphla	Erinaceidae	Erinaceus_europaeus	best	169	0.0939	73	2.315	414	73	414	0.11	++	17	21	58.3 (27.7,84.8)	50.0 (27.2,72.8)	N/A (N/A,N/A)	0.0 (0.0,97.5)	190312_D00829_0232.lane2	40	0.024986420423682782	0.17623272376124088	0.14411006788101888	0.17338428043981105
