IndexLibID,SampleID,Ancient,H_support_deam,Deaminated(term3),variable,value,Site,support,sizes,sig,Significance,h_sizes,h_sig,h_Significance,h_support,Fragments,Support,Group
D5354,SP3609,++,14.3% (2 / 14),157,Neanderthal,^^^21.4% (9 / 42),"El Sidron, Spain",21,9,^^^,^^^,2,-,-,14,9,21,Neanderthal
D5356,SP3609,++,^^^40.0% (6 / 15),165,Human,^^^79.7% (102 / 128),"El Sidron, Spain",79,102,^^^,^^^,6,^^^,^^^,40,6,40,Human
L5774,SP3609,++,3.5% (5 / 142),1956,Neanderthal,^^^87.0% (214 / 246),"El Sidron, Spain",87,214,^^^,^^^,5,-,-,3,214,87,Neanderthal
L5777,SP3609,++,12.5% (4 / 32),426,Neanderthal,^^^73.8% (31 / 42),"El Sidron, Spain",73,31,^^^,^^^,4,-,-,12,31,73,Neanderthal
L5776,SP3609,++,^27.3% (3 / 11),193,Neanderthal,^^^20.3% (12 / 59),"El Sidron, Spain",20,12,^^^,^^^,3,^,^,27,12,20,Neanderthal
L5775,SP3609,++,2.7% (2 / 73),1143,Neanderthal,^^^87.5% (98 / 112),"El Sidron, Spain",87,98,^^^,^^^,2,-,-,2,98,87,Neanderthal
D5353,SP3609,++,14.3% (2 / 14),153,Neanderthal,^^^17.7% (20 / 113),"El Sidron, Spain",17,20,^^^,^^^,2,-,-,14,20,17,Neanderthal
R5731,SP3910,++,0.0% (0 / 2),25,Neanderthal,^^^100.0% (7 / 7),"Trou Al'Wesse, Belgium",100,7,^^^,^^^,0,-,-,0,7,100,Neanderthal
D5352,SP3910,++,0.0% (0 / 1),46,Neanderthal,^^^33.3% (5 / 15),"Trou Al'Wesse, Belgium",33,5,^^^,^^^,0,-,-,0,5,33,Neanderthal
D5351,SP3910,++,^50.0% (2 / 4),45,Neanderthal,^^^55.6% (5 / 9),"Trou Al'Wesse, Belgium",55,5,^^^,^^^,2,^,^,50,5,55,Neanderthal
D5349,SP3910,++,0.0% (0 / 1),58,Neanderthal,^^^100.0% (5 / 5),"Trou Al'Wesse, Belgium",100,5,^^^,^^^,0,-,-,0,5,100,Neanderthal
D5349,SP3910,++,0.0% (0 / 1),58,Neanderthal,^^^100.0% (6 / 6),"Trou Al'Wesse, Belgium",100,6,^^^,^^^,0,-,-,0,6,100,Neanderthal
