DB_entry	QC	QC_comment	Comments	RunID	IndexLibID	CapLibID	IndexLibIDCoreDB	CapLibIDCoreDB	p7	p5	SampleID	ExtractID	SampleType	ExperimentType	ProbeSet	Site	Description	CC_reads	CC_percent	RawSeqs	FilteredL35	Identified	%Hominid	Mapped	%Mapped	Unique	Duplication_Rate	5'CT	3'CT	5'CT(95%CI)	3'CT(95%CI)	cond5'CT(95%CI)	cond3'CT(95%CI)	Ancient	Deaminated(term3)	H_support	H_support_deam	N_support	N_support_deam	N-HST_support	N-HST_support_deam	HST_support	HST_support_deam	D_support	D_support_deam	D-S_support	D-S_support_deam	S_support	S_support_deam	H_der	H_deam_der	N_der	N_deam_der	N-HST_der	N-HST_deam_der	HST_der	HST_deam_der	D_der	D_deam_der	D-S_der	D-S_deam_der	S_der	S_deam_der	
182	passed			160122	R5730	R4102	Lib.E.4776	Cap.H.350	482	85	SP3909	E3606	sediment	screening	AA75	Trou Al'Wesse, Belgium	Sediment sample, SED-3, Modave (Belgium)	0	0	1381278	1362638	712	0.2	314	44.1	49	6.41	14.3	0.0	1.8-42.8	0.0-24.7	N/A-N/A	0.0-97.5	-	2	^^^100.0% (7 / 7)	NA% (0 / 0)	0.0% (0 / 2)	NA% (0 / 0)	0.0% (0 / 1)	NA% (0 / 0)	0.0% (0 / 1)	NA% (0 / 0)	0.0% (0 / 7)	NA% (0 / 0)	0.0% (0 / 10)	NA% (0 / 0)	10.0% (1 / 10)	NA% (0 / 0)	(5580:2)(6266:1)(10324:1)(12474:1)(13359:1)(15148:1)												(11253:1)		
183	passed			160122	R5731	R4103	Lib.E.4777	Cap.H.351	483	86	SP3910	E3607	sediment	screening	AA75	Trou Al'Wesse, Belgium	Sediment sample, SED-4, Modave (Belgium)	2.1	0.000129	1646374	1624678	842	0.2	159	18.9	36	4.42	60.0	37.5	26.2-87.8	8.5-75.5	2.5-100.0	1.3-98.7	+	10	0.0% (0 / 3)	0.0% (0 / 2)	100.0% (1 / 1)	NA% (0 / 0)	^^100.0% (2 / 2)	100.0% (1 / 1)	0.0% (0 / 8)	0.0% (0 / 2)	0.0% (0 / 3)	0.0% (0 / 1)	0.0% (0 / 7)	0.0% (0 / 2)	0.0% (0 / 3)	0.0% (0 / 1)			(8986:1)		(4204:1)(16037:1)	(4204:1)									
184	passed			160122	R5732	R4104	Lib.E.4778	Cap.H.352	484	87	SP3911	E3608	sediment	screening	AA75	Trou Al'Wesse, Belgium	Sediment sample, SED-5, Modave (Belgium)	9.7	0.000660	1464951	1446195	702	0.1	117	16.7	16	7.31	75.0	N/A	19.4-99.4	N/A-N/A	N/A-N/A	N/A-N/A	+	4	NA% (0 / 0)	NA% (0 / 0)	100.0% (1 / 1)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	0.0% (0 / 1)	NA% (0 / 0)	0.0% (0 / 1)	NA% (0 / 0)	0.0% (0 / 3)	0.0% (0 / 1)			(9456:1)												
189	passed			160128	R8501	R4195	Lib.E.5075	Cap.H.357	415	10	SP3823	E3574	sediment	screening	AA163	Denisova Cave, Russia	Denisova soil, vial 1: DCM14 layer 19.2? Bulk	0	0	690855	680045	1163	0.4	799	68.7	81	9.86	25.0	45.5	9.8-46.7	16.7-76.6	0.8-90.6	0.8-90.6	+	24	^^^90.9% (10 / 11)	^66.7% (2 / 3)	0.0% (0 / 2)	NA% (0 / 0)	0.0% (0 / 3)	0.0% (0 / 1)	0.0% (0 / 3)	0.0% (0 / 2)	0.0% (0 / 9)	0.0% (0 / 1)	0.0% (0 / 16)	0.0% (0 / 6)	0.0% (0 / 10)	0.0% (0 / 2)	(2056:1)(2523:1)(5821:1)(5840:1)(11770:4)(13359:1)(15443:1)	(11770:2)													
190	passed			160128	R8502	R4196	Lib.E.5076	Cap.H.358	416	11	SP3824	E3575	sediment	screening	AA163	Denisova Cave, Russia	Denisova soil, vial 2: DCM14 layer 11.1 bulk	0	0	781416	758141	45	0.4	20	44.4	19	1.05	33.3	0.0	7.5-70.1	0.0-84.2	N/A-N/A	0.0-97.5	-	5	^^100.0% (2 / 2)	NA% (0 / 0)	0.0% (0 / 1)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	0.0% (0 / 1)	NA% (0 / 0)	0.0% (0 / 3)	NA% (0 / 0)	0.0% (0 / 4)	NA% (0 / 0)	0.0% (0 / 1)	NA% (0 / 0)	(5580:1)(12474:1)														
191	passed			160128	R8503	R4197	Lib.E.5077	Cap.H.359	417	12	SP3825	E3576	sediment	screening	AA163	Denisova Cave, Russia	Denisova soil,vial 3: DCM14 layer 11.2 bulk	0	0	860254	850595	1273	0.4	985	77.4	165	5.97	20.0	21.1	7.7-38.6	6.1-45.6	0.0-84.2	0.0-97.5	-	29	^^^95.8% (23 / 24)	^^^100.0% (4 / 4)	0.0% (0 / 9)	0.0% (0 / 3)	0.0% (0 / 10)	NA% (0 / 0)	0.0% (0 / 10)	0.0% (0 / 1)	0.0% (0 / 29)	0.0% (0 / 7)	0.0% (0 / 27)	0.0% (0 / 7)	0.0% (0 / 14)	NA% (0 / 0)	(2056:2)(4940:1)(7868:1)(8021:3)(8065:3)(8461:1)(8503:1)(9325:1)(10324:1)(11770:2)(13359:1)(13889:1)(15355:4)(15443:1)	(4940:1)(8021:1)(11770:2)													
192	passed			160128	R8504	R4198	Lib.E.5078	Cap.H.360	418	13	SP3826	E3577	sediment	screening	AA163	Denisova Cave, Russia	Denisova soil,vial 4: DCM14 layer 11.4 bulk	13.2	0.001696	778152	768482	1534	0.5	1189	77.5	184	6.46	30.3	37.0	15.6-48.7	19.4-57.6	1.3-98.7	0.8-90.6	++	40	^^^100.0% (13 / 13)	^^100.0% (2 / 2)	14.3% (1 / 7)	100.0% (1 / 1)	0.0% (0 / 9)	0.0% (0 / 2)	0.0% (0 / 10)	0.0% (0 / 1)	3.7% (1 / 27)	0.0% (0 / 3)	4.0% (1 / 25)	33.3% (1 / 3)	0.0% (0 / 24)	0.0% (0 / 7)	(2056:2)(2831:1)(5580:2)(6266:1)(8065:1)(11770:2)(13095:1)(15148:2)(15443:1)	(8065:1)(11770:1)	(9027:1)	(9027:1)					(10196:1)		(486:1)	(486:1)			
193	passed			160128	R8505	R4199	Lib.E.5079	Cap.H.361	419	14	SP3827	E3578	sediment	screening	AA163	Denisova Cave, Russia	Denisova soil,vial 5: DCM14 layer 11.5 bulk	0	0	610484	602778	1942	0.8	1641	84.5	67	24.49	0.0	27.3	0.0-26.5	6.0-61.0	0.0-97.5	N/A-N/A	-	6	^^^100.0% (3 / 3)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	0.0% (0 / 1)	NA% (0 / 0)	0.0% (0 / 6)	0.0% (0 / 1)	0.0% (0 / 3)	0.0% (0 / 1)	6.2% (1 / 16)	0.0% (0 / 1)	0.0% (0 / 3)	NA% (0 / 0)	(6266:1)(9325:1)(10324:1)										(4456:1)				
194	passed			160128	R8506	R4200	Lib.E.5080	Cap.H.362	420	15	SP3828	E3579	sediment	screening	AA163	Denisova Cave, Russia	Denisova soil,vial 6: DCM14 layer 12.1 bulk	0	0	697502	688648	708	0.4	488	68.9	180	2.71	48.6	44.4	31.9-65.6	21.5-69.2	0.0-97.5	0.0-97.5	++	44	^^60.0% (9 / 15)	^^100.0% (2 / 2)	^66.7% (2 / 3)	NA% (0 / 0)	^^^80.0% (8 / 10)	^^^100.0% (3 / 3)	0.0% (0 / 8)	0.0% (0 / 2)	3.6% (1 / 28)	7.7% (1 / 13)	0.0% (0 / 25)	0.0% (0 / 4)	0.0% (0 / 22)	0.0% (0 / 5)	(8461:1)(11770:8)	(11770:2)	(438:1)(6200:1)		(547:1)(5673:1)(10532:1)(11458:2)(13801:1)(15479:2)	(547:1)(5673:1)(13801:1)			(6566:1)	(6566:1)					
195	passed			160128	R8507	R4201	Lib.E.5081	Cap.H.363	421	16	SP3829	E3580	sediment	screening	AA163	Denisova Cave, Russia	Denisova soil,vial 7: DCM14 layer 12.2 bulk	0	0	704836	697192	537	0.2	291	54.2	84	3.46	36.4	33.3	17.2-59.3	9.9-65.1	0.0-97.5	0.0-97.5	+	19	^^83.3% (10 / 12)	^^100.0% (6 / 6)	0.0% (0 / 2)	NA% (0 / 0)	0.0% (0 / 2)	NA% (0 / 0)	0.0% (0 / 5)	NA% (0 / 0)	0.0% (0 / 7)	0.0% (0 / 1)	0.0% (0 / 2)	NA% (0 / 0)	0.0% (0 / 8)	0.0% (0 / 3)	(11770:10)	(11770:6)													
196	passed			160128	R8508	R4202	Lib.E.5082	Cap.H.364	422	17	SP3830	E3581	sediment	screening	AA163	Denisova Cave, Russia	Denisova soil,vial 8: DCM14 layer 12.3 bulk eastside	0	0	727442	716557	1744	0.6	981	56.2	32	30.66	30.0	60.0	6.7-65.2	14.7-94.7	0.0-97.5	N/A-N/A	+	12	^66.7% (2 / 3)	^^100.0% (2 / 2)	0.0% (0 / 1)	NA% (0 / 0)	0.0% (0 / 2)	NA% (0 / 0)	0.0% (0 / 1)	0.0% (0 / 1)	33.3% (2 / 6)	25.0% (1 / 4)	^^100.0% (2 / 2)	100.0% (1 / 1)	0.0% (0 / 1)	NA% (0 / 0)	(11770:2)	(11770:2)							(7961:1)(13528:1)	(13528:1)	(7232:1)(15250:1)	(7232:1)			
197	passed			160128	R8509	R4203	Lib.E.5083	Cap.H.365	423	18	SP3831	E3582	sediment	screening	AA163	Denisova Cave, Russia	Denisova soil,vial 9: DCM14 layer 14.1 or base of 12.3 bulk eastside	0.8	0.000104	762424	748091	241	0.1	40	16.6	22	1.82	60.0	33.3	14.7-94.7	0.8-90.6	N/A-N/A	N/A-N/A	+	5	NA% (0 / 0)	NA% (0 / 0)	100.0% (1 / 1)	NA% (0 / 0)	0.0% (0 / 1)	NA% (0 / 0)	0.0% (0 / 2)	NA% (0 / 0)	0.0% (0 / 1)	NA% (0 / 0)	0.0% (0 / 2)	NA% (0 / 0)	0.0% (0 / 1)	NA% (0 / 0)			(3808:1)												
198	passed			160128	R8510	R4204	Lib.E.5084	Cap.H.366	424	19		E3589	control	screening	AA163		extract negative Denisova set	0	0	93182	65196	46124	98.7	45873	99.5	222	206.64	0.0	1.9	0.0-7.5	0.0-10.1	N/A-N/A	N/A-N/A	-	4	^^^100.0% (21 / 21)	NA% (0 / 0)	0.0% (0 / 5)	NA% (0 / 0)	0.0% (0 / 7)	NA% (0 / 0)	0.0% (0 / 14)	NA% (0 / 0)	0.0% (0 / 28)	0.0% (0 / 1)	0.0% (0 / 25)	0.0% (0 / 1)	0.0% (0 / 32)	0.0% (0 / 1)	(2523:2)(2831:2)(6266:1)(8021:2)(8065:1)(9325:1)(10324:2)(11770:1)(13359:1)(13656:1)(13889:1)(15355:4)(15443:2)														
199	passed			160128	R8511	R4205	Lib.E.5085	Cap.H.367	425	20			control	screening	AA163		lib neg control	3.5	0.003062	114978	71896	55998	100.0	51099	91.3	49	1042.84	0.0	0.0	0.0-36.9	0.0-33.6	N/A-N/A	N/A-N/A	-	0	^^100.0% (3 / 3)	NA% (0 / 0)	0.0% (0 / 1)	NA% (0 / 0)	0.0% (0 / 4)	NA% (0 / 0)	0.0% (0 / 3)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	0.0% (0 / 6)	NA% (0 / 0)	0.0% (0 / 9)	NA% (0 / 0)	(8065:1)(13095:2)														
200	passed			160128	R8512	R4206	Lib.E.5086	Cap.H.368	426	21	SP3801	E3546	sediment	screening	AA163	Argo Cave, France	Arago, Carbonated, layer G	0	0	741086	718780	321886	98.9	316417	98.3	649	487.55	4.3	0.7	1.6-9.1	0.0-3.9	N/A-N/A	0.0-97.5	-	10	^^^100.0% (50 / 50)	100.0% (1 / 1)	0.0% (0 / 37)	0.0% (0 / 1)	0.0% (0 / 36)	0.0% (0 / 1)	0.0% (0 / 75)	0.0% (0 / 1)	0.0% (0 / 90)	0.0% (0 / 3)	0.0% (0 / 160)	0.0% (0 / 2)	0.0% (0 / 82)	0.0% (0 / 1)	(2056:5)(4940:3)(5580:2)(6266:3)(8021:5)(8065:1)(8503:3)(9325:6)(11770:3)(12474:3)(13359:1)(13656:2)(13889:2)(15148:5)(15355:6)	(8021:1)													
201	passed			160128	R8513	R4207	Lib.E.5087	Cap.H.369	427	22	SP3802	E3547	sediment	screening	AA163	Argo Cave, France	Arago, Carbonated, loose, layer G	0	0	829605	794504	352701	99.0	346818	98.3	758	457.54	2.1	1.2	0.6-5.2	0.0-6.5	0.0-97.5	N/A-N/A	-	12	^^^100.0% (81 / 81)	NA% (0 / 0)	0.0% (0 / 17)	NA% (0 / 0)	1.3% (1 / 79)	NA% (0 / 0)	0.0% (0 / 61)	NA% (0 / 0)	1.1% (1 / 95)	0.0% (0 / 4)	1.8% (3 / 163)	0.0% (0 / 4)	0.0% (0 / 89)	0.0% (0 / 1)	(2056:2)(2523:4)(2831:15)(4940:1)(5580:1)(5821:5)(5840:5)(7868:3)(7891:8)(8021:5)(8065:3)(8503:1)(10324:2)(11770:6)(13095:5)(13359:2)(13656:6)(15148:1)(15355:2)(15443:4)				(547:1)				(7664:1)		(282:1)(1405:2)				
203	passed			160128	R8515	R4209	Lib.E.5089	Cap.H.371	429	24	SP3804	E3549	sediment	screening	AA163	Argo Cave, France	Arago, carbonated, loose, layer G	16.6	0.002939	563128	546594	109954	96.4	102464	93.2	134	764.66	5.7	4.5	0.7-19.2	0.1-22.8	0.0-97.5	N/A-N/A	-	4	^^^100.0% (7 / 7)	100.0% (1 / 1)	0.0% (0 / 6)	NA% (0 / 0)	14.3% (1 / 7)	NA% (0 / 0)	0.0% (0 / 20)	0.0% (0 / 2)	0.0% (0 / 15)	0.0% (0 / 2)	2.6% (1 / 39)	NA% (0 / 0)	0.0% (0 / 19)	NA% (0 / 0)	(7868:1)(7891:4)(13656:1)(15443:1)	(7891:1)			(547:1)						(7232:1)				
204	passed			160128	R8516	R4210	Lib.E.5090	Cap.H.372	430	25	SP3805	E3550	sediment	screening	AA163	Argo Cave, France	Arago, carbonated, layer G	6.2	0.000813	763741	741105	194930	100.0	189591	97.3	515	368.14	1.7	2.5	0.2-5.9	0.5-7.0	N/A-N/A	0.0-97.5	-	10	^^^100.0% (29 / 29)	100.0% (1 / 1)	0.0% (0 / 30)	0.0% (0 / 3)	0.0% (0 / 31)	0.0% (0 / 3)	0.0% (0 / 56)	NA% (0 / 0)	0.0% (0 / 107)	0.0% (0 / 2)	0.0% (0 / 83)	0.0% (0 / 1)	0.0% (0 / 85)	0.0% (0 / 2)	(2523:1)(2831:1)(5580:6)(6266:1)(7868:2)(7891:2)(8021:2)(8065:1)(8461:1)(8503:1)(9325:4)(10324:1)(13359:1)(13656:3)(15355:2)	(5580:1)													
205	passed			160128	R8517	R4211	Lib.E.5091	Cap.H.373	431	26	SP3806	E3551	sediment	screening	AA163	Argo Cave, France	Arago, Phosphated, near stone tool, layer G	0	0	653228	631410	259568	99.1	244185	94.1	313	780.14	2.5	3.1	0.3-8.7	0.4-10.7	0.0-97.5	0.0-97.5	-	10	^^^97.1% (34 / 35)	^^100.0% (2 / 2)	0.0% (0 / 4)	NA% (0 / 0)	0.0% (0 / 13)	NA% (0 / 0)	0.0% (0 / 28)	0.0% (0 / 1)	0.0% (0 / 47)	NA% (0 / 0)	2.6% (1 / 38)	0.0% (0 / 1)	0.0% (0 / 29)	0.0% (0 / 1)	(2831:1)(4940:1)(5580:1)(5821:2)(5840:2)(7868:1)(7891:1)(8021:4)(8065:1)(8461:3)(8503:1)(10324:4)(11770:1)(12474:1)(13095:1)(13359:5)(13656:2)(15355:2)	(5821:1)(5840:1)									(6509:1)				
206	passed			160128	R8518	R4212	Lib.E.5092	Cap.H.374	432	27	SP3807	E3552	sediment	screening	AA163	Argo Cave, France	Arago, carbonated, clay like near antler, layer J	9.7	0.001492	648695	631106	283452	99.5	280473	98.9	1929	145.40	1.8	1.2	0.7-3.9	0.3-3.1	N/A-N/A	0.0-84.2	-	17	^^^99.1% (209 / 211)	100.0% (1 / 1)	0.0% (0 / 49)	NA% (0 / 0)	0.0% (0 / 126)	NA% (0 / 0)	0.0% (0 / 170)	0.0% (0 / 1)	0.3% (1 / 295)	0.0% (0 / 1)	0.0% (0 / 373)	0.0% (0 / 2)	0.0% (0 / 336)	NA% (0 / 0)	(2056:3)(2523:21)(2831:7)(4940:2)(5580:5)(5821:15)(5840:10)(6266:7)(7868:8)(7891:4)(8021:6)(8065:12)(8461:5)(8503:7)(9325:13)(10324:6)(11770:25)(12474:5)(13095:3)(13359:15)(13656:5)(13889:7)(15148:7)(15355:1)(15443:10)	(5821:1)							(14662:1)						
207	passed			160128	R8519	R4213	Lib.E.5093	Cap.H.375	433	28	SP3808	E3553	sediment	screening	AA163	Argo Cave, France	Arago, carbonated, clay like near antler, layer J	20.5	0.003144	652330	634500	265127	100.0	257260	97.0	548	469.45	0.9	5.7	0.0-5.0	1.9-12.9	0.0-84.2	N/A-N/A	-	9	^^^97.4% (38 / 39)	NA% (0 / 0)	0.0% (0 / 33)	NA% (0 / 0)	0.0% (0 / 39)	0.0% (0 / 1)	0.0% (0 / 49)	NA% (0 / 0)	0.0% (0 / 98)	NA% (0 / 0)	0.0% (0 / 97)	0.0% (0 / 1)	0.0% (0 / 77)	0.0% (0 / 4)	(2056:3)(2831:1)(4940:4)(5580:1)(5821:1)(6266:2)(8065:3)(8461:5)(8503:2)(9325:3)(10324:2)(12474:1)(13095:1)(13359:2)(13889:3)(15355:4)														
208	passed			160128	R8520	R4214	Lib.E.5094	Cap.H.376	434	29	SP3809	E3554	sediment	screening	AA163	Argo Cave, France	Arago, carbonated, with small bone fragments, layer Q	0	0	799223	774586	219604	98.2	213655	97.3	378	565.22	1.0	1.2	0.0-5.6	0.0-6.8	0.0-97.5	N/A-N/A	-	6	^^^97.8% (44 / 45)	100.0% (1 / 1)	0.0% (0 / 14)	NA% (0 / 0)	0.0% (0 / 29)	0.0% (0 / 2)	0.0% (0 / 40)	NA% (0 / 0)	0.0% (0 / 73)	0.0% (0 / 5)	0.0% (0 / 80)	0.0% (0 / 2)	0.0% (0 / 65)	0.0% (0 / 3)	(2056:1)(2523:16)(5580:6)(6266:7)(8021:1)(8065:1)(11770:2)(13095:1)(13359:3)(13656:2)(13889:2)(15355:2)	(13359:1)													
209	passed			160128	R8521	R4215	Lib.E.5095	Cap.H.377	435	30	SP3810	E3555	sediment	screening	AA163	Argo Cave, France	Arago, carbonated, steril spot, layer Q	178.5	0.029461	605793	587423	117721	48.7	114832	97.5	207	554.74	3.1	0.0	0.1-16.2	0.0-14.2	N/A-N/A	N/A-N/A	-	7	^^^100.0% (11 / 11)	NA% (0 / 0)	0.0% (0 / 1)	NA% (0 / 0)	0.0% (0 / 13)	NA% (0 / 0)	0.0% (0 / 8)	NA% (0 / 0)	0.0% (0 / 30)	0.0% (0 / 1)	2.5% (1 / 40)	0.0% (0 / 3)	0.0% (0 / 38)	NA% (0 / 0)	(2523:2)(5580:1)(6266:1)(10324:1)(12474:2)(13359:1)(13889:2)(15355:1)										(16070:1)				
210	passed			160128	R8522	R4216	Lib.E.5096	Cap.H.378	436	31	SP3811	E3556	sediment	screening	AA163	Argo Cave, France	Arago, carbonated, steril spot, layer Q	0	0	728731	703354	257010	96.8	251006	97.7	361	695.31	0.0	1.4	0.0-6.7	0.0-7.6	N/A-N/A	N/A-N/A	-	2	^^^100.0% (25 / 25)	NA% (0 / 0)	0.0% (0 / 1)	NA% (0 / 0)	0.0% (0 / 14)	NA% (0 / 0)	0.0% (0 / 35)	0.0% (0 / 1)	0.0% (0 / 32)	NA% (0 / 0)	0.0% (0 / 93)	0.0% (0 / 1)	2.4% (1 / 41)	NA% (0 / 0)	(2831:3)(4940:4)(5821:1)(5840:1)(6266:1)(8065:2)(8503:1)(9325:3)(10324:1)(12474:6)(13095:1)(13889:1)												(4733:1)		
211	passed			160128	R8523	R4217	Lib.E.5097	Cap.H.379	437	32	SP3812	E3557	sediment	screening	AA163	Argo Cave, France	Arago, carbonated, loose, 5cm next to hominin incisor	6.6	0.000942	702273	674371	156322	45.5	155358	99.4	372	417.63	3.3	5.4	0.7-9.2	1.5-13.3	N/A-N/A	N/A-N/A	-	12	^^^100.0% (64 / 64)	^^100.0% (3 / 3)	0.0% (0 / 10)	NA% (0 / 0)	0.0% (0 / 29)	0.0% (0 / 1)	0.0% (0 / 20)	NA% (0 / 0)	0.0% (0 / 76)	NA% (0 / 0)	4.0% (3 / 75)	50.0% (1 / 2)	1.1% (1 / 90)	0.0% (0 / 3)	(2523:5)(2831:2)(4940:8)(5580:1)(5821:9)(5840:7)(6266:1)(7868:1)(7891:1)(8021:5)(8065:2)(8461:3)(8503:3)(10324:1)(11770:2)(13095:1)(13889:2)(15148:1)(15355:5)(15443:4)	(5821:2)(5840:1)									(4456:2)(4958:1)	(4456:1)	(4733:1)		
212	passed			160128	R8524	R4218	Lib.E.5098	Cap.H.380	438	33		E3558	control	screening	AA163		extract negative Arago set	20.6	0.023146	88972	76026	40871	98.1	38862	95.1	205	189.57	5.0	0.0	0.6-16.9	0.0-12.3	N/A-N/A	0.0-97.5	-	7	^^^89.7% (26 / 29)	NA% (0 / 0)	0.0% (0 / 2)	NA% (0 / 0)	0.0% (0 / 14)	NA% (0 / 0)	0.0% (0 / 17)	0.0% (0 / 1)	0.0% (0 / 29)	0.0% (0 / 1)	0.0% (0 / 20)	0.0% (0 / 2)	0.0% (0 / 24)	NA% (0 / 0)	(2056:4)(2523:7)(2831:1)(4940:1)(6266:1)(8065:1)(8503:2)(9325:1)(10324:1)(11770:1)(12474:1)(13656:1)(13889:1)(15148:1)(15355:2)														
213	passed			160128	R8525	R4219	Lib.E.5099	Cap.H.381	439	34			control	screening	AA163		lib neg control	0	0	85144	60518	38651	100.0	38548	99.7	43	896.47	0.0	8.3	0.0-21.8	0.2-38.5	0.0-97.5	N/A-N/A	-	4	^^100.0% (4 / 4)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	0.0% (0 / 4)	0.0% (0 / 1)	NA% (0 / 0)	NA% (0 / 0)	0.0% (0 / 5)	0.0% (0 / 1)	0.0% (0 / 8)	0.0% (0 / 1)	0.0% (0 / 5)	0.0% (0 / 1)	(15148:4)														
214	passed			160128	R8544	R4220	Lib.E.5100	Cap.H.382	440	35	SP3858	E3590	sediment	screening	AA163	Denisova Cave, Russia	Denisova, vial 36, layer 12.2 c+b	0	0	696771	687623	649	0.3	333	51.3	66	5.05	27.8	28.6	9.7-53.5	3.7-71.0	2.5-100.0	2.5-100.0	-	13	^^75.0% (3 / 4)	0.0% (0 / 1)	0.0% (0 / 1)	NA% (0 / 0)	0.0% (0 / 1)	NA% (0 / 0)	0.0% (0 / 1)	NA% (0 / 0)	0.0% (0 / 4)	NA% (0 / 0)	0.0% (0 / 3)	NA% (0 / 0)	0.0% (0 / 4)	0.0% (0 / 1)	(13095:2)(15355:1)														
215	passed			160128	R8545	R4221	Lib.E.5101	Cap.H.383	441	36	SP3859	E3591	sediment	screening	AA163	Denisova Cave, Russia	Denisova, vial 37, layer 12.1 b	0	0	837058	825658	796	0.2	395	49.6	61	6.48	36.8	28.6	16.3-61.6	3.7-71.0	N/A-N/A	0.0-97.5	+	17	^50.0% (2 / 4)	0.0% (0 / 2)	NA% (0 / 0)	NA% (0 / 0)	^^100.0% (2 / 2)	100.0% (1 / 1)	0.0% (0 / 6)	0.0% (0 / 3)	0.0% (0 / 6)	NA% (0 / 0)	0.0% (0 / 8)	0.0% (0 / 2)	16.7% (1 / 6)	0.0% (0 / 2)	(5821:1)(5840:1)				(417:1)(11458:1)	(417:1)							(13983:1)		
216	passed			160128	R8546	R4222	Lib.E.5102	Cap.H.384	442	37	SP3860	E3592	sediment	screening	AA163	Denisova Cave, Russia	Denisova, vial 38, layer 11.4 c+b	0	0	701391	691787	2355	0.7	1881	79.9	85	22.13	50.0	50.0	28.2-71.8	18.7-81.3	9.4-99.2	15.8-100.0	++	25	0.0% (0 / 6)	0.0% (0 / 2)	NA% (0 / 0)	NA% (0 / 0)	50.0% (1 / 2)	NA% (0 / 0)	0.0% (0 / 1)	NA% (0 / 0)	0.0% (0 / 17)	0.0% (0 / 6)	0.0% (0 / 13)	0.0% (0 / 2)	0.0% (0 / 10)	0.0% (0 / 3)					(10532:1)										
217	passed			160128	R8547	R4223	Lib.E.5103	Cap.H.385	443	38	SP3861	E3593	sediment	screening	AA163	Denisova Cave, Russia	Denisova, vial 39, layer 11.3 c+b	0	0	794871	784401	942	0.3	532	56.5	49	10.86	41.7	75.0	15.2-72.3	34.9-96.8	0.0-97.5	N/A-N/A	++	17	^^100.0% (15 / 15)	^^100.0% (6 / 6)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	0.0% (0 / 3)	0.0% (0 / 1)	0.0% (0 / 5)	0.0% (0 / 2)	0.0% (0 / 2)	0.0% (0 / 1)	NA% (0 / 0)	NA% (0 / 0)	(11770:15)	(11770:6)													
218	passed			160128	R8548	R4224	Lib.E.5104	Cap.H.386	444	39	SP3862	E3594	sediment	screening	AA163	Denisova Cave, Russia	Denisova, vial 40, layer 11.2 c+b	125.5	0.014565	861567	846385	1662	0.4	1289	77.6	89	14.48	36.0	25.0	18.0-57.5	0.6-80.6	N/A-N/A	0.0-97.5	+	17	33.3% (1 / 3)	100.0% (1 / 1)	^^100.0% (3 / 3)	NA% (0 / 0)	^50.0% (2 / 4)	NA% (0 / 0)	0.0% (0 / 5)	0.0% (0 / 1)	7.7% (1 / 13)	0.0% (0 / 1)	0.0% (0 / 6)	0.0% (0 / 2)	0.0% (0 / 12)	0.0% (0 / 2)	(11770:1)	(11770:1)	(3808:3)		(547:1)(4532:1)				(13528:1)						
219	passed			160128	R8549	R4225	Lib.E.5105	Cap.H.387	445	40	SP3863	E3595	sediment	screening	AA163	Denisova Cave, Russia	Denisova, vial 41, layer 11.1 b	0	0	775103	764756	1049	0.3	697	66.4	56	12.45	25.0	25.0	5.5-57.2	0.6-80.6	N/A-N/A	N/A-N/A	-	11	^^^75.0% (3 / 4)	NA% (0 / 0)	100.0% (1 / 1)	100.0% (1 / 1)	^66.7% (2 / 3)	NA% (0 / 0)	0.0% (0 / 2)	NA% (0 / 0)	0.0% (0 / 4)	NA% (0 / 0)	0.0% (0 / 7)	NA% (0 / 0)	0.0% (0 / 1)	NA% (0 / 0)	(7868:1)(7891:1)(11770:1)		(9027:1)	(9027:1)	(7424:1)(13801:1)										
220	passed			160128	R8550	R4226	Lib.E.5106	Cap.H.388	446	41	SP3864	E3596	sediment	screening	AA163	Denisova Cave, Russia	Denisova, vial 42, layer 9.3 s	0	0	839105	812492	248705	100.0	245608	98.8	62	3961.42	6.7	0.0	0.2-31.9	0.0-45.9	N/A-N/A	N/A-N/A	-	2	^^^85.7% (6 / 7)	NA% (0 / 0)	0.0% (0 / 5)	NA% (0 / 0)	0.0% (0 / 7)	NA% (0 / 0)	0.0% (0 / 10)	NA% (0 / 0)	0.0% (0 / 2)	NA% (0 / 0)	0.0% (0 / 6)	NA% (0 / 0)	0.0% (0 / 6)	0.0% (0 / 1)	(6266:1)(9325:3)(13359:2)														
