Summary table of all sediment samples,,,,,,,,,,,,,,,,,
Data source refers to the step in the screening of samples,,,,,,,,,,,,,,,,,
Controls are identified in SampleID column: ENC=Extraction Negative Control; LNC=Library Negataive Control,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Data Source,Chamber (Section),Library PlateID,Layer,MPI-EVA sample ID,Field sampleID,Sub-sample/lysate ID,Input for DNA extraction (mg),Extract ID,Number of molecules in library,Control oligo copies in library,Indexed library ID,Captured library ID - mammalian mtDNA,ENA Accession ID,Ancient mammalian mtDNA present,Captured library ID - human mtDNA,ENA Accession ID,Ancient hominin mtDNA present
First Screen,,Pl_257,,LNC,,,,,6.49E+07,3.41E+03,M3878,B19457,ERS6159626,No,B19364,ERS6161015,No
First Screen,East NW,Pl_257,13,SP7367,E41,Lys2880,74.6,E12408,3.78E+11,1.24E+06,M3882,B19459,ERS6159627,Yes,B19365,ERS6161016,No
First Screen,East NW,Pl_257,13,SP7368,E42,Lys2881,50.9,E12409,1.97E+11,6.25E+05,M3883,B19460,ERS6159628,Yes,B19366,ERS6161017,No
First Screen,East NW,Pl_257,13,SP7369,E43,Lys2882,69,E12410,3.66E+11,1.36E+06,M3884,B19461,ERS6159629,Yes,B19367,ERS6161018,No
First Screen,East NW,Pl_257,13,SP7370,E44,Lys2883,97.2,E12411,3.64E+11,9.72E+05,M3885,B19462,ERS6159630,Yes,B19368,ERS6161019,No
First Screen,East NW,Pl_257,13,SP7371,E45,Lys2884,53.5,E12412,1.43E+11,8.85E+05,M3886,B19463,ERS6159631,Yes,B19369,ERS6161020,No
First Screen,East NW,Pl_257,13,SP7372,E46,Lys2885,89.7,E12413,4.58E+11,7.55E+05,M3887,B19464,ERS6159632,Yes,B19370,ERS6161021; ERS6161724,Yes
First Screen,East NW,Pl_257,13,SP7373,E47,Lys2886,83.3,E12414,4.04E+11,1.41E+06,M3888,B19465,ERS6159633,Yes,B19371,ERS6161022,No
First Screen,East NW,Pl_257,13,SP7374,E48,Lys2887,60.8,E12415,2.39E+11,8.04E+05,M3889,B19466,ERS6159634,Yes,B19372,ERS6161023,Yes
First Screen,East NW,Pl_257,13,SP7375,E49,Lys2888,84.7,E12416,2.87E+11,1.24E+06,M3890,B19467,ERS6159635,Yes,B19373,ERS6161024,No
First Screen,East NW,Pl_257,13,SP7376,E50,Lys2889,86.3,E12417,5.48E+11,1.39E+06,M3891,B19468,ERS6159636,Yes,B19374,ERS6161025,No
First Screen,East NW,Pl_257,13,SP7377,E51,Lys2890,55.3,E12418,3.59E+11,1.38E+06,M3892,B19469,ERS6159637,Yes,B19375,ERS6161026,No
First Screen,,Pl_257,,ENC,,,,E12419,6.50E+07,1.29E+06,M3893,B19470,ERS6159638,No,B19376,ERS6161027,No
First Screen,East NW,Pl_257,13,SP7378,E52,Lys2892,51.9,E12420,2.17E+11,1.03E+06,M3894,B19471,ERS6159639,Yes,B19377,ERS6161028,No
First Screen,East NW,Pl_257,13,SP7379,E53,Lys2893,63.25,E12421,2.97E+11,8.08E+05,M3895,B19474,ERS6159640,Yes,B19378,ERS6161029; ERS6161725,No
First Screen,East NW,Pl_257,13,SP7380,E54,Lys2894,63.4,E12422,2.74E+11,9.02E+05,M3896,B19475,ERS6159641,Yes,B19379,ERS6161030,No
First Screen,East NW,Pl_257,12.3,SP7381,E55,Lys2895,61.1,E12423,2.49E+11,1.18E+06,M3897,B19476,ERS6159642,Yes,B19380,ERS6161031,No
First Screen,East NW,Pl_257,13,SP7382,E56,Lys2896,73.8,E12424,2.24E+11,1.42E+06,M3898,B19477,ERS6159643,Yes,B19381,ERS6161032,No
First Screen,East NW,Pl_257,13,SP7383,E57,Lys2897,73.3,E12425,3.00E+11,1.58E+06,M3899,B19478,ERS6159644,Yes,B19382,ERS6161033,No
First Screen,East NW,Pl_257,13,SP7384,E58,Lys2898,61.4,E12426,2.28E+11,1.28E+10,M3900,B19479,ERS6159645,Yes,B19383,ERS6161034,No
First Screen,,Pl_257,,LNC,,,,,6.09E+07,1.42E+06,M3901,B19480,ERS6159646,No,B19386,ERS6161035,No
First Screen,East NW,Pl_257,13,SP7385,E59,Lys2899,65.3,E12429,4.12E+11,1.37E+06,M3906,B19481,ERS6159647,Yes,B19387,ERS6161036,No
First Screen,East NW,Pl_257,12.3,SP7386,E60,Lys2900,98,E12430,2.57E+11,1.33E+06,M3907,B19482,ERS6159648,Yes,B19388,ERS6161037,No
First Screen,East NW,Pl_257,13,SP7387,E61,Lys2901,55.65,E12431,3.32E+11,1.29E+06,M3908,B19483,ERS6159649,Yes,B19389,ERS6161038,No
First Screen,East NW,Pl_257,13,SP7388,E62,Lys2902,60.35,E12432,2.17E+11,8.37E+05,M3909,B19486,ERS6159650,Yes,B19390,ERS6161039,No
First Screen,East NW,Pl_257,13,SP7389,E63,Lys2903,81,E12433,4.08E+11,7.50E+05,M3910,B19487,ERS6159651,Yes,B19391,ERS6161040,No
First Screen,East NW,Pl_257,13,SP7390,E64,Lys2904,72,E12434,3.15E+11,1.17E+06,M3911,B19488,ERS6159652,Yes,B19392,ERS6161041,No
First Screen,East NW,Pl_257,12.3,SP7391,E65,Lys2905,66.6,E12435,2.86E+11,1.55E+06,M3912,B19489,ERS6159653,Yes,B19393,ERS6161042,No
First Screen,East NW,Pl_257,12.3,SP7392,E66,Lys2906,71.7,E12436,3.25E+11,1.13E+06,M3913,B19490,ERS6159654,Yes,B19394,ERS6161043,No
First Screen,,Pl_257,,ENC,,,,E12437,8.57E+07,1.00E+06,M3914,B19491,ERS6159655,No,B19395,ERS6161044,No
First Screen,East NW,Pl_257,12.3,SP7393,E67,Lys2908,77.7,E12438,3.18E+11,1.14E+06,M3915,B19492,ERS6159656,Yes,B19398,ERS6161045,No
First Screen,East NW,Pl_257,12.3,SP7394,E68,Lys2909,62.5,E12439,2.37E+11,1.06E+06,M3916,B19493,ERS6159657,Yes,B19399,ERS6161046,No
First Screen,East NW,Pl_257,12.3,SP7395,E69,Lys2910,63.4,E12440,2.23E+11,9.97E+05,M3917,B19494,ERS6159658,Yes,B19400,ERS6161047,No
First Screen,East NW,Pl_257,12.3,SP7396,E70,Lys2911,89.7,E12441,2.72E+11,6.73E+05,M3918,B19495,ERS6159659,Yes,B19401,ERS6161048,No
First Screen,East NW,Pl_257,12.3,SP7397,E71,Lys2912,86.7,E12442,2.78E+11,N/A,M3919,B19496,ERS6159660,Yes,B19402,ERS6161049,No
First Screen,East NW,Pl_257,12.3,SP7398,E72,Lys2913,93,E12443,1.47E+11,N/A,M3920,B19497,ERS6159661,Yes,B19403,ERS6161050,No
First Screen,East NW,Pl_257,12.3,SP7399,E73,Lys2914,99.3,E12444,2.91E+11,N/A,M3921,B19498,ERS6159662,Yes,B19404,ERS6161051,Yes
First Screen,East NW,Pl_258,12.3,SP7400,E74,Lys2915,62,E12445,2.85E+11,1.35E+06,M5021,B19587,ERS6159663,Yes,B19499,ERS6161052,No
First Screen,East NW,Pl_258,12.3,SP7401,E75,Lys2916,81.5,E12446,2.56E+11,1.67E+06,M5022,B19590,ERS6159664,Yes,B19500,ERS6161053,No
First Screen,East NW,Pl_258,12.3,SP7402,E76,Lys2917,78.2,E12447,2.29E+11,1.60E+06,M5023,B19591,ERS6159665,Yes,B19501,ERS6161054,No
First Screen,,Pl_258,,ENC,,,,E12448,7.00E+07,1.95E+06,M5024,B19592,ERS6159666,No,B19502,ERS6161055,No
First Screen,East NW,Pl_258,12.3,SP7403,E77,Lys2919,88.8,E12449,2.53E+11,1.55E+06,M5025,B19593,ERS6159667,Yes,B19503,ERS6161056,No
First Screen,East NW,Pl_258, 12/13,SP7404,E78,Lys2920,94.6,E12450,3.28E+11,1.71E+06,M5026,B19594,ERS6159668,Yes,B19504,ERS6161057; ERS6161493,No
First Screen,East NW,Pl_258,12.3,SP7405,E79,Lys2921,92.3,E12451,3.86E+11,1.07E+06,M5027,B19595,ERS6159669,Yes,B19505,ERS6161058,No
First Screen,East NW,Pl_258,12.3,SP7406,E80,Lys2922,70.9,E12452,2.90E+11,1.28E+06,M5028,B19596,ERS6159670,Yes,B19506,ERS6161059,Yes
First Screen,East NW,Pl_258,12.3,SP7407,E81,Lys2923,80.1,E12453,2.87E+11,1.73E+06,M5029,B19597,ERS6159671,Yes,B19509,ERS6161060,No
First Screen,East NW,Pl_258,12.3,SP7408,E82,Lys2924,69.3,E12454,4.07E+11,1.73E+06,M5030,B19598,ERS6159672,Yes,B19510,ERS6161061,No
First Screen,East NW,Pl_258,12.3,SP7409,E83,Lys2925,70.9,E12455,2.50E+11,1.80E+06,M5031,B19599,ERS6159673,Yes,B19511,ERS6161062,Yes
First Screen,,Pl_258,,LNC,,,,,7.21E+07,2.07E+06,M5032,B19600,ERS6159674,No,B19512,ERS6161063; ERS6161595,No
First Screen,East NW,Pl_258,12.3,SP7410,E84,Lys2926,77.1,E12456,2.10E+11,1.49E+06,M5036,B19601,ERS6159675,Yes,B19513,ERS6161064,No
First Screen,East NW,Pl_258,12.3,SP7411,E85,Lys2927,59.9,E12457,8.59E+10,1.62E+06,M5037,B19602,ERS6159676,Yes,B19514,ERS6161065,No
First Screen,East NW,Pl_258,12.3,SP7412,E86,Lys2928,78.2,E12458,1.45E+11,1.78E+06,M5038,B19605,ERS6159677,Yes,B19515,ERS6161066,No
First Screen,East NW,Pl_258,13,SP7413,E87,Lys2929,68.5,E12459,4.08E+11,1.28E+06,M5039,B19606,ERS6159678,Yes,B19516,ERS6161067; ERS6161596,No
First Screen,East NW,Pl_258, 12/13,SP7414,E88,Lys2930,47.4,E12460,4.60E+11,1.55E+06,M5040,B19607,ERS6159679,Yes,B19517,ERS6161068,No
First Screen,East NW,Pl_258,13,SP7415,E89,Lys2931,64.3,E12461,3.14E+11,8.91E+05,M5041,B19608,ERS6159680,Yes,B19518,ERS6161069,No
First Screen,East NW,Pl_258,12.3,SP7416,E90,Lys2932,64.1,E12462,5.25E+11,1.24E+06,M5042,B19609,ERS6159681,Yes,B19519,ERS6161070,No
First Screen,East NW,Pl_258,12.3,SP7417,E91,Lys2933,68.3,E12463,6.16E+10,3.54E+05,M5043,B19610,ERS6159682,Yes,B19520,ERS6161071,No
First Screen,East NW,Pl_258,12.3,SP7418,E92,Lys2934,48.8,E12464,2.43E+10,2.38E+04,M5044,B19611,ERS6159683,Yes,B19521,ERS6161072,No
First Screen,East NW,Pl_258,12.3,SP7419,E93,Lys2935,40.3,E12465,2.60E+11,1.56E+06,M5045,B19612,ERS6159684,Yes,B19522,ERS6161073,No
First Screen,East NW,Pl_258,12.3,SP7420,E94,Lys2936,78.9,E12466,1.95E+11,1.70E+06,M5046,B19613,ERS6159685,Yes,B19523,ERS6161074,No
First Screen,East NW,Pl_258,12.3,SP7421,E95,Lys2937,72.6,E12467,1.80E+11,1.77E+06,M5047,B19614,ERS6159686,Yes,B19524,ERS6161075,No
First Screen,,Pl_258,,ENC,,,,E12468,7.37E+07,2.26E+06,M5048,B19615,ERS6159687,No,B19525,ERS6161076; ERS6161494,No
First Screen,East NW,Pl_258,13,SP7422,E96,Lys2939,66.5,E12469,5.31E+11,1.12E+06,M5049,B19616,ERS6159688,Yes,B19527,ERS6161077,No
First Screen,East NW,Pl_258,13,SP7423,E97,Lys2940,80.2,E12470,1.23E+11,1.38E+05,M5050,B19617,ERS6159689,Yes,B19528,ERS6161078,Yes
First Screen,East NW,Pl_258,14,SP7424,E98,Lys2941,94.2,E12471,2.41E+11,1.35E+06,M5051,B19618,ERS6159690,Yes,B19529,ERS6161079,Yes
First Screen,East NW,Pl_258,14,SP7425,E99,Lys2942,68.5,E12472,3.84E+10,3.58E+05,M5052,B19619,ERS6159691,Yes,B19530,ERS6161080,Yes
First Screen,East NW,Pl_258,14,SP7426,E100,Lys2943,88.2,E12473,6.99E+10,3.35E+05,M5053,B19620,ERS6159692,Yes,B19531,ERS6161081,Yes
First Screen,East NW,Pl_258,13/14,SP7427,E101,Lys2944,61.8,E12474,2.57E+11,1.29E+06,M5054,B19621,ERS6159693,Yes,B19532,ERS6161082,No
First Screen,East NW,Pl_258,12.3,SP7428,E102,Lys2945,90.2,E12475,4.68E+11,1.57E+06,M5055,B19623,ERS6159694,Yes,B19533,ERS6161083,No
First Screen,,Pl_258,,LNC,,,,,7.25E+07,2.11E+06,M5056,B19624,ERS6159695,No,B19534,ERS6161084,No
First Screen,East NW,Pl_258,12.3,SP7429,E103,Lys2946,72.4,E12476,3.09E+11,1.91E+06,M5061,B19625,ERS6159696,Yes,B19535,ERS6161085,No
First Screen,East NW,Pl_258,14,SP7430,E104,Lys2947,73.4,E12477,4.05E+10,4.55E+05,M5062,B19626,ERS6159697,Yes,B19536,ERS6161086,Yes
First Screen,East NW,Pl_258,14,SP7431,E105,Lys2948,63.5,E12478,3.79E+10,3.75E+05,M5063,B19627,ERS6159698,Yes,B19537,ERS6161087,Yes
First Screen,East NW,Pl_258,12.3,SP7432,E106,Lys2949,75.5,E12479,2.50E+11,1.35E+06,M5064,B19628,ERS6159699,Yes,B19538,ERS6161088,No
First Screen,East NW,Pl_258, 12/13,SP7433,E107,Lys2950,72.6,E12480,3.10E+11,1.54E+06,M5065,B19629,ERS6159700,Yes,B19539,ERS6161089,No
First Screen,East NW,Pl_258,12.3,SP7434,E108,Lys2951,62.2,E12481,4.79E+11,1.18E+06,M5066,B19630,ERS6159701,Yes,B19540,ERS6161090; ERS6161495,No
First Screen,East NW,Pl_258,14,SP7435,E109,Lys2952,57.5,E12482,3.13E+10,2.03E+05,M5067,B19631,ERS6159702,Yes,B19541,ERS6161091,Yes
First Screen,East NW,Pl_258,14,SP7436,E110,Lys2953,83.3,E12483,6.53E+10,4.03E+05,M5068,B19632,ERS6159703,Yes,B19542,ERS6161092,No
First Screen,East NW,Pl_258,14,SP7437,E111,Lys2954,93,E12484,2.12E+11,1.24E+06,M5069,B19633,ERS6159704,Yes,B19543,ERS6161093,Yes
First Screen,East NW,Pl_258,12.3,SP7438,E112,Lys2955,89.3,E12485,4.39E+11,2.17E+05,M5070,B19634,ERS6159705,Yes,B19544,ERS6161094,No
First Screen,East NW,Pl_258, 12/13,SP7439,E113,Lys2956,54.1,E12486,4.67E+11,4.61E+05,M5071,B19635,ERS6159706,Yes,B19545,ERS6161095; ERS6161672,No
First Screen,East NW,Pl_258,14,SP7440,E120,Lys2957,65,E12487,4.26E+10,2.03E+06,M5072,B19636,ERS6159707,Yes,B19547,ERS6161096,Yes
First Screen,East NW,Pl_258,14,SP7441,E121,Lys2958,61.3,E12488,1.98E+11,3.59E+05,M5073,B19637,ERS6159708,Yes,B19548,ERS6161097,No
First Screen,,Pl_258,,ENC,,,,E12489,6.22E+07,1.02E+06,M5074,B19638,ERS6159709,No,B19550,ERS6161098,No
First Screen,East NW,Pl_258,12.3,SP7442,E122,Lys2960,55.7,E12490,1.55E+11,1.28E+06,M5075,B19639,ERS6159710,Yes,B19551,ERS6161099,No
First Screen,East NW,Pl_258,12.3,SP7443,E123,Lys2961,55.95,E12491,2.37E+11,1.75E+05,M5076,B19640,ERS6159711,Yes,B19552,ERS6161100,No
First Screen,East NW,Pl_258,12.3,SP7444,E124,Lys2962,39.15,E12492,2.32E+11,7.27E+05,M5077,B19641,ERS6159712,Yes,B19553,ERS6161101,No
First Screen,East SE,Pl_258,15,SP7445,E125,Lys2963,50.5,E12493,8.85E+10,8.25E+05,M5078,B19643,ERS6159713,Yes,B19554,ERS6161102,No
First Screen,East SE,Pl_258,15,SP7446,E126,Lys2964,53.7,E12494,3.77E+10,2.03E+06,M5079,B19644,ERS6159714,Yes,B19555,ERS6161103,Yes
First Screen,East SE,Pl_258,14,SP7447,E127,Lys2965,73.1,E12495,5.10E+10,1.26E+10,M5080,B19646,ERS6159715,Yes,B19556,ERS6161104,Yes
First Screen,,Pl_258,,LNC,,,,,6.63E+07,1.86E+06,M5081,B19647,ERS6159716,No,B19557,ERS6161105,No
First Screen,East SE,Pl_258,14,SP7448,E128,Lys2966,66.6,E12496,5.20E+10,1.59E+05,M5085,B19648,ERS6159717,Yes,B19558,ERS6161106,No
First Screen,East SE,Pl_258,14,SP7449,E129,Lys2967,55.25,E12497,3.10E+10,7.97E+05,M5086,B19649,ERS6159718,Yes,B19559,ERS6161107,Yes
First Screen,East SE,Pl_258,14,SP7450,E130,Lys2968,65.8,E12498,3.49E+10,4.42E+05,M5087,B19650,ERS6159719,Yes,B19560,ERS6161108,No
First Screen,East SE,Pl_258,14,SP7451,E131,Lys2969,80.8,E12499,3.80E+10,8.84E+05,M5088,B19651,ERS6159720,Yes,B19561,ERS6161109,Yes
First Screen,East SE,Pl_258,14,SP7452,E132,Lys2970,51.9,E12500,4.31E+10,8.87E+05,M5089,B19652,ERS6159721,Yes,B19562,ERS6161110,No
First Screen,East SE,Pl_258,15,SP7453,E133,Lys2971,63.1,E12501,1.50E+11,4.53E+05,M5090,B19653,ERS6159722,Yes,B19563,ERS6161111,Yes
First Screen,East SE,Pl_258,14,SP7454,E134,Lys2972,93,E12502,2.60E+11,4.91E+05,M5091,B19654,ERS6159723,Yes,B19564,ERS6161112,Yes
First Screen,East SE,Pl_258,14,SP7455,E135,Lys2973,60.2,E12503,1.30E+11,3.94E+05,M5092,B19655,ERS6159724,Yes,B19565,ERS6161113,Yes
First Screen,East SE,Pl_258,14,SP7456,E136,Lys2974,55.6,E12504,3.99E+10,8.03E+05,M5093,B19656,ERS6159725,Yes,B19566,ERS6161114,Yes
First Screen,East SE,Pl_258,14,SP7457,E137,Lys2975,95.35,E12505,5.45E+10,7.18E+05,M5094,B19657,ERS6159726,Yes,B19567,ERS6161115,Yes
First Screen,East SE,Pl_258,14,SP7458,E138,Lys2976,95.2,E12506,6.14E+10,1.45E+05,M5095,B19658,ERS6159727,Yes,B19568,ERS6161116,No
First Screen,East SE,Pl_258,14,SP7459,E139,Lys2977,72.7,E12507,5.05E+10,1.76E+06,M5096,B19659,ERS6159728,Yes,B19569,ERS6161117,Yes
First Screen,East SE,Pl_258,14,SP7460,E140,Lys2978,70.1,E12508,4.98E+10,5.06E+05,M5097,B19660,ERS6159729,Yes,B19570,ERS6161118,Yes
First Screen,,Pl_258,,ENC,,,,E12509,6.44E+07,2.57E+05,M5098,B19661,ERS6159730,No,B19571,ERS6161119,No
First Screen,East SE,Pl_258,15,SP7461,E141,Lys2980,71.5,E12510,1.52E+11,1.51E+06,M5099,B19662,ERS6159731,Yes,B19572,ERS6161120,Yes
First Screen,East SE,Pl_258,14,SP7462,E142,Lys2981,74.2,E12511,7.39E+10,6.99E+05,M5100,B19663,ERS6159732,Yes,B19573,ERS6161121,No
First Screen,East SE,Pl_258,14,SP7463,E143,Lys2982,58,E12512,8.90E+10,2.38E+05,M5101,B19664,ERS6159733,Yes,B19574,ERS6161122,Yes
First Screen,East SE,Pl_258,14,SP7464,E144,Lys2983,78.4,E12513,1.20E+11,1.73E+06,M5102,B19666,ERS6159734,Yes,B19575,ERS6161123,No
