DB_entry	QC	QC_comment	Comments	RunID	IndexLibID	CapLibID	IndexLibIDCoreDB	CapLibIDCoreDB	p7	p5	SampleID	ExtractID	SampleType	ExperimentType	ProbeSet	Site	Description	CC_reads	CC_percent	RawSeqs	FilteredL35	Identified	%Hominid	Mapped	%Mapped	Unique	Duplication_Rate	5'CT	3'CT	5'CT(95%CI)	3'CT(95%CI)	cond5'CT(95%CI)	cond3'CT(95%CI)	Ancient	Deaminated(term3)	H_support	H_support_deam	N-HST_support	N-HST_support_deam	N_support	N_support_deam	HST_support	HST_support_deam	D-S_support	D-S_support_deam	D_support	D_support_deam	S_support	S_support_deam	H_der	H_deam_der	N-HST_der	N-HST_deam_der	N_der	N_deam_der	HST_der	HST_deam_der	D-S_der	D-S_deam_der	D_der	D_deam_der	S_der	S_deam_der	
148	passed			160120	R5721	R4049	Lib.E.4767	Cap.H.298	473	76	SP3852	E3583	sediment	screening	AA163	Denisova Cave, Russia	vial 30: DCE14-D1 top of layer 17.1 c, soil sample, Denisova Cave (Russia)	25.5	0.001380	1848099	1814920	477864	90.1	449287	94.0	390	1152.02	4.9	2.1	1.4-12.2	0.1-11.3	N/A-N/A	N/A-N/A	-	13	^^^100.0% (36 / 36)	NA% (0 / 0)	0.0% (0 / 85)	0.0% (0 / 2)	0.0% (0 / 23)	0.0% (0 / 2)	0.0% (0 / 48)	NA% (0 / 0)	1.1% (1 / 95)	0.0% (0 / 2)	0.0% (0 / 89)	NA% (0 / 0)	0.0% (0 / 79)	0.0% (0 / 1)	(2056:1)(2523:1)(2831:1)(5580:2)(6266:7)(8021:1)(8065:1)(8461:2)(9325:2)(12474:2)(13359:6)(13656:2)(15443:1)(15649:6)(15667:1)								(2955:1)						
149	passed			160120	R5722	R4050	Lib.E.4768	Cap.H.299	474	77	SP3853	E3584	sediment	screening	AA163	Denisova Cave, Russia	vial 31: DCE14-D2 layer 16 s, soil sample, Denisova Cave (Russia)	0	0	1562892	1518428	104467	100.0	93896	89.9	25	3755.84	0.0	25.0	0.0-21.8	0.6-80.6	N/A-N/A	N/A-N/A	-	2	NA% (0 / 0)	NA% (0 / 0)	0.0% (0 / 3)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	28.6% (2 / 7)	^^100.0% (2 / 2)	0.0% (0 / 3)	NA% (0 / 0)	0.0% (0 / 9)	0.0% (0 / 2)									(4456:1)(4991:1)	(4456:1)(4991:1)					
150	passed	Unexpected pairs		160121	L5599	R4069	Lib.E.4718	Cap.H.318	411	11	SP3674	E3532	sediment	screening	AA75	Les Cottes Cave, France	Chatelperronian soil sample (Les Cottes, France)	0	0	1797322	1773095	1205	0.2	429	35.6	53	8.09	7.1	25.0	0.2-33.9	3.2-65.1	N/A-N/A	N/A-N/A	-	6	^^100.0% (2 / 2)	NA% (0 / 0)	0.0% (0 / 7)	NA% (0 / 0)	0.0% (0 / 4)	NA% (0 / 0)	0.0% (0 / 5)	NA% (0 / 0)	^^37.5% (9 / 24)	^^100.0% (3 / 3)	0.0% (0 / 10)	NA% (0 / 0)	8.3% (1 / 12)	NA% (0 / 0)	(6641:1)(11590:1)								(2955:9)	(2955:3)			(6614:1)		
151	passed	Unexpected pairs		160121	L5600	R4070	Lib.E.4719	Cap.H.319	412	12	SP3675	E3533	sediment	screening	AA75	Les Cottes Cave, France	Chatelperronian soil sample (Les Cottes, France)	0.5	0.000036	1516998	1488553	645	0.2	184	28.5	23	8.00	0.0	50.0	0.0-70.8	1.3-98.7	0.0-97.5	N/A-N/A	-	1	^^100.0% (2 / 2)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	0.0% (0 / 1)	NA% (0 / 0)	0.0% (0 / 2)	NA% (0 / 0)	0.0% (0 / 4)	NA% (0 / 0)	0.0% (0 / 1)	NA% (0 / 0)	(5387:2)														
152	passed	Unexpected pairs		160121	L5601	R4071	Lib.E.4720	Cap.H.320	413	13	SP3676	E3534	sediment	screening	AA75	Les Cottes Cave, France	Mousterian soil sample (Les Cottes, France)	9.4	0.000620	1510555	1487379	12088	7.7	11162	92.3	1011	11.04	5.9	3.7	2.7-10.9	1.0-9.3	N/A-N/A	0.0-97.5	-	23	^^^100.0% (142 / 142)	100.0% (1 / 1)	0.0% (0 / 115)	0.0% (0 / 2)	0.0% (0 / 80)	NA% (0 / 0)	0.0% (0 / 152)	0.0% (0 / 3)	0.8% (3 / 360)	0.0% (0 / 7)	0.0% (0 / 324)	0.0% (0 / 5)	0.0% (0 / 194)	NA% (0 / 0)	(2056:8)(2523:19)(2831:3)(4904:4)(4940:4)(5387:4)(5580:2)(5821:6)(5840:4)(6266:4)(6452:5)(6641:7)(7868:4)(7891:5)(8021:3)(8065:6)(9325:6)(9869:3)(10307:1)(10324:1)(10750:3)(11590:3)(12474:5)(13095:4)(13359:7)(13656:2)(13889:1)(15148:4)(15355:5)(15443:3)(15649:3)(15667:3)	(2523:1)							(2955:3)						
153	passed	Unexpected pairs		160121	L5602	R4072	Lib.E.4721	Cap.H.321	414	14	SP3677	E3535	sediment	screening	AA75	Les Cottes Cave, France	Mousterian soil sample (Les Cottes, France)	0	0	1735710	1707464	861	0.3	449	52.1	42	10.69	22.2	0.0	2.8-60.0	0.0-84.2	N/A-N/A	N/A-N/A	-	2	^^^100.0% (9 / 9)	100.0% (1 / 1)	0.0% (0 / 6)	NA% (0 / 0)	0.0% (0 / 2)	NA% (0 / 0)	0.0% (0 / 4)	NA% (0 / 0)	17.6% (3 / 17)	NA% (0 / 0)	0.0% (0 / 9)	NA% (0 / 0)	0.0% (0 / 4)	NA% (0 / 0)	(6266:3)(7891:1)(8021:1)(8065:2)(10307:1)(10324:1)	(7891:1)							(2955:3)						
154	passed	Unexpected pairs		160121	L5603	R4073	Lib.E.4722	Cap.H.322	415	15	SP3845	E3538	sediment	screening	AA75	Chagyrskaya Cave, Russia	vial 23: CHAG14-D3 UNIT 5 bottom (Chagyrskaya, Russia)	0	0	2188417	2164859	608	0.0	106	17.4	67	1.58	62.5	0.0	24.5-91.5	0.0-52.2	N/A-N/A	0.0-97.5	+	14	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	0.0% (0 / 1)	NA% (0 / 0)	0.0% (0 / 3)	NA% (0 / 0)	^^87.5% (14 / 16)	^^100.0% (4 / 4)	0.0% (0 / 3)	NA% (0 / 0)	0.0% (0 / 1)	NA% (0 / 0)									(2955:14)	(2955:4)					
155	passed	Unexpected pairs		160121	L5604	R4074	Lib.E.4723	Cap.H.323	416	16	SP3846	E3539	sediment	screening	AA75	Chagyrskaya Cave, Russia	vial 24: CHAG14-D4 UNIT 6A (Chagyrskaya, Russia)	0	0	2012066	1988580	433	0.0	89	20.6	58	1.53	75.0	75.0	19.4-99.4	34.9-96.8	N/A-N/A	N/A-N/A	++	11	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	0.0% (0 / 1)	NA% (0 / 0)	^^90.5% (19 / 21)	^^75.0% (3 / 4)	0.0% (0 / 5)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)									(2955:19)	(2955:3)					
156	passed	Unexpected pairs		160121	L5605	R4075	Lib.E.4724	Cap.H.324	417	17	SP3847	E3540	sediment	screening	AA75	Chagyrskaya Cave, Russia	vial 25: CHAG14-D5 UNIT 6B (Chagyrskaya, Russia)	1.1	0.000089	1252165	1238434	368	0.0	59	16.0	40	1.48	80.0	0.0	28.4-99.5	0.0-70.8	N/A-N/A	N/A-N/A	+	4	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	0.0% (0 / 2)	NA% (0 / 0)	^^60.0% (3 / 5)	0.0% (0 / 1)	0.0% (0 / 4)	0.0% (0 / 1)	NA% (0 / 0)	NA% (0 / 0)									(2955:3)						
157	passed	Unexpected pairs		160121	L5606	R4076	Lib.E.4725	Cap.H.325	418	18	SP3848	E3541	sediment	screening	AA75	Chagyrskaya Cave, Russia	vial 26: CHAG14-D6 UNIT 6C1 (Chagyrskaya, Russia)	0	0	1523235	1505671	640	0.1	156	24.4	51	3.06	50.0	85.7	21.1-78.9	42.1-99.6	N/A-N/A	N/A-N/A	++	19	NA% (0 / 0)	NA% (0 / 0)	50.0% (1 / 2)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	^^72.7% (8 / 11)	^^100.0% (3 / 3)	0.0% (0 / 8)	NA% (0 / 0)	0.0% (0 / 4)	NA% (0 / 0)			(11527:1)						(2955:8)	(2955:3)					
158	passed	Unexpected pairs		160121	L5607	R4077	Lib.E.4726	Cap.H.326	419	19	SP3849	E3542	sediment	screening	AA75	Chagyrskaya Cave, Russia	vial 27: CHAG14-D7 UNIT 7 top (Chagyrskaya, Russia)	1.4	0.000123	1152738	1121622	175759	95.5	173820	98.9	534	325.51	0.0	1.2	0.0-2.5	0.0-6.4	0.0-97.5	N/A-N/A	-	6	^^^93.1% (54 / 58)	100.0% (1 / 1)	0.0% (0 / 54)	0.0% (0 / 1)	0.0% (0 / 40)	0.0% (0 / 3)	0.0% (0 / 61)	NA% (0 / 0)	1.8% (3 / 163)	0.0% (0 / 7)	0.0% (0 / 122)	NA% (0 / 0)	1.0% (1 / 98)	0.0% (0 / 1)	(2056:1)(2523:4)(4904:1)(4940:2)(5821:4)(5840:5)(6266:6)(6641:2)(7868:3)(7891:3)(8021:1)(8461:1)(8503:1)(9325:2)(9869:1)(10307:1)(10324:1)(11590:2)(12474:1)(13095:3)(13359:1)(13656:2)(13889:1)(15148:1)(15355:1)(15443:3)	(6266:1)							(750:1)(8203:2)				(11335:1)		
159	passed	Unexpected pairs		160121	L5608	R4078	Lib.E.4727	Cap.H.327	420	20	SP3850	E3543	sediment	screening	AA75	Chagyrskaya Cave, Russia	vial 28: CHAG14-D8 UNIT 7 bottom (Chagyrskaya, Russia)	229.5	0.014181	1618102	1571184	13925	13.6	9246	66.4	77	120.08	0.0	10.0	0.0-17.6	1.2-31.7	0.0-84.2	N/A-N/A	-	3	^^^100.0% (7 / 7)	NA% (0 / 0)	0.0% (0 / 11)	NA% (0 / 0)	0.0% (0 / 2)	NA% (0 / 0)	0.0% (0 / 6)	0.0% (0 / 1)	0.0% (0 / 18)	NA% (0 / 0)	0.0% (0 / 13)	NA% (0 / 0)	0.0% (0 / 12)	NA% (0 / 0)	(2056:1)(2523:1)(4904:1)(4940:1)(6641:1)(8461:1)(12474:1)														
160	passed	Unexpected pairs		160121	L5609	R4079	Lib.E.4728	Cap.H.328	421	21	SP3851	E3544	sediment	screening	AA75	Chagyrskaya Cave, Russia	vial 29: CHAG14-D9 UNIT 6C2 "entrance" (Chagyrskaya, Russia)	0	0	1370862	1340706	7621	49.6	7457	97.8	70	106.53	0.0	0.0	0.0-26.5	0.0-26.5	N/A-N/A	N/A-N/A	-	1	^^^75.0% (3 / 4)	0.0% (0 / 1)	0.0% (0 / 14)	NA% (0 / 0)	0.0% (0 / 1)	NA% (0 / 0)	0.0% (0 / 11)	NA% (0 / 0)	0.0% (0 / 29)	NA% (0 / 0)	0.0% (0 / 22)	NA% (0 / 0)	0.0% (0 / 8)	NA% (0 / 0)	(8065:1)(13095:1)(15355:1)														
161	passed	Unexpected pairs		160121	L5610	R4080	Lib.E.4729	Cap.H.329	422	22	-	E3545	control	screening	AA75		ENC	0	0	170716	133677	30516	100.0	28467	93.3	91	312.82	0.0	0.0	0.0-12.8	0.0-24.7	N/A-N/A	N/A-N/A	-	0	^^^100.0% (5 / 5)	NA% (0 / 0)	0.0% (0 / 14)	NA% (0 / 0)	0.0% (0 / 4)	NA% (0 / 0)	0.0% (0 / 5)	NA% (0 / 0)	4.5% (1 / 22)	NA% (0 / 0)	0.0% (0 / 21)	NA% (0 / 0)	0.0% (0 / 8)	NA% (0 / 0)	(2056:1)(5387:1)(9869:1)(11590:1)(13359:1)								(7705:1)						
165	passed	Unexpected pairs		160121	L5615	R4084	Lib.E.4734	Cap.H.333	427	27	-	-	control	screening	AA75		LNC	0	0	106508	71339	4514	100.0	4174	92.5	11	379.45	0.0	0.0	0.0-97.5	0.0-60.2	N/A-N/A	N/A-N/A	-	0	NA% (0 / 0)	NA% (0 / 0)	0.0% (0 / 3)	NA% (0 / 0)	0.0% (0 / 1)	NA% (0 / 0)	0.0% (0 / 3)	NA% (0 / 0)	0.0% (0 / 2)	NA% (0 / 0)	0.0% (0 / 4)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)															
172	passed			160122	R5738	R4090	Lib.E.4784	Cap.H.338	490	93	SP3609	E3614	sediment	screening	AA75	El Sidron, Spain	Soil, Sid1448 (next to DNA tibia fragm. n 1415), El Sidron, Spain	179.0	0.013766	1300651	1275220	53886	49.7	52076	96.6	332	156.86	28.6	25.4	17.3-42.2	15.0-38.4	14.7-94.7	14.7-94.7	++	40	^^^64.1% (25 / 39)	0.0% (0 / 2)	^20.0% (5 / 25)	^^100.0% (2 / 2)	21.4% (3 / 14)	NA% (0 / 0)	0.0% (0 / 27)	0.0% (0 / 4)	0.0% (0 / 64)	0.0% (0 / 8)	0.0% (0 / 86)	0.0% (0 / 6)	0.0% (0 / 38)	0.0% (0 / 5)	(2523:7)(5840:1)(8021:1)(8065:2)(8461:2)(8503:1)(9325:1)(13656:1)(15355:1)(15649:4)(15667:4)		(7106:1)(15671:1)(16037:1)(16139:2)	(16139:2)	(6200:1)(7127:1)(11950:1)										
173	passed			160122	R5739	R4091	Lib.E.4785	Cap.H.339	491	94		E3615	control	screening	AA75		Extraction Blank	0	0	149346	108593	16465	100.0	16461	100.0	27	609.67	0.0	20.0	0.0-60.2	0.5-71.6	N/A-N/A	N/A-N/A	-	2	50.0% (1 / 2)	NA% (0 / 0)	0.0% (0 / 2)	NA% (0 / 0)	0.0% (0 / 1)	NA% (0 / 0)	0.0% (0 / 1)	NA% (0 / 0)	0.0% (0 / 13)	NA% (0 / 0)	0.0% (0 / 5)	NA% (0 / 0)	0.0% (0 / 3)	NA% (0 / 0)	(5580:1)														
174	passed			160122	R5740	R4092	Lib.E.4786	Cap.H.340	492	95			control	screening	AA75		Library negative control	0	0	138180	107080	1739	100.0	1738	99.9	21	82.76	0.0	0.0	0.0-70.8	0.0-60.2	N/A-N/A	N/A-N/A	-	0	^^^100.0% (3 / 3)	NA% (0 / 0)	0.0% (0 / 2)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	0.0% (0 / 1)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	0.0% (0 / 3)	NA% (0 / 0)	0.0% (0 / 4)	NA% (0 / 0)	(7891:1)(8065:1)(15649:1)														
175	passed			160122	R5723	R4095	Lib.E.4769	Cap.H.343	475	78	SP3854	E3585	sediment	screening	AA75	Denisova Cave, Russia	vial 32: DCE14-D3 lower part of layer 15 c, soil Denisova (Russia)	0	0	1817382	1796804	820	0.2	289	35.2	43	6.72	33.3	50.0	4.3-77.7	15.7-84.3	0.0-97.5	N/A-N/A	+	9	50.0% (1 / 2)	NA% (0 / 0)	0.0% (0 / 1)	NA% (0 / 0)	50.0% (1 / 2)	NA% (0 / 0)	0.0% (0 / 1)	NA% (0 / 0)	^^50.0% (3 / 6)	NA% (0 / 0)	0.0% (0 / 5)	NA% (0 / 0)	0.0% (0 / 4)	0.0% (0 / 1)	(12474:1)				(438:1)				(2955:2)(9758:1)						
176	passed			160122	R5724	R4096	Lib.E.4770	Cap.H.344	476	79	SP3855	E3586	sediment	screening	AA75	Denisova Cave, Russia	vial 33: DCE14-D4 top of layer 14 c, soil Denisova (Russia)	141.1	0.010237	1378745	1334892	795	0.1	240	30.2	38	6.32	0.0	40.0	0.0-60.2	12.2-73.8	N/A-N/A	N/A-N/A	+	10	100.0% (1 / 1)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	0.0% (0 / 5)	NA% (0 / 0)	^^100.0% (11 / 11)	^^100.0% (3 / 3)	0.0% (0 / 5)	NA% (0 / 0)	0.0% (0 / 1)	NA% (0 / 0)	(5580:1)								(2955:11)	(2955:3)					
177	passed			160122	R5725	R4097	Lib.E.4771	Cap.H.345	477	80	SP3856	E3587	sediment	screening	AA75	Denisova Cave, Russia	vial 34: DCE14-D5 middle part of layer 13 c+b, soil Denisova (Russia)	321.2	0.014856	2162257	2137133	800	0.1	142	17.8	51	2.78	35.3	57.1	14.2-61.7	18.4-90.1	0.0-97.5	N/A-N/A	++	12	^^^100.0% (4 / 4)	100.0% (1 / 1)	0.0% (0 / 1)	NA% (0 / 0)	0.0% (0 / 2)	NA% (0 / 0)	0.0% (0 / 2)	NA% (0 / 0)	^^35.0% (7 / 20)	^50.0% (2 / 4)	0.0% (0 / 6)	NA% (0 / 0)	0.0% (0 / 5)	NA% (0 / 0)	(2523:1)(10307:1)(10324:1)(13359:1)	(2523:1)							(2955:7)	(2955:2)					
178	passed			160122	R5726	R4098	Lib.E.4772	Cap.H.346	478	81	SP3857	E3588	sediment	screening	AA75	Denisova Cave, Russia	vial 35: DCE14-D6 middle part of layer 12.3 c+b, soil Denisova (Russia)	13.5	0.000983	1372172	1355280	677	0.0	102	15.1	14	7.29	66.7	0.0	9.4-99.2	0.0-70.8	N/A-N/A	N/A-N/A	-	3	100.0% (1 / 1)	NA% (0 / 0)	0.0% (0 / 2)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	0.0% (0 / 2)	NA% (0 / 0)	25.0% (1 / 4)	100.0% (1 / 1)	0.0% (0 / 5)	NA% (0 / 0)	0.0% (0 / 1)	NA% (0 / 0)	(8021:1)								(2955:1)	(2955:1)					
180	passed			160122	R5728	R4100	Lib.E.4774	Cap.H.348	480	83	SP3907	E3604	sediment	screening	AA75	Trou Al'Wesse, Belgium	Sediment sample, SED-1, Modave (Belgium)	0	0	2338768	2294566	2131	0.4	1463	68.7	156	9.38	4.8	10.7	0.6-16.2	2.3-28.2	N/A-N/A	N/A-N/A	-	6	^^^100.0% (25 / 25)	100.0% (1 / 1)	0.0% (0 / 12)	NA% (0 / 0)	0.0% (0 / 5)	NA% (0 / 0)	0.0% (0 / 16)	NA% (0 / 0)	0.0% (0 / 45)	NA% (0 / 0)	0.0% (0 / 33)	NA% (0 / 0)	0.0% (0 / 34)	NA% (0 / 0)	(2056:1)(2523:4)(5387:2)(5580:1)(5821:1)(6641:1)(8021:1)(8065:1)(9869:2)(11590:1)(12474:2)(13359:2)(13656:1)(15148:2)(15649:1)(15667:2)	(2523:1)													
181	passed			160122	R5729	R4101	Lib.E.4775	Cap.H.349	481	84	SP3908	E3605	sediment	screening	AA75	Trou Al'Wesse, Belgium	Sediment sample, SED-2, Modave (Belgium)	5.1	0.000496	1020026	1003006	1129	0.8	586	51.9	84	6.98	13.0	15.4	2.8-33.6	1.9-45.4	1.3-98.7	2.5-100.0	-	6	^^^77.8% (7 / 9)	^^100.0% (2 / 2)	^^^50.0% (3 / 6)	^66.7% (2 / 3)	25.0% (2 / 8)	100.0% (1 / 1)	0.0% (0 / 13)	NA% (0 / 0)	3.7% (1 / 27)	NA% (0 / 0)	0.0% (0 / 16)	0.0% (0 / 1)	7.7% (1 / 13)	0.0% (0 / 1)	(4940:1)(5580:1)(7868:1)(7891:1)(15355:1)(15649:1)(15667:1)	(15649:1)(15667:1)	(5673:1)(15226:1)(15629:1)	(15226:1)(15629:1)	(9027:1)(15232:1)	(15232:1)			(1761:1)				(1766:1)		
182	passed			160122	R5730	R4102	Lib.E.4776	Cap.H.350	482	85	SP3909	E3606	sediment	screening	AA75	Trou Al'Wesse, Belgium	Sediment sample, SED-3, Modave (Belgium)	0	0	1381278	1362638	712	0.2	314	44.1	49	6.41	14.3	0.0	1.8-42.8	0.0-24.7	N/A-N/A	0.0-97.5	-	2	^^^100.0% (9 / 9)	NA% (0 / 0)	0.0% (0 / 4)	NA% (0 / 0)	0.0% (0 / 2)	NA% (0 / 0)	0.0% (0 / 4)	NA% (0 / 0)	5.3% (1 / 19)	NA% (0 / 0)	0.0% (0 / 8)	NA% (0 / 0)	9.1% (1 / 11)	NA% (0 / 0)	(5580:2)(6266:1)(6452:1)(10324:1)(12474:1)(13359:1)(15148:1)(15649:1)								(2955:1)				(11253:1)		
183	passed			160122	R5731	R4103	Lib.E.4777	Cap.H.351	483	86	SP3910	E3607	sediment	screening	AA75	Trou Al'Wesse, Belgium	Sediment sample, SED-4, Modave (Belgium)	2.1	0.000129	1646374	1624678	842	0.2	159	18.9	36	4.42	60.0	37.5	26.2-87.8	8.5-75.5	2.5-100.0	1.3-98.7	+	10	0.0% (0 / 2)	0.0% (0 / 1)	^^100.0% (2 / 2)	100.0% (1 / 1)	100.0% (1 / 1)	NA% (0 / 0)	0.0% (0 / 8)	0.0% (0 / 2)	0.0% (0 / 11)	0.0% (0 / 3)	0.0% (0 / 5)	0.0% (0 / 3)	0.0% (0 / 3)	0.0% (0 / 1)			(4204:1)(16037:1)	(4204:1)	(8986:1)										
184	passed			160122	R5732	R4104	Lib.E.4778	Cap.H.352	484	87	SP3911	E3608	sediment	screening	AA75	Trou Al'Wesse, Belgium	Sediment sample, SED-5, Modave (Belgium)	9.7	0.000660	1464951	1446195	702	0.1	117	16.7	16	7.31	75.0	N/A	19.4-99.4	N/A-N/A	N/A-N/A	N/A-N/A	+	4	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	100.0% (1 / 1)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	0.0% (0 / 3)	NA% (0 / 0)	0.0% (0 / 2)	NA% (0 / 0)	0.0% (0 / 4)	0.0% (0 / 1)					(9456:1)										
189	passed			160128	R8501	R4195	Lib.E.5075	Cap.H.357	415	10	SP3823	E3574	sediment	screening	AA163	Denisova Cave, Russia	Denisova soil, vial 1: DCM14 layer 19.2? Bulk	0	0	690855	680045	1163	0.4	799	68.7	81	9.86	25.0	45.5	9.8-46.7	16.7-76.6	0.8-90.6	0.8-90.6	+	24	^^^100.0% (11 / 11)	^^^100.0% (4 / 4)	0.0% (0 / 8)	0.0% (0 / 2)	0.0% (0 / 3)	NA% (0 / 0)	0.0% (0 / 4)	0.0% (0 / 1)	9.5% (4 / 42)	7.1% (1 / 14)	0.0% (0 / 15)	0.0% (0 / 2)	0.0% (0 / 17)	0.0% (0 / 3)	(2056:1)(2523:1)(5821:1)(5840:1)(6452:2)(10307:1)(13359:1)(15443:1)(15649:1)(15667:1)	(6452:1)(10307:1)(15649:1)(15667:1)							(2955:4)	(2955:1)					
190	passed			160128	R8502	R4196	Lib.E.5076	Cap.H.358	416	11	SP3824	E3575	sediment	screening	AA163	Denisova Cave, Russia	Denisova soil, vial 2: DCM14 layer 11.1 bulk	0	0	781416	758141	45	0.4	20	44.4	19	1.05	33.3	0.0	7.5-70.1	0.0-84.2	N/A-N/A	0.0-97.5	-	5	^^^100.0% (3 / 3)	NA% (0 / 0)	0.0% (0 / 2)	0.0% (0 / 1)	0.0% (0 / 1)	NA% (0 / 0)	0.0% (0 / 1)	NA% (0 / 0)	22.2% (2 / 9)	^66.7% (2 / 3)	0.0% (0 / 5)	NA% (0 / 0)	0.0% (0 / 1)	NA% (0 / 0)	(5580:1)(6452:1)(12474:1)								(2955:2)	(2955:2)					
191	passed			160128	R8503	R4197	Lib.E.5077	Cap.H.359	417	12	SP3825	E3576	sediment	screening	AA163	Denisova Cave, Russia	Denisova soil,vial 3: DCM14 layer 11.2 bulk	0	0	860254	850595	1273	0.4	985	77.4	165	5.97	20.0	21.1	7.7-38.6	6.1-45.6	0.0-84.2	0.0-97.5	-	29	^^^100.0% (24 / 24)	^^100.0% (2 / 2)	0.0% (0 / 16)	NA% (0 / 0)	0.0% (0 / 11)	0.0% (0 / 3)	0.0% (0 / 19)	0.0% (0 / 1)	11.9% (7 / 59)	18.8% (3 / 16)	0.0% (0 / 44)	0.0% (0 / 9)	0.0% (0 / 23)	NA% (0 / 0)	(2056:2)(4904:1)(4940:1)(6452:1)(7868:1)(8021:3)(8065:3)(8461:1)(8503:1)(9325:1)(10307:1)(10324:1)(13359:1)(13889:1)(15355:4)(15443:1)	(4940:1)(8021:1)							(2955:6)(9168:1)	(2955:3)					
192	passed			160128	R8504	R4198	Lib.E.5078	Cap.H.360	418	13	SP3826	E3577	sediment	screening	AA163	Denisova Cave, Russia	Denisova soil,vial 4: DCM14 layer 11.4 bulk	13.2	0.001696	778152	768482	1534	0.5	1189	77.5	184	6.46	30.3	37.0	15.6-48.7	19.4-57.6	1.3-98.7	0.8-90.6	++	40	^^^100.0% (15 / 15)	100.0% (1 / 1)	0.0% (0 / 18)	0.0% (0 / 3)	10.0% (1 / 10)	50.0% (1 / 2)	15.4% (2 / 13)	0.0% (0 / 2)	6.1% (4 / 66)	25.0% (2 / 8)	2.6% (1 / 39)	0.0% (0 / 4)	3.3% (1 / 30)	0.0% (0 / 10)	(2056:2)(2831:1)(5387:1)(5580:2)(6266:1)(8065:1)(9869:1)(13095:1)(15148:2)(15443:1)(15649:1)(15667:1)	(8065:1)			(9027:1)	(9027:1)	(5585:2)		(486:1)(2955:2)(11016:1)	(486:1)(11016:1)	(10196:1)		(11518:1)		
193	passed			160128	R8505	R4199	Lib.E.5079	Cap.H.361	419	14	SP3827	E3578	sediment	screening	AA163	Denisova Cave, Russia	Denisova soil,vial 5: DCM14 layer 11.5 bulk	0	0	610484	602778	1942	0.8	1641	84.5	67	24.49	0.0	27.3	0.0-26.5	6.0-61.0	0.0-97.5	N/A-N/A	-	6	^^^100.0% (7 / 7)	NA% (0 / 0)	0.0% (0 / 6)	NA% (0 / 0)	0.0% (0 / 3)	NA% (0 / 0)	12.5% (1 / 8)	50.0% (1 / 2)	12.1% (4 / 33)	0.0% (0 / 2)	0.0% (0 / 8)	0.0% (0 / 2)	0.0% (0 / 5)	NA% (0 / 0)	(4904:1)(6266:1)(6452:2)(9325:1)(10324:1)(15649:1)						(12570:1)	(12570:1)	(2955:3)(4456:1)						
194	passed			160128	R8506	R4200	Lib.E.5080	Cap.H.362	420	15	SP3828	E3579	sediment	screening	AA163	Denisova Cave, Russia	Denisova soil,vial 6: DCM14 layer 12.1 bulk	0	0	697502	688648	708	0.4	488	68.9	180	2.71	48.6	44.4	31.9-65.6	21.5-69.2	0.0-97.5	0.0-97.5	++	44	10.0% (1 / 10)	NA% (0 / 0)	^^^83.3% (10 / 12)	^^^100.0% (4 / 4)	^^^57.1% (4 / 7)	100.0% (1 / 1)	7.1% (1 / 14)	0.0% (0 / 3)	^12.3% (7 / 57)	17.6% (3 / 17)	2.4% (1 / 42)	6.2% (1 / 16)	0.0% (0 / 26)	0.0% (0 / 6)	(8461:1)		(547:1)(5673:1)(10532:1)(11458:2)(13801:1)(15226:1)(15479:2)(15629:1)	(547:1)(5673:1)(13801:1)(15226:1)	(438:1)(3918:1)(6200:1)(15232:1)	(15232:1)	(12771:1)		(2955:7)	(2955:3)	(6566:1)	(6566:1)			
