DB_entry	QC	QC_comment	Comments	RunID	IndexLibID	CapLibID	IndexLibIDCoreDB	CapLibIDCoreDB	p7	p5	SampleID	ExtractID	SampleType	ExperimentType	ProbeSet	Site	Description	CC_reads	CC_percent	RawSeqs	FilteredL35	Identified	%Hominid	Mapped	%Mapped	Unique	Duplication_Rate	5'CT	3'CT	5'CT(95%CI)	3'CT(95%CI)	cond5'CT(95%CI)	cond3'CT(95%CI)	Ancient	Deaminated(term3)	H_support	H_support_deam	N-HST_support	N-HST_support_deam	N_support	N_support_deam	HST_support	HST_support_deam	D-S_support	D-S_support_deam	D_support	D_support_deam	S_support	S_support_deam	H_der	H_deam_der	N-HST_der	N-HST_deam_der	N_der	N_deam_der	HST_der	HST_deam_der	D-S_der	D-S_deam_der	D_der	D_deam_der	S_der	S_deam_der	Unnamed: 64
11822	passed	over 1000 hominin sequences in ENCs	inclDenSedEZ2021	190312_D00829_0232.lane2	A20628	B25816	Lib.F.9195	Cap.E.7154	358	8	SP6674	E13823	sediment	screening	AA163	Denisova Cave, Russia	Denisova Main Chamber M19 Layer 22.1	10.1	0.000429	2359659.0	2320554.0	38124.0	7.4	29584.0	77.6	352.0	84.05	6.2	3.9	2.0-13.8	0.8-11.0	0.0-84.2	0.0-84.2	-	19.0	^^^100.0% (27 / 27)	NA% (0 / 0)	0.0% (0 / 32)	0.0% (0 / 2)	0.0% (0 / 11)	0.0% (0 / 2)	0.0% (0 / 30)	NA% (0 / 0)	4.8% (5 / 104)	33.3% (1 / 3)	1.5% (1 / 68)	50.0% (1 / 2)	0.0% (0 / 43)	NA% (0 / 0)	(2056:1)(4904:2)(4940:3)(5387:2)(5840:1)(6266:4)(6641:1)(8461:1)(9869:2)(10750:1)(12474:1)(13095:1)(13359:2)(13656:1)(15148:2)(15355:1)(15443:1)								(2955:3)(5474:2)	(2955:1)	(9566:1)	(9566:1)			
11823	passed	over 1000 hominin sequences in ENCs	inclDenSedEZ2021	190312_D00829_0232.lane2	A20629	B25817	Lib.F.9196	Cap.E.7155	310	17	SP6675	E13824	sediment	screening	AA163	Denisova Cave, Russia	Denisova Main Chamber M20 Layer 22.1/21	5.9	0.000285	2067110.0	2032816.0	71521.0	100.0	56707.0	79.3	280.0	202.53	7.1	0.0	1.5-19.5	0.0-4.8	N/A-N/A	N/A-N/A	-	6.0	^^^97.0% (32 / 33)	^^^100.0% (3 / 3)	0.0% (0 / 17)	NA% (0 / 0)	0.0% (0 / 21)	NA% (0 / 0)	0.0% (0 / 18)	NA% (0 / 0)	0.0% (0 / 69)	0.0% (0 / 2)	0.0% (0 / 79)	0.0% (0 / 3)	0.0% (0 / 27)	NA% (0 / 0)	(2523:6)(4940:1)(5821:3)(5840:3)(6452:1)(8065:4)(9325:2)(9869:1)(10307:3)(10324:1)(12474:1)(13359:1)(15148:4)(15649:1)	(2523:1)(4940:1)(15148:1)													
11825	passed	over 1000 hominin sequences in ENCs	inclDenSedEZ2021	190312_D00829_0232.lane2	A20633	B25819	Lib.F.9200	Cap.E.7157	348	83	SP6676	E13826	sediment	screening	AA163	Denisova Cave, Russia	Denisova Main Chamber M21 Layer 21/20	0.0	0.0	2581932.0	2542277.0	98463.0	38.4	83426.0	84.7	496.0	168.2	7.4	9.1	3.6-13.2	4.8-15.3	0.6-80.6	1.3-98.7	-	40.0	^^^97.6% (40 / 41)	100.0% (1 / 1)	5.3% (3 / 57)	0.0% (0 / 1)	0.0% (0 / 32)	NA% (0 / 0)	5.5% (3 / 55)	0.0% (0 / 2)	1.1% (2 / 182)	8.3% (1 / 12)	3.5% (3 / 86)	25.0% (2 / 8)	1.4% (1 / 74)	0.0% (0 / 5)	(2056:1)(2523:4)(2831:1)(4904:1)(5387:3)(5580:1)(6452:1)(7891:2)(8021:2)(8065:1)(8461:1)(9869:1)(10307:1)(10324:2)(12474:3)(13359:7)(13656:2)(13889:2)(15355:1)(15443:3)	(6452:1)	(10532:3)				(13563:3)		(486:1)(2955:1)	(2955:1)	(6917:1)(7664:1)(12921:1)	(6917:1)(7664:1)	(5601:1)		
11826	passed	over 1000 hominin sequences in ENCs	inclDenSedEZ2021	190312_D00829_0232.lane2	A20634	B25820	Lib.F.9201	Cap.E.7158	302	72	SP6677	E13827	sediment	screening	AA163	Denisova Cave, Russia	Denisova Main Chamber M22 Layer 20	0.0	0.0	2227053.0	2194645.0	49105.0	22.9	37810.0	77.0	328.0	115.27	9.0	3.9	3.4-18.5	0.8-11.1	0.0-97.5	N/A-N/A	-	14.0	^^^96.2% (25 / 26)	NA% (0 / 0)	0.0% (0 / 38)	0.0% (0 / 1)	0.0% (0 / 30)	0.0% (0 / 2)	0.0% (0 / 22)	0.0% (0 / 1)	1.1% (1 / 89)	33.3% (1 / 3)	0.0% (0 / 57)	0.0% (0 / 1)	0.0% (0 / 35)	NA% (0 / 0)	(2056:1)(2831:2)(4904:1)(4940:2)(5387:2)(5580:1)(6266:1)(6452:1)(9869:1)(10307:1)(10324:1)(10750:4)(12474:2)(13095:3)(15148:2)								(1405:1)	(1405:1)					
11827	passed	over 1000 hominin sequences in ENCs	inclDenSedEZ2021	190312_D00829_0232.lane2	A20635	B25821	Lib.F.9202	Cap.E.7159	383	33	SP6678	E13828	sediment	screening	AA163	Denisova Cave, Russia	Denisova Main Chamber M23 Layer 19/20	7.9	0.000366	2146226.0	2115953.0	21892.0	4.1	14037.0	64.1	193.0	72.73	8.5	9.3	2.4-20.4	3.1-20.3	N/A-N/A	N/A-N/A	-	14.0	^^^94.7% (18 / 19)	NA% (0 / 0)	14.3% (2 / 14)	^^100.0% (2 / 2)	0.0% (0 / 4)	NA% (0 / 0)	0.0% (0 / 17)	0.0% (0 / 4)	4.8% (3 / 63)	25.0% (1 / 4)	3.3% (2 / 60)	0.0% (0 / 1)	0.0% (0 / 24)	0.0% (0 / 1)	(2056:2)(4940:2)(5580:2)(5821:2)(5840:3)(6452:2)(8461:1)(9869:1)(15148:1)(15355:1)(15443:1)		(16037:2)	(16037:2)					(2955:2)(14605:1)	(2955:1)	(596:2)				
11828	passed	over 1000 hominin sequences in ENCs	inclDenSedEZ2021	190312_D00829_0232.lane2	A20636	B25822	Lib.F.9203	Cap.E.7160	389	53	SP6679	E13829	sediment	screening	AA163	Denisova Cave, Russia	Denisova Main Chamber M24 Layer 20/19	25.7	0.000989	2602599.0	2575597.0	5023.0	0.9	1589.0	31.6	327.0	4.86	40.2	32.1	29.9-51.3	22.4-43.2	28.4-99.5	15.7-84.3	++	86.0	^^^53.8% (7 / 13)	0.0% (0 / 2)	6.7% (1 / 15)	50.0% (1 / 2)	0.0% (0 / 14)	0.0% (0 / 1)	0.0% (0 / 29)	0.0% (0 / 6)	^^^36.4% (24 / 66)	^^^47.4% (9 / 19)	^^^27.1% (13 / 48)	^^^40.0% (4 / 10)	3.6% (1 / 28)	0.0% (0 / 5)	(2523:2)(7868:1)(8065:1)(10307:1)(10324:1)(13889:1)		(4204:1)	(4204:1)					(868:1)(2284:1)(2955:8)(8140:1)(8152:1)(8203:4)(9434:1)(11016:1)(12528:1)(12714:1)(12756:1)(13968:1)(15100:1)(16070:1)	(2284:1)(2955:3)(8203:1)(9434:1)(12528:1)(12714:1)(13968:1)	(928:1)(2402:1)(4047:1)(6566:1)(7741:1)(8772:1)(8784:1)(9932:1)(12193:1)(13528:2)(15403:1)(16081:1)	(6566:1)(9932:1)(13528:2)	(15326:1)		
11829	passed	over 1000 hominin sequences in ENCs	inclDenSedEZ2021	190312_D00829_0232.lane2	A20637	B25823	Lib.F.9204	Cap.E.7161	308	42	SP6680	E13830	sediment	screening	AA163	Denisova Cave, Russia	Denisova Main Chamber M25 Layer 22.1	0.0	0.0	2311316.0	2274600.0	196511.0	62.9	187304.0	95.3	1594.0	117.51	9.4	2.2	6.4-13.2	1.1-4.0	1.3-98.7	0.3-44.5	-	58.0	^^^96.8% (151 / 156)	^^^100.0% (5 / 5)	0.0% (0 / 137)	0.0% (0 / 6)	0.0% (0 / 74)	0.0% (0 / 5)	5.9% (8 / 135)	0.0% (0 / 7)	0.2% (1 / 401)	0.0% (0 / 12)	0.3% (1 / 338)	0.0% (0 / 5)	0.5% (1 / 217)	0.0% (0 / 7)	(2056:4)(2523:2)(2831:2)(4904:4)(4940:2)(5387:7)(5580:11)(5840:6)(6452:3)(6641:4)(7868:5)(7891:5)(8021:6)(8065:5)(8461:4)(8503:2)(9325:11)(9869:6)(10307:1)(10324:3)(10750:3)(11590:1)(12474:3)(13095:1)(13359:7)(13656:5)(13889:8)(15148:1)(15355:2)(15443:1)(15649:12)(15667:14)	(5580:1)(8021:1)(9869:1)(12474:1)(15649:1)					(11233:1)(13762:1)(14133:1)(15346:5)		(2955:1)		(14971:1)		(4977:1)		
11830	passed	over 1000 hominin sequences in ENCs	inclDenSedEZ2021	190312_D00829_0232.lane2	A20638	B25824	Lib.F.9205	Cap.E.7162	379	21	SP6681	E13831	sediment	screening	AA163	Denisova Cave, Russia	Denisova Main Chamber M26 Layer 22.1	32.6	0.00137	2378459.0	2340145.0	142547.0	45.0	131742.0	92.4	1145.0	115.06	5.0	2.0	2.8-8.3	0.7-4.2	0.0-97.5	0.0-45.9	-	38.0	^^^97.8% (88 / 90)	^66.7% (2 / 3)	0.0% (0 / 125)	0.0% (0 / 2)	0.0% (0 / 66)	0.0% (0 / 2)	0.0% (0 / 80)	0.0% (0 / 2)	0.5% (2 / 369)	0.0% (0 / 8)	0.0% (0 / 256)	0.0% (0 / 4)	0.0% (0 / 201)	0.0% (0 / 3)	(2056:1)(2523:15)(2831:1)(4904:2)(4940:2)(5387:3)(5840:1)(6266:4)(6452:2)(6641:2)(7891:1)(8021:1)(8065:6)(8461:5)(8503:4)(9325:1)(10324:1)(10750:1)(12474:7)(13359:2)(13656:3)(13889:2)(15148:4)(15355:4)(15443:5)(15649:3)(15667:5)	(2523:1)(8461:1)							(3277:1)(14476:1)						
11831	passed	over 1000 hominin sequences in ENCs	inclDenSedEZ2021	190312_D00829_0232.lane2	A20639	B25825	Lib.F.9206	Cap.E.7163	366	71	SP6682	E13832	sediment	screening	AA163	Denisova Cave, Russia	Denisova Main Chamber M27 Layer 21	11.5	0.000481	2381087.0	2350010.0	76124.0	22.7	64635.0	84.9	1106.0	58.44	13.9	8.9	9.6-19.1	5.4-13.7	0.6-80.6	0.5-71.6	-	81.0	^^^87.2% (75 / 86)	20.0% (1 / 5)	9.3% (8 / 86)	^37.5% (3 / 8)	0.0% (0 / 71)	0.0% (0 / 3)	0.0% (0 / 99)	0.0% (0 / 4)	6.5% (15 / 231)	18.2% (2 / 11)	0.9% (2 / 235)	0.0% (0 / 6)	0.0% (0 / 80)	0.0% (0 / 4)	(2056:2)(2523:5)(2831:3)(4904:5)(4940:2)(5387:3)(5821:1)(5840:2)(6452:3)(6641:1)(7891:1)(8021:2)(8065:1)(8461:2)(8503:1)(9325:2)(10307:3)(10324:7)(10750:2)(11590:3)(12474:1)(13095:1)(13359:2)(13656:4)(13889:3)(15148:4)(15355:4)(15443:1)(15649:2)(15667:2)	(11590:1)	(3399:3)(3414:3)(7424:2)	(3399:1)(3414:1)(7424:1)					(868:1)(3496:1)(3747:1)(3753:1)(7789:1)(8140:1)(8152:1)(8203:1)(12001:1)(14605:4)(15490:1)(15742:1)	(868:1)(7789:1)	(12561:2)				
11832	passed	over 1000 hominin sequences in ENCs	inclDenSedEZ2021	190312_D00829_0232.lane2	A20640	B25826	Lib.F.9207	Cap.E.7164	305	22	SP6683	E13833	sediment	screening	AA163	Denisova Cave, Russia	Denisova Main Chamber M28 Layer 20	6.0	0.000249	2396109.0	2358495.0	22728.0	5.0	15399.0	67.8	379.0	40.63	26.6	15.7	18.0-36.7	9.2-24.2	29.9-92.5	42.1-99.6	+	66.0	^^^82.4% (28 / 34)	^^100.0% (2 / 2)	13.3% (4 / 30)	20.0% (1 / 5)	0.0% (0 / 14)	0.0% (0 / 3)	0.0% (0 / 30)	0.0% (0 / 6)	4.3% (4 / 94)	10.0% (1 / 10)	8.0% (8 / 100)	^23.1% (3 / 13)	0.0% (0 / 55)	0.0% (0 / 11)	(2056:1)(2523:2)(2831:1)(4940:2)(5387:1)(5580:2)(6266:2)(6641:1)(7868:1)(7891:1)(8461:1)(8503:1)(9325:1)(9869:2)(10750:2)(15148:1)(15355:2)(15443:1)(15649:2)(15667:1)	(2523:1)(15649:1)	(3399:1)(6156:1)(8764:1)(10373:1)	(10373:1)					(2955:1)(8203:1)(11016:1)(15250:1)	(11016:1)	(4659:1)(5021:1)(5270:1)(12921:1)(13528:2)(15562:1)(16487:1)	(5021:1)(15562:1)(16487:1)			
