DB_entry	QC	QC_comment	Comments	RunID	IndexLibID	CapLibID	IndexLibIDCoreDB	CapLibIDCoreDB	p7	p5	SampleID	ExtractID	SampleType	ExperimentType	ProbeSet	Site	Description	CC_reads	CC_percent	RawSeqs	FilteredL35	Identified	%Hominid	Mapped	%Mapped	Unique	Duplication_Rate	5'CT	3'CT	5'CT(95%CI)	3'CT(95%CI)	cond5'CT(95%CI)	cond3'CT(95%CI)	Ancient	Deaminated(term3)	H_support	H_support_deam	N-HST_support	N-HST_support_deam	N_support	N_support_deam	HST_support	HST_support_deam	D-S_support	D-S_support_deam	D_support	D_support_deam	S_support	S_support_deam	H_der	H_deam_der	N-HST_der	N-HST_deam_der	N_der	N_deam_der	HST_der	HST_deam_der	D-S_der	D-S_deam_der	D_der	D_deam_der	S_der	S_deam_der	Unnamed: 64
11599	passed		inclDenSedEZ2021	190228_D00829_0224.lane2	A20802	B25012	Lib.F.9273	Cap.E.6772	444	119	SP6735	E13941	sediment	Screening	AA163	Denisova Cave, Russia	Denisova Main Chamber (2/4) M80 Layer 20	7.7	0.000446	1738246.0	1714631.0	21208.0	4.6	8097.0	38.2	55.0	147.22	7.7	18.2	0.2-36.0	5.2-40.3	N/A-N/A	N/A-N/A	-	5.0	NA% (0 / 0)	NA% (0 / 0)	0.0% (0 / 1)	NA% (0 / 0)	0.0% (0 / 1)	NA% (0 / 0)	0.0% (0 / 3)	NA% (0 / 0)	0.0% (0 / 12)	NA% (0 / 0)	0.0% (0 / 4)	0.0% (0 / 1)	0.0% (0 / 2)	NA% (0 / 0)															
11600	passed		inclDenSedEZ2021	190228_D00829_0224.lane2	A20803	B25013	Lib.F.9274	Cap.E.6773	453	146	SP6736	E13942	sediment	Screening	AA163	Denisova Cave, Russia	Denisova Main Chamber (2/4) M81 Layer 20	7.0	0.000407	1717100.0	1694202.0	9117.0	1.6	2776.0	30.4	67.0	41.43	35.3	15.8	14.2-61.7	3.4-39.6	N/A-N/A	0.0-70.8	+	10.0	^^100.0% (3 / 3)	NA% (0 / 0)	0.0% (0 / 5)	NA% (0 / 0)	0.0% (0 / 2)	0.0% (0 / 1)	0.0% (0 / 5)	NA% (0 / 0)	15.4% (2 / 13)	33.3% (1 / 3)	0.0% (0 / 12)	0.0% (0 / 1)	0.0% (0 / 5)	0.0% (0 / 1)	(5387:1)(6266:2)								(2955:1)(11147:1)	(2955:1)					
11601	passed		inclDenSedEZ2021	190228_D00829_0224.lane2	A20804	B25014	Lib.F.9275	Cap.E.6774	480	128	SP6737	E13943	sediment	Screening	AA163	Denisova Cave, Russia	Denisova Main Chamber (2/4) M82 Layer 20	1346.6	0.080774	1667093.0	1647288.0	4285.0	2.4	1031.0	24.1	334.0	3.09	30.7	22.0	20.5-42.4	14.0-31.9	28.4-99.5	28.4-99.5	++	64.0	^^^77.8% (14 / 18)	0.0% (0 / 3)	16.7% (4 / 24)	^66.7% (2 / 3)	0.0% (0 / 16)	0.0% (0 / 1)	7.7% (2 / 26)	0.0% (0 / 1)	7.0% (6 / 86)	11.1% (2 / 18)	2.8% (2 / 71)	6.7% (1 / 15)	2.4% (1 / 42)	11.1% (1 / 9)	(2523:1)(5821:1)(5840:2)(6266:2)(7868:1)(7891:1)(9325:1)(9869:1)(12474:1)(13656:1)(15649:1)(15667:1)		(4532:1)(10373:1)(11527:1)(12070:1)	(4532:1)(12070:1)			(3873:1)(9410:1)		(2955:3)(12064:1)(13827:1)(14605:1)	(2955:1)(12064:1)	(8008:1)(12921:1)	(8008:1)	(11002:1)	(11002:1)	
11602	passed		inclDenSedEZ2021	190228_D00829_0224.lane2	A20805	B25015	Lib.F.9276	Cap.E.6775	488	181	SP6738	E13944	sediment	Screening	AA163	Denisova Cave, Russia	Denisova Main Chamber (2/4) M83 Layer 19	68.5	0.003952	1733734.0	1714973.0	4285.0	1.7	1678.0	39.2	342.0	4.91	16.4	13.5	8.8-27.0	7.6-21.6	0.8-90.6	0.6-80.6	-	43.0	^^^84.4% (27 / 32)	^66.7% (2 / 3)	0.0% (0 / 38)	0.0% (0 / 3)	0.0% (0 / 13)	NA% (0 / 0)	0.0% (0 / 14)	0.0% (0 / 1)	^14.5% (11 / 76)	^42.9% (3 / 7)	6.8% (4 / 59)	0.0% (0 / 3)	5.3% (2 / 38)	0.0% (0 / 6)	(2056:4)(2523:1)(2831:1)(4904:1)(4940:1)(5387:1)(6266:3)(6452:1)(6641:3)(8021:1)(8065:1)(9869:1)(10307:1)(10324:1)(10750:1)(11590:1)(13359:1)(13889:2)(15148:1)	(6641:1)(10750:1)							(1761:2)(2955:2)(6242:1)(7232:2)(9647:1)(11016:1)(12801:1)(13827:1)	(2955:1)(7232:1)(12801:1)	(596:1)(8008:1)(10966:1)(15403:1)		(1766:2)		
11603	passed		inclDenSedEZ2021	190228_D00829_0224.lane2	A20806	B25016	Lib.F.9277	Cap.E.6776	478	121	SP6739	E13945	sediment	Screening	AA163	Denisova Cave, Russia	Denisova Main Chamber (2/4) M84 Layer 22.1	52.7	0.003548	1485019.0	1459029.0	80132.0	100.0	59342.0	74.1	601.0	98.74	0.6	1.6	0.0-3.4	0.2-5.6	N/A-N/A	N/A-N/A	-	6.0	^^^100.0% (34 / 34)	^^100.0% (2 / 2)	0.0% (0 / 78)	NA% (0 / 0)	0.0% (0 / 78)	NA% (0 / 0)	0.0% (0 / 29)	NA% (0 / 0)	0.0% (0 / 128)	0.0% (0 / 2)	0.0% (0 / 220)	NA% (0 / 0)	0.0% (0 / 76)	NA% (0 / 0)	(2523:4)(2831:1)(4904:1)(4940:3)(5387:1)(6641:2)(7891:1)(8065:3)(8503:4)(10307:1)(10324:1)(11590:2)(13095:4)(13656:1)(15148:4)(15355:1)	(13095:2)													
11604	passed		inclDenSedEZ2021	190228_D00829_0224.lane2	A20807	B25017	Lib.F.9278	Cap.E.6777	416	134	SP6740	E13946	sediment	Screening	AA163	Denisova Cave, Russia	Denisova Main Chamber (2/4) M85 Layer 22.1	66.9	0.004112	1627826.0	1603685.0	57306.0	38.3	41568.0	72.5	314.0	132.38	6.8	2.9	2.3-15.3	0.4-10.2	0.0-84.2	0.0-97.5	-	12.0	^^^93.8% (15 / 16)	100.0% (1 / 1)	0.0% (0 / 27)	0.0% (0 / 1)	4.0% (1 / 25)	NA% (0 / 0)	0.0% (0 / 20)	NA% (0 / 0)	1.2% (1 / 84)	0.0% (0 / 3)	0.0% (0 / 124)	0.0% (0 / 2)	0.0% (0 / 38)	0.0% (0 / 1)	(2523:2)(5387:1)(5821:1)(5840:1)(6266:1)(8021:2)(8065:3)(8461:1)(9325:2)(10324:1)	(2523:1)			(3918:1)				(4958:1)						
11605	passed		inclDenSedEZ2021	190228_D00829_0224.lane2	A20808	B25018	Lib.F.9279	Cap.E.6778	472	182	SP6741	E13947	sediment	Screening	AA163	Denisova Cave, Russia	Denisova Main Chamber (2/4) M86 Layer 22.1	146.1	0.008571	1704147.0	1679607.0	41659.0	40.0	26068.0	62.6	289.0	90.2	7.5	5.8	1.6-20.4	1.2-15.9	N/A-N/A	0.0-97.5	-	17.0	^^^97.5% (39 / 40)	NA% (0 / 0)	0.0% (0 / 23)	NA% (0 / 0)	0.0% (0 / 17)	NA% (0 / 0)	0.0% (0 / 27)	NA% (0 / 0)	1.5% (1 / 67)	0.0% (0 / 9)	0.0% (0 / 77)	0.0% (0 / 4)	2.0% (1 / 51)	33.3% (1 / 3)	(4940:1)(5387:1)(5580:6)(5821:1)(5840:1)(7868:2)(7891:2)(8065:1)(9325:1)(9869:1)(10307:4)(10324:4)(10750:2)(13359:4)(15148:1)(15355:4)(15443:3)								(14073:1)				(13983:1)	(13983:1)	
11606	passed		inclDenSedEZ2021	190228_D00829_0224.lane2	A20809	B25019	Lib.F.9280	Cap.E.6779	465	159	SP6742	E13948	sediment	Screening	AA163	Denisova Cave, Russia	Denisova Main Chamber (2/4) M87 Layer 22.1	4.9	0.000284	1713395.0	1686015.0	38842.0	27.7	18107.0	46.6	158.0	114.6	13.3	4.7	3.8-30.7	0.6-15.8	N/A-N/A	0.0-70.8	-	14.0	^^^91.3% (21 / 23)	100.0% (1 / 1)	0.0% (0 / 15)	0.0% (0 / 6)	0.0% (0 / 8)	NA% (0 / 0)	0.0% (0 / 8)	NA% (0 / 0)	2.6% (1 / 38)	NA% (0 / 0)	0.0% (0 / 20)	NA% (0 / 0)	4.8% (1 / 21)	100.0% (1 / 1)	(2056:2)(2523:4)(4904:1)(5840:1)(6266:1)(6452:1)(8021:1)(9325:1)(11590:1)(12474:1)(13359:3)(13889:1)(15148:2)(15443:1)	(15148:1)							(4991:1)				(6272:1)	(6272:1)	
11607	passed		inclDenSedEZ2021	190228_D00829_0224.lane2	A20810	B25020	Lib.F.9281	Cap.E.6780	470	109	SP6743	E13949	sediment	Screening	AA163	Denisova Cave, Russia	Denisova Main Chamber (2/4) M88 Layer 22.1	225.3	0.015078	1494161.0	1475979.0	23085.0	30.2	12339.0	53.5	85.0	145.16	30.0	23.1	11.9-54.3	9.0-43.6	2.5-100.0	2.5-100.0	+	14.0	^^^100.0% (5 / 5)	NA% (0 / 0)	0.0% (0 / 6)	0.0% (0 / 1)	0.0% (0 / 13)	NA% (0 / 0)	0.0% (0 / 7)	0.0% (0 / 1)	^19.2% (5 / 26)	^^100.0% (2 / 2)	^19.0% (4 / 21)	^^^75.0% (3 / 4)	0.0% (0 / 11)	0.0% (0 / 1)	(8461:1)(10307:2)(10324:1)(10750:1)								(1761:2)(3978:1)(8203:1)(14476:1)	(1761:1)(14476:1)	(4622:1)(5270:1)(12921:1)(14662:1)	(5270:1)(12921:1)(14662:1)			
11609	passed		inclDenSedEZ2021	190228_D00829_0224.lane2	A20814	B25022	Lib.F.9285	Cap.E.6782	414	136	SP6744	E13951	sediment	Screening	AA163	Denisova Cave, Russia	Denisova Main Chamber (2/4) M89 Layer 22.1	212.5	0.011313	1878549.0	1848714.0	124586.0	80.2	109408.0	87.8	1067.0	102.54	6.6	3.9	3.5-11.3	1.9-7.1	0.0-84.2	0.0-97.5	-	37.0	^^^98.2% (109 / 111)	^^^87.5% (7 / 8)	1.0% (1 / 98)	25.0% (1 / 4)	0.0% (0 / 136)	0.0% (0 / 4)	0.0% (0 / 102)	0.0% (0 / 1)	0.3% (1 / 286)	0.0% (0 / 9)	0.0% (0 / 301)	0.0% (0 / 3)	0.0% (0 / 156)	0.0% (0 / 2)	(2056:5)(2523:3)(4904:5)(4940:2)(5387:1)(5580:10)(5821:2)(5840:2)(6266:3)(6452:1)(6641:2)(7868:1)(7891:4)(8021:3)(8065:1)(8461:1)(9325:2)(9869:1)(10307:12)(10324:11)(10750:6)(12474:3)(13095:4)(13359:1)(13656:3)(13889:3)(15148:7)(15355:5)(15649:1)(15667:4)	(2523:1)(4904:2)(4940:2)(6266:1)(15667:1)	(6260:1)	(6260:1)					(10223:1)						
11610	passed		inclDenSedEZ2021	190228_D00829_0224.lane2	A20815	B25023	Lib.F.9286	Cap.E.6783	408	158	SP6745	E13952	sediment	Screening	AA163	Denisova Cave, Russia	Denisova Main Chamber (2/4) M90 Layer 22.1	59.0	0.003333	1769125.0	1743819.0	42806.0	64.1	25999.0	60.7	177.0	146.89	2.0	2.4	0.1-10.6	0.1-12.6	N/A-N/A	N/A-N/A	-	5.0	^^^100.0% (18 / 18)	NA% (0 / 0)	0.0% (0 / 19)	NA% (0 / 0)	0.0% (0 / 18)	NA% (0 / 0)	0.0% (0 / 19)	NA% (0 / 0)	1.6% (1 / 64)	0.0% (0 / 1)	1.7% (1 / 58)	0.0% (0 / 1)	0.0% (0 / 16)	NA% (0 / 0)	(2831:1)(4904:1)(4940:1)(6266:1)(6452:1)(8021:1)(8065:2)(8503:4)(11590:1)(12474:1)(13656:1)(15443:1)(15649:1)(15667:1)								(12756:1)		(15562:1)				
11611	passed		inclDenSedEZ2021	190228_D00829_0224.lane2	A20816	B25024	Lib.F.9287	Cap.E.6784	473	115	SP6746	E13953	sediment	Screening	AA163	Denisova Cave, Russia	Denisova Main Chamber (2/4) M91 Layer 22.1	5.9	0.000326	1821281.0	1792476.0	88116.0	92.2	66316.0	75.3	542.0	122.35	3.8	2.7	1.0-9.4	0.8-6.9	0.0-84.2	0.0-97.5	-	10.0	^^^94.9% (56 / 59)	^^100.0% (2 / 2)	0.0% (0 / 37)	NA% (0 / 0)	0.0% (0 / 42)	NA% (0 / 0)	0.0% (0 / 52)	NA% (0 / 0)	0.6% (1 / 166)	25.0% (1 / 4)	0.6% (1 / 172)	0.0% (0 / 2)	0.0% (0 / 102)	NA% (0 / 0)	(2056:2)(2831:1)(4904:1)(4940:2)(5387:4)(5580:2)(7868:3)(7891:1)(8021:2)(8065:4)(8461:1)(9325:8)(10307:4)(10324:7)(10750:1)(13359:1)(13656:3)(13889:1)(15148:1)(15649:3)(15667:4)	(10307:1)(10324:1)							(8140:1)	(8140:1)	(6917:1)				
11612	passed		inclDenSedEZ2021	190228_D00829_0224.lane2	A20817	B25025	Lib.F.9288	Cap.E.6785	449	99	SP6747	E13954	sediment	Screening	AA163	Denisova Cave, Russia	Denisova Main Chamber (2/4) M92 Layer 22.1	47.3	0.002711	1745828.0	1720197.0	53066.0	46.0	36018.0	67.9	422.0	85.35	2.7	4.3	0.3-9.4	1.2-10.8	N/A-N/A	0.0-84.2	-	16.0	^^^100.0% (54 / 54)	100.0% (1 / 1)	4.8% (2 / 42)	0.0% (0 / 2)	0.0% (0 / 30)	0.0% (0 / 1)	0.0% (0 / 38)	0.0% (0 / 3)	1.0% (1 / 99)	NA% (0 / 0)	0.7% (1 / 138)	0.0% (0 / 4)	0.0% (0 / 68)	0.0% (0 / 4)	(2056:2)(2523:8)(2831:1)(4904:1)(5580:5)(6266:1)(6452:1)(6641:1)(7868:2)(7891:1)(8021:5)(8065:6)(8503:1)(9325:1)(10307:1)(10324:2)(11590:3)(12474:1)(13095:1)(13359:4)(13656:1)(13889:1)(15148:1)(15649:2)(15667:1)	(2523:1)	(547:2)						(10223:1)		(5270:1)				
11613	passed		inclDenSedEZ2021	190228_D00829_0224.lane2	A20818	B25026	Lib.F.9289	Cap.E.6786	489	97	SP6748	E13955	sediment	Screening	AA163	Denisova Cave, Russia	Denisova Main Chamber (2/4) M93 Layer 22.1	80.1	0.005819	1375834.0	1358017.0	33251.0	32.0	20938.0	63.0	275.0	76.14	5.9	3.6	1.2-16.2	0.4-12.3	N/A-N/A	0.0-97.5	-	11.0	^^^100.0% (17 / 17)	NA% (0 / 0)	0.0% (0 / 48)	0.0% (0 / 3)	0.0% (0 / 33)	0.0% (0 / 4)	0.0% (0 / 14)	NA% (0 / 0)	0.0% (0 / 69)	0.0% (0 / 1)	0.0% (0 / 106)	0.0% (0 / 2)	0.0% (0 / 43)	NA% (0 / 0)	(4904:1)(5580:2)(5821:1)(6452:1)(7891:1)(8065:1)(9325:2)(10307:1)(10324:1)(12474:1)(13095:1)(13889:2)(15443:2)														
11614	passed		inclDenSedEZ2021	190228_D00829_0224.lane2	A20819	B25027	Lib.F.9290	Cap.E.6787	430	161	SP6749	E13956	sediment	Screening	AA163	Denisova Cave, Russia	Denisova Main Chamber (2/4) M94 Layer 22.1	0.0	0.0	1585665.0	1560447.0	47091.0	61.8	27947.0	59.3	115.0	243.02	6.9	0.0	0.8-22.8	0.0-15.4	N/A-N/A	N/A-N/A	-	3.0	^^^100.0% (12 / 12)	NA% (0 / 0)	0.0% (0 / 10)	NA% (0 / 0)	0.0% (0 / 8)	NA% (0 / 0)	0.0% (0 / 19)	0.0% (0 / 2)	4.3% (2 / 47)	0.0% (0 / 1)	0.0% (0 / 38)	NA% (0 / 0)	0.0% (0 / 25)	NA% (0 / 0)	(6452:1)(6641:1)(7868:1)(7891:1)(9869:4)(10307:1)(10324:1)(10750:1)(13656:1)								(9899:2)						
11615	passed		inclDenSedEZ2021	190228_D00829_0224.lane2	A20820	B25028	Lib.F.9291	Cap.E.6788	404	144	SP6750	E13957	sediment	Screening	AA163	Denisova Cave, Russia	Denisova Main Chamber (2/4) M95 Layer 22.1	218.6	0.015589	1402541.0	1382358.0	28431.0	26.7	17540.0	61.7	293.0	59.86	1.4	4.9	0.0-7.4	1.4-12.2	N/A-N/A	N/A-N/A	-	9.0	^^^100.0% (26 / 26)	NA% (0 / 0)	0.0% (0 / 28)	NA% (0 / 0)	0.0% (0 / 12)	NA% (0 / 0)	0.0% (0 / 47)	0.0% (0 / 1)	0.0% (0 / 92)	0.0% (0 / 2)	1.4% (1 / 69)	0.0% (0 / 2)	0.0% (0 / 36)	NA% (0 / 0)	(4904:1)(5387:1)(5821:2)(5840:1)(6452:1)(6641:1)(8065:1)(8461:1)(10307:4)(10324:1)(11590:1)(12474:1)(13095:3)(13656:2)(13889:1)(15148:2)(15355:2)										(2404:1)				
11616	passed		inclDenSedEZ2021	190228_D00829_0224.lane2	A20821	B25029	Lib.F.9292	Cap.E.6789	462	191	SP6751	E13958	sediment	Screening	AA163	Denisova Cave, Russia	Denisova Main Chamber (2/4) M96 Layer 22.1	0.7	5.1e-05	1449319.0	1424455.0	33851.0	71.5	23654.0	69.9	196.0	120.68	0.0	2.3	0.0-7.9	0.1-12.3	N/A-N/A	N/A-N/A	-	2.0	^^^100.0% (33 / 33)	NA% (0 / 0)	0.0% (0 / 19)	NA% (0 / 0)	0.0% (0 / 11)	NA% (0 / 0)	0.0% (0 / 26)	NA% (0 / 0)	0.0% (0 / 71)	NA% (0 / 0)	0.0% (0 / 65)	0.0% (0 / 3)	0.0% (0 / 37)	NA% (0 / 0)	(2523:3)(2831:2)(4940:1)(5821:2)(5840:2)(6266:2)(7868:1)(7891:1)(8503:3)(9325:1)(10307:1)(10324:1)(10750:3)(12474:4)(13889:1)(15148:2)(15355:2)(15443:1)														
11617	passed		inclDenSedEZ2021	190228_D00829_0224.lane2	A20822	B25030	Lib.F.9293	Cap.E.6790	428	185	SP6752	E13959	sediment	Screening	AA163	Denisova Cave, Russia	Denisova Main Chamber (2/4) M97 Layer 22.1	31.1	0.00165	1886870.0	1857274.0	85976.0	88.2	60411.0	70.3	559.0	108.07	3.2	4.9	0.7-9.0	1.6-11.0	N/A-N/A	0.0-84.2	-	14.0	^^^100.0% (68 / 68)	100.0% (1 / 1)	0.0% (0 / 86)	0.0% (0 / 7)	0.0% (0 / 49)	NA% (0 / 0)	0.0% (0 / 33)	NA% (0 / 0)	1.8% (2 / 114)	NA% (0 / 0)	0.0% (0 / 224)	0.0% (0 / 7)	0.0% (0 / 41)	NA% (0 / 0)	(2056:5)(2523:9)(4904:9)(5387:3)(5580:1)(6452:1)(8021:5)(8503:1)(9325:1)(10750:1)(13359:2)(15148:14)(15355:2)(15443:4)(15649:5)(15667:5)	(15148:1)							(4991:2)						
11618	passed		inclDenSedEZ2021	190228_D00829_0224.lane2	A20823	B25031	Lib.F.9294	Cap.E.6791	458	172	SP6753	E13960	sediment	Screening	AA163	Denisova Cave, Russia	Denisova Main Chamber (2/4) M98 Layer 22.1	91.9	0.00599	1534622.0	1506663.0	36625.0	74.2	23437.0	64.0	98.0	239.15	4.0	3.8	0.1-20.4	0.1-19.6	N/A-N/A	N/A-N/A	-	3.0	^^^100.0% (6 / 6)	NA% (0 / 0)	0.0% (0 / 7)	NA% (0 / 0)	0.0% (0 / 4)	NA% (0 / 0)	0.0% (0 / 9)	0.0% (0 / 1)	0.0% (0 / 30)	NA% (0 / 0)	0.0% (0 / 33)	0.0% (0 / 2)	6.7% (1 / 15)	0.0% (0 / 2)	(5821:1)(5840:1)(7891:1)(10750:1)(15649:1)(15667:1)												(9218:1)		
11619	passed		inclDenSedEZ2021	190228_D00829_0224.lane2	A20824	B25032	Lib.F.9295	Cap.E.6792	424	170	SP6754	E13961	sediment	Screening	AA163	Denisova Cave, Russia	Denisova Main Chamber (2/4) M99 Layer 22.1	1.5	9.9e-05	1531691.0	1499536.0	283918.0	90.1	277184.0	97.6	12052.0	23.0	1.0	1.0	0.7-1.4	0.7-1.4	0.0-36.9	0.0-30.8	-	118.0	^^^99.5% (1671 / 1680)	^^^100.0% (24 / 24)	0.1% (1 / 1568)	0.0% (0 / 15)	0.0% (0 / 1079)	0.0% (0 / 2)	0.0% (0 / 1461)	0.0% (0 / 12)	0.4% (17 / 4491)	6.9% (2 / 29)	0.1% (2 / 3332)	0.0% (0 / 21)	0.1% (2 / 2658)	0.0% (0 / 17)	(2056:43)(2523:65)(2831:15)(4904:80)(4940:62)(5387:59)(5580:68)(5821:18)(5840:27)(6266:50)(6452:64)(6641:39)(7868:53)(7891:60)(8021:24)(8065:49)(8461:33)(8503:29)(9325:71)(9869:32)(10307:29)(10324:29)(10750:38)(11590:47)(12474:59)(13095:61)(13359:41)(13656:52)(13889:37)(15148:73)(15355:53)(15443:49)(15649:68)(15667:94)	(2523:3)(4904:5)(4940:4)(5821:2)(5840:2)(6266:1)(9869:1)(13095:2)(15355:4)	(13801:1)						(868:1)(1761:2)(4318:1)(4456:3)(6242:1)(8677:1)(11147:1)(12064:2)(14839:1)(14950:4)	(1761:2)	(5021:1)(11549:1)		(4380:1)(10601:1)		
11620	passed		inclDenSedEZ2021	190228_D00829_0224.lane2	A20825	B25033	Lib.F.9296	Cap.E.6793	466	105	SP6755	E13962	sediment	Screening	AA163	Denisova Cave, Russia	Denisova Main Chamber (2/4) M100 Layer 22.1	70.6	0.004382	1610266.0	1587586.0	31104.0	10.4	21781.0	70.0	316.0	68.93	5.1	5.3	1.1-14.1	1.5-13.1	0.0-97.5	0.0-97.5	-	10.0	^^^100.0% (37 / 37)	NA% (0 / 0)	0.0% (0 / 35)	NA% (0 / 0)	0.0% (0 / 33)	0.0% (0 / 1)	0.0% (0 / 27)	0.0% (0 / 1)	0.0% (0 / 87)	0.0% (0 / 3)	0.0% (0 / 71)	NA% (0 / 0)	0.0% (0 / 46)	NA% (0 / 0)	(2523:3)(4904:1)(4940:1)(5387:1)(6266:1)(6641:1)(7868:2)(7891:1)(8461:2)(8503:2)(9869:1)(10750:3)(13095:1)(13359:5)(15148:2)(15355:6)(15443:2)(15649:1)(15667:1)														
11621	passed		inclDenSedEZ2021	190228_D00829_0224.lane2	A20826	B25034	Lib.F.9297	Cap.E.6794	421	192	SP6756	E13963	sediment	Screening	AA163	Denisova Cave, Russia	Denisova Main Chamber (2/4) M101 Layer 22.1	4.0	0.000301	1337206.0	1316744.0	19332.0	34.1	4951.0	25.6	45.0	110.02	0.0	8.3	0.0-26.5	0.2-38.5	N/A-N/A	N/A-N/A	-	2.0	^^^100.0% (5 / 5)	NA% (0 / 0)	0.0% (0 / 9)	NA% (0 / 0)	0.0% (0 / 5)	NA% (0 / 0)	0.0% (0 / 3)	NA% (0 / 0)	0.0% (0 / 15)	NA% (0 / 0)	0.0% (0 / 16)	NA% (0 / 0)	0.0% (0 / 8)	NA% (0 / 0)	(6266:1)(7868:1)(7891:1)(15649:1)(15667:1)														
11622	passed		inclDenSedEZ2021	190228_D00829_0224.lane2	A20827	B25035	Lib.F.9298	Cap.E.6795	450	180	SP6757	E13964	sediment	Screening	AA163	Denisova Cave, Russia	Denisova Main Chamber (2/4) M102 Layer 22.1	133.7	0.008614	1551902.0	1530655.0	24372.0	33.0	8945.0	36.7	112.0	79.87	4.8	3.1	0.1-23.8	0.1-16.2	N/A-N/A	N/A-N/A	-	4.0	^^^100.0% (11 / 11)	NA% (0 / 0)	0.0% (0 / 11)	NA% (0 / 0)	11.1% (1 / 9)	NA% (0 / 0)	0.0% (0 / 10)	NA% (0 / 0)	0.0% (0 / 44)	NA% (0 / 0)	0.0% (0 / 27)	NA% (0 / 0)	0.0% (0 / 22)	0.0% (0 / 2)	(4940:1)(6266:1)(7868:2)(7891:1)(8503:2)(9869:1)(12474:1)(13889:1)(15148:1)				(7861:1)										
11623	passed		inclDenSedEZ2021	190228_D00829_0224.lane2	A20828	B25036	Lib.F.9299	Cap.E.6796	399	111	SP6758	E13965	sediment	Screening	AA163	Denisova Cave, Russia	Denisova Main Chamber (2/4) M103 Layer 22.1	0.0	0.0	1583463.0	1558814.0	17955.0	11.1	6448.0	35.9	93.0	69.33	15.0	4.3	3.2-37.9	0.1-21.9	2.5-100.0	0.8-90.6	-	4.0	^^^90.0% (9 / 10)	NA% (0 / 0)	0.0% (0 / 8)	NA% (0 / 0)	0.0% (0 / 7)	0.0% (0 / 1)	0.0% (0 / 5)	NA% (0 / 0)	3.1% (1 / 32)	NA% (0 / 0)	0.0% (0 / 27)	0.0% (0 / 1)	0.0% (0 / 14)	0.0% (0 / 1)	(4904:1)(4940:1)(5840:2)(6452:1)(8021:1)(8065:1)(8503:1)(11590:1)								(6483:1)						
11624	passed		inclDenSedEZ2021	190228_D00829_0224.lane2	A20829	B25037	Lib.F.9300	Cap.E.6797	397	163	SP6759	E13966	sediment	Screening	AA163	Denisova Cave, Russia	Denisova Main Chamber (2/4) M104 Layer 22.1	88.2	0.005401	1633583.0	1607784.0	68671.0	77.5	49651.0	72.3	1585.0	31.33	4.1	0.0	1.9-7.7	0.0-2.3	N/A-N/A	N/A-N/A	-	17.0	^^^100.0% (53 / 53)	100.0% (1 / 1)	0.0% (0 / 271)	0.0% (0 / 1)	0.0% (0 / 305)	0.0% (0 / 3)	1.0% (1 / 96)	100.0% (1 / 1)	0.4% (1 / 228)	0.0% (0 / 3)	0.1% (1 / 808)	0.0% (0 / 3)	0.8% (1 / 118)	0.0% (0 / 1)	(2523:1)(4904:1)(5387:2)(5580:4)(6452:1)(7868:2)(7891:2)(8065:1)(8461:1)(8503:1)(9325:2)(9869:3)(10307:1)(10324:2)(10750:2)(11590:2)(13656:3)(13889:1)(15148:6)(15355:5)(15649:5)(15667:5)	(10324:1)					(12771:1)	(12771:1)	(9168:1)		(5021:1)		(11002:1)		
11626	passed		inclDenSedEZ2021	190228_D00829_0224.lane2	A20834	B25039	Lib.F.9305	Cap.E.6799	406	120	SP6760	E13968	sediment	Screening	AA163	Denisova Cave, Russia	Denisova Main Chamber (2/4) M105 Layer 22.1	72.3	0.004303	1679610.0	1656697.0	64742.0	63.5	54993.0	84.9	672.0	81.83	5.0	1.5	1.4-12.3	0.3-4.4	N/A-N/A	0.0-84.2	-	16.0	^^^98.9% (92 / 93)	100.0% (1 / 1)	0.0% (0 / 82)	0.0% (0 / 1)	0.0% (0 / 60)	NA% (0 / 0)	0.0% (0 / 76)	0.0% (0 / 2)	0.8% (2 / 239)	0.0% (0 / 1)	0.0% (0 / 223)	0.0% (0 / 2)	0.0% (0 / 113)	NA% (0 / 0)	(2056:1)(2523:5)(2831:2)(4904:20)(4940:4)(5387:3)(5580:2)(5840:1)(6266:3)(6452:2)(6641:9)(7868:3)(7891:8)(8021:1)(9325:1)(10307:1)(10324:1)(10750:3)(11590:2)(13095:5)(13359:1)(13656:1)(13889:5)(15148:4)(15443:2)(15649:2)	(2523:1)							(9530:1)(9758:1)						
