RG	ReadsRaw	ReadsFiltered	ReadsLengthfiltered	SpeciesKmers	KmerCoverage	KmerDupRate	ExtractLVL	ReadsExtracted	Order	Family	Species	Reference	ReadsMapped	ProportionMapped	ReadsDeduped	DuplicationRate	CoveredBP	ReadsBedfiltered	PostBedCoveredBP	FamPercentage	Ancientness	ReadsDeam(1term)	ReadsDeam(3term)	Deam5(95ci)	Deam3(95ci)	Deam5Cond(95ci)	Deam3Cond(95ci)	MeanFragmentLength	MeanFragmentLength(3term)	Coverage	Breadth	ExpectedBreadth	ProportionExpectedBreadth
rl10_rep100_simadna_neanderthals	10	10	10	13	0.007108	1.0	f	6	Primates	Hominidae	Homo_sapiens_neanderthalensis	best	6	1.0000	6	1.0000	287	6	287	100.00	-	0	3	N/A (N/A,N/A)	0.0 (0.0,70.8)	N/A (N/A,N/A)	N/A (N/A,N/A)	47.8	53.3	0.01	0.017	0.015	1.141
rl10_rep10_simadna_neanderthals	10	10	10	9	0.001038	1.0	f	4	Primates	Hominidae	Homo_sapiens_subsp._'Denisova'	best	4	1.0000	4	1.0000	200	4	200	100.00	-	0	2	0.0 (0.0,97.5)	0.0 (0.0,97.5)	N/A (N/A,N/A)	N/A (N/A,N/A)	50.0	53.0	0.01	0.012	0.01	1.138
rl10_rep11_simadna_neanderthals	10	10	10	12	0.006561	1.0	f	8	Primates	Hominidae	Homo_sapiens_neanderthalensis	best	8	1.0000	8	1.0000	329	8	329	100.00	-	0	1	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)	41.1	44.0	0.01	0.019	0.017	1.142
rl10_rep12_simadna_neanderthals	10	10	10	11	0.001269	1.0	f	6	Primates	Hominidae	Homo_sapiens_subsp._'Denisova'	best	5	0.8333	5	1.0000	238	5	238	100.00	-	0	1	0.0 (0.0,97.5)	0.0 (0.0,97.5)	N/A (N/A,N/A)	N/A (N/A,N/A)	47.6	41.0	0.01	0.014	0.012	1.139
rl10_rep13_simadna_neanderthals	10	10	10	8	0.004374	1.0	f	8	Primates	Hominidae	Homo_sapiens_neanderthalensis	best	7	0.8750	7	1.0000	380	7	380	100.00	-	0	0	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)	54.3	N/A	0.02	0.022	0.02	1.144
rl10_rep14_simadna_neanderthals	10	10	10	6	0.00328	1.0	f	7	Primates	Hominidae	Homo_sapiens_neanderthalensis	best	6	0.8571	6	1.0000	316	5	248	100.00	-	1	3	0.0 (0.0,84.2)	50.0 (1.3,98.7)	N/A (N/A,N/A)	N/A (N/A,N/A)	49.6	52.7	0.01	0.019	0.016	1.142
rl10_rep15_simadna_neanderthals	10	10	10	20	0.01093	1.0	f	6	Primates	Hominidae	Homo_sapiens_neanderthalensis	best	6	1.0000	6	1.0000	276	6	276	100.00	-	0	3	0.0 (0.0,97.5)	0.0 (0.0,84.2)	N/A (N/A,N/A)	N/A (N/A,N/A)	50.0	44.0	0.01	0.016	0.015	1.05
rl10_rep16_simadna_neanderthals	10	10	10	10	0.005467	1.0	f	5	Primates	Hominidae	Homo_sapiens_neanderthalensis	best	5	1.0000	5	1.0000	259	5	259	100.00	-	1	2	100.0 (2.5,100.0)	0.0 (0.0,97.5)	N/A (N/A,N/A)	N/A (N/A,N/A)	51.8	39.0	0.01	0.015	0.013	1.14
rl10_rep17_simadna_neanderthals	10	10	10	15	0.001731	1.0	f	5	Primates	Hominidae	Homo_sapiens	best	5	1.0000	5	1.0000	234	5	234	100.00	-	1	3	0.0 (0.0,84.2)	100.0 (2.5,100.0)	0.0 (0.0,97.5)	N/A (N/A,N/A)	46.8	43.0	0.01	0.014	0.012	1.139
rl10_rep18_simadna_neanderthals	10	10	10	14	0.007654	1.0	f	6	Primates	Hominidae	Homo_sapiens_neanderthalensis	best	5	0.8333	5	1.0000	278	5	278	100.00	-	1	3	50.0 (1.3,98.7)	100.0 (2.5,100.0)	100.0 (2.5,100.0)	100.0 (2.5,100.0)	55.6	56.7	0.01	0.016	0.014	1.14
