RG	ReadsRaw	ReadsFiltered	ReadsLengthfiltered	SpeciesKmers	KmerCoverage	KmerDupRate	ExtractLVL	ReadsExtracted	Order	Family	Species	Reference	ReadsMapped	ProportionMapped	ReadsDeduped	DuplicationRate	CoveredBP	ReadsBedfiltered	PostBedCoveredBP	FamPercentage	Ancientness	ReadsDeam(1term)	ReadsDeam(3term)	Deam5(95ci)	Deam3(95ci)	Deam5Cond(95ci)	Deam3Cond(95ci)	MeanFragmentLength	MeanFragmentLength(3term)	Coverage	Breadth	ExpectedBreadth	ProportionExpectedBreadth
Cap.E.7047	296490	294300	195684	52	0.01531	1.38	f	291	Carnivora	Ursidae	Ursus_arctos	best	179	0.6151	152	1.1776	1485	142	1399	0.67	++	22	43	45.8 (25.6,67.2)	32.4 (17.4,50.5)	0.0 (0.0,84.2)	0.0 (0.0,84.2)	50.4	51.3	0.44	0.087	0.327	0.266
Cap.E.7047	296490	294300	195684	7	0.01016	3.86	f	635	Carnivora	Felidae	Panthera_leo_persica	best	444	0.6992	339	1.3097	1378	335	1281	1.58	++	72	130	46.8 (35.5,58.4)	44.6 (34.2,55.3)	66.7 (29.9,92.5)	37.5 (15.2,64.6)	53.0	51.6	1.06	0.081	0.61	0.134
Cap.E.7047	296490	294300	195684	8	0.0009999	2.75	f	757	Chiroptera	Vespertilionidae	Myotis_bechsteinii	best	211	0.2787	159	1.3270	631	154	508	0.72	+	17	51	23.1 (9.0,43.6)	35.5 (19.2,54.6)	0.0 (0.0,84.2)	0.0 (0.0,97.5)	44.8	44.7	0.41	0.036	0.308	0.119
Cap.E.7047	296490	294300	195684	8	0.004374	1.5	f	460	Primates	Hominidae	Homo_sapiens	fixed	196	0.4260	148	1.3243	4590	-	-	0.69	++	20	37	36.7 (19.9,56.1)	27.3 (13.3,45.5)	0.0 (0.0,84.2)	0.0 (0.0,60.2)	46.1	46.5	0.41	0.277	0.304	0.909
Cap.E.7047	296490	294300	195684	8	0.006861	1.88	f	228	Proboscidea	Elephantidae	Mammuthus_primigenius	best	189	0.8289	162	1.1666	1030	162	1030	0.76	++	34	55	52.5 (36.1,68.5)	31.9 (19.1,47.1)	50.0 (6.8,93.2)	66.7 (9.4,99.2)	48.6	49.6	0.46	0.061	0.339	0.18
Cap.E.7048	291860	289473	197945	11	0.002092	3.82	f	226	Primates	Cebidae	Sapajus_xanthosternos	best	124	0.5486	107	1.1588	414	106	407	0.47	++	20	28	50.0 (26.0,74.0)	56.5 (34.5,76.8)	100.0 (15.8,100.0)	66.7 (9.4,99.2)	59.6	60.9	0.38	0.025	0.288	0.086
Cap.E.7048	291860	289473	197945	12	0.001717	1.75	f	195	Eulipotyphla	Soricidae	Sorex_roboratus	best	103	0.5282	78	1.3205	506	77	470	0.34	+	18	36	70.8 (48.9,87.4)	5.6 (0.1,27.3)	N/A (N/A,N/A)	0.0 (0.0,52.2)	48.9	47.7	0.22	0.029	0.177	0.165
Cap.E.7048	291860	289473	197945	14	0.007654	1.0	f	557	Primates	Hominidae	Homo_sapiens	fixed	246	0.4416	180	1.3666	5612	-	-	0.81	++	24	38	34.2 (19.6,51.4)	19.6 (10.2,32.4)	0.0 (0.0,84.2)	0.0 (0.0,41.0)	46.3	47.8	0.5	0.338	0.358	0.945
Cap.E.7048	291860	289473	197945	16	0.002033	6.75	f	431	Primates	Cercopithecidae	Macaca_sylvanus	best	164	0.3805	141	1.1631	687	139	671	0.62	++	29	49	41.9 (27.0,57.9)	29.3 (16.1,45.5)	33.3 (0.8,90.6)	25.0 (0.6,80.6)	52.1	49.9	0.44	0.041	0.323	0.127
Cap.E.7048	291860	289473	197945	18	0.002363	14.9	f	328	Rodentia	Muridae	Rattus_norvegicus	best	75	0.2286	51	1.4705	314	51	314	0.22	++	12	20	55.6 (21.2,86.3)	43.8 (19.8,70.1)	0.0 (0.0,97.5)	N/A (N/A,N/A)	44.7	44.9	0.13	0.019	0.116	0.166
Cap.E.7048	291860	289473	197945	18	0.01544	3.33	f	558	Proboscidea	Elephantidae	Mammuthus_primigenius	best	503	0.9014	387	1.2997	1554	387	1554	1.74	++	61	96	47.9 (36.1,60.0)	31.5 (22.0,42.2)	33.3 (4.3,77.7)	20.0 (2.5,55.6)	49.4	48.6	1.14	0.092	0.634	0.146
Cap.E.7048	291860	289473	197945	19	0.002172	2.63	f	433	Rodentia	Sciuridae	Dremomys_pernyi	best	123	0.2840	101	1.2178	916	96	853	0.43	++	11	25	38.5 (13.9,68.4)	29.2 (12.6,51.1)	100.0 (2.5,100.0)	50.0 (1.3,98.7)	45.0	46.0	0.27	0.055	0.216	0.255
Cap.E.7048	291860	289473	197945	1904	0.2305	104.0	f	25082	Carnivora	Hyaenidae	Crocuta_crocuta	best	24831	0.9899	15181	1.6356	6565	14960	6514	67.45	++	1616	2607	30.1 (28.6,31.6)	15.4 (14.2,16.6)	29.4 (22.1,37.6)	15.6 (11.5,20.5)	60.3	62.1	53.47	0.383	1.0	0.383
Cap.E.7048	291860	289473	197945	21	0.003616	3.24	f	147	Carnivora	Mustelidae	Lutra_sumatrana	best	37	0.2517	33	1.1212	922	28	744	0.12	-	5	11	37.5 (8.5,75.5)	25.0 (3.2,65.1)	N/A (N/A,N/A)	N/A (N/A,N/A)	57.5	54.5	0.11	0.055	0.094	0.587
