RG	ReadsRaw	ReadsFiltered	ReadsLengthfiltered	SpeciesKmers	KmerCoverage	KmerDupRate	ExtractLVL	ReadsExtracted	Order	Family	Species	Reference	ReadsMapped	ProportionMapped	ReadsDeduped	DuplicationRate	CoveredBP	ReadsBedfiltered	PostBedCoveredBP	FamPercentage	Ancientness	ReadsDeam(1term)	ReadsDeam(3term)	Deam5(95ci)	Deam3(95ci)	Deam5Cond(95ci)	Deam3Cond(95ci)	MeanFragmentLength	MeanFragmentLength(3term)	Coverage	Breadth	ExpectedBreadth	ProportionExpectedBreadth
Cap.E.6858	2608898	2574474	1385615	12	0.002037	5.25	f	543	Chiroptera	Pteropodidae	Pteropus_dasymallus	best	32	0.0589	7	4.5714	216	7	216	0.04	-	3	3	33.3 (0.8,90.6)	66.7 (9.4,99.2)	0.0 (0.0,97.5)	N/A (N/A,N/A)	41.7	42.7	0.01	0.012	0.015	0.85
Cap.E.6858	2608898	2574474	1385615	14	0.00191	26.4	f	1325	Primates	Lepilemuridae	Lepilemur_septentrionalis	best	758	0.5720	25	30.3200	397	25	397	0.15	-	5	10	66.7 (9.4,99.2)	33.3 (7.5,70.1)	N/A (N/A,N/A)	N/A (N/A,N/A)	40.4	40.6	0.05	0.023	0.051	0.457
Cap.E.6858	2608898	2574474	1385615	15	0.02177	1.4	f	9369	Carnivora	Felidae	Panthera_leo_persica	best	7191	0.7675	583	12.3344	10090	562	9787	3.41	++	121	196	53.8 (43.8,63.5)	55.5 (46.1,64.6)	16.7 (2.1,48.4)	50.0 (6.8,93.2)	46.8	45.9	1.62	0.599	0.761	0.788
Cap.E.6858	2608898	2574474	1385615	16	0.002265	4.0	f	1734	Rodentia	Cricetidae	Microtus_chrotorrhinus	best	595	0.3431	32	18.5937	313	32	313	0.19	+	9	15	37.5 (8.5,75.5)	50.0 (21.1,78.9)	0.0 (0.0,97.5)	0.0 (0.0,97.5)	41.6	40.1	0.08	0.019	0.069	0.275
Cap.E.6858	2608898	2574474	1385615	17	0.002408	15.5	f	4554	Chiroptera	Vespertilionidae	Myotis_volans	best	1569	0.3445	72	21.7916	794	72	794	0.43	++	15	31	76.9 (46.2,95.0)	31.2 (11.0,58.7)	N/A (N/A,N/A)	0.0 (0.0,70.8)	42.8	43.0	0.17	0.045	0.144	0.315
Cap.E.6858	2608898	2574474	1385615	18	0.002625	7.33	f	162	Eulipotyphla	Talpidae	Uropsilus_soricipes	best	33	0.2037	3	11.0000	118	3	118	0.01	-	0	0	N/A (N/A,N/A)	0.0 (0.0,97.5)	N/A (N/A,N/A)	N/A (N/A,N/A)	39.3	N/A	0.0	0.007	0.006	1.136
Cap.E.6858	2608898	2574474	1385615	20	0.003571	23.9	f	2529	Carnivora	Phocidae	Phoca_groenlandica	best	106	0.0419	19	5.5789	499	18	460	0.10	-	2	4	0.0 (0.0,70.8)	40.0 (5.3,85.3)	N/A (N/A,N/A)	N/A (N/A,N/A)	43.9	50.0	0.05	0.03	0.043	0.696
Cap.E.6858	2608898	2574474	1385615	21	0.01295	27.6	f	8950	Perissodactyla	Equidae	Equus_quagga_chapmani	best	482	0.0538	41	11.7560	1059	41	1059	0.24	++	10	14	77.8 (40.0,97.2)	60.0 (14.7,94.7)	N/A (N/A,N/A)	N/A (N/A,N/A)	42.3	43.5	0.1	0.064	0.089	0.724
Cap.E.6858	2608898	2574474	1385615	215	0.03574	8.64	f	20563	Carnivora	Mustelidae	Martes_foina	best	1517	0.0737	127	11.9448	3338	120	3292	0.73	++	29	38	60.9 (38.5,80.3)	61.5 (40.6,79.8)	33.3 (0.8,90.6)	33.3 (0.8,90.6)	44.5	45.6	0.33	0.201	0.258	0.78
Cap.E.6858	2608898	2574474	1385615	22	0.003117	14.2	f	790	Rodentia	Echimyidae	Proechimys_kulinae	best	230	0.2911	19	12.1052	385	13	285	0.07	-	2	2	N/A (N/A,N/A)	100.0 (15.8,100.0)	N/A (N/A,N/A)	N/A (N/A,N/A)	41.5	38.5	0.04	0.022	0.041	0.545
Cap.E.6858	2608898	2574474	1385615	22	0.01189	18.7	f	3385	Artiodactyla	Cervidae	Cervus_nippon_yakushimae	best	2304	0.6806	151	15.2582	3700	144	3565	0.87	++	27	49	77.8 (52.4,93.6)	41.0 (25.6,57.9)	75.0 (19.4,99.4)	60.0 (14.7,94.7)	43.6	41.8	0.4	0.225	0.297	0.756
Cap.E.6858	2608898	2574474	1385615	22	0.02005	6.32	f	6955	Artiodactyla	Bovidae	Procapra_gutturosa	best	3962	0.5696	259	15.2972	5582	257	5522	1.56	++	45	81	68.1 (52.9,80.9)	33.3 (20.4,48.4)	60.0 (14.7,94.7)	50.0 (11.8,88.2)	48.6	47.3	0.75	0.337	0.488	0.69
Cap.E.6858	2608898	2574474	1385615	23	0.003461	15.8	f	1340	Primates	Cercopithecidae	Macaca_tonkeana	best	207	0.1544	18	11.5000	347	18	347	0.10	-	4	10	50.0 (6.8,93.2)	40.0 (5.3,85.3)	N/A (N/A,N/A)	0.0 (0.0,97.5)	43.1	41.2	0.04	0.02	0.04	0.517
Cap.E.6858	2608898	2574474	1385615	24	0.004619	9.04	f	736	Carnivora	Otariidae	Arctocephalus_townsendi	best	154	0.2092	18	8.5555	516	18	516	0.10	+	3	6	100.0 (15.8,100.0)	100.0 (2.5,100.0)	N/A (N/A,N/A)	N/A (N/A,N/A)	44.9	45.7	0.04	0.031	0.042	0.739
Cap.E.6858	2608898	2574474	1385615	25	0.003594	12200.0	f	20609	Eulipotyphla	Soricidae	Sorex_gracillimus	best	1141	0.0553	59	19.3389	411	17	365	0.10	-	5	8	100.0 (47.8,100.0)	0.0 (0.0,97.5)	N/A (N/A,N/A)	0.0 (0.0,97.5)	42.9	45.5	0.13	0.024	0.111	0.216
Cap.E.6858	2608898	2574474	1385615	26	0.002089	5.42	f	2181	Rodentia	Muridae	Mus_musculus	best	771	0.3535	43	17.9302	748	42	706	0.25	++	13	17	83.3 (35.9,99.6)	66.7 (34.9,90.1)	N/A (N/A,N/A)	0.0 (0.0,84.2)	43.2	42.0	0.11	0.045	0.095	0.48
Cap.E.6858	2608898	2574474	1385615	28	0.0032	2.61	f	2058	Rodentia	Sciuridae	Dremomys_pernyi	best	1052	0.5111	55	19.1272	781	54	744	0.32	++	25	38	70.0 (34.8,93.3)	74.1 (53.7,88.9)	50.0 (6.8,93.2)	66.7 (9.4,99.2)	40.6	40.5	0.13	0.047	0.111	0.421
Cap.E.6858	2608898	2574474	1385615	2859	0.4067	12.7	f	7739	Perissodactyla	Rhinocerotidae	Coelodonta_antiquitatis	best	7143	0.9229	638	11.1959	10898	631	10830	3.83	++	140	219	63.0 (54.4,71.1)	53.8 (44.4,63.1)	66.7 (38.4,88.2)	45.5 (24.4,67.8)	45.6	45.3	1.76	0.663	0.79	0.838
Cap.E.6858	2608898	2574474	1385615	29	0.004735	12.3	f	237	Carnivora	Herpestidae	Bdeogale_nigripes	best	61	0.2573	9	6.7777	314	9	314	0.05	+	3	5	100.0 (2.5,100.0)	100.0 (15.8,100.0)	N/A (N/A,N/A)	N/A (N/A,N/A)	42.2	45.0	0.02	0.018	0.019	0.945
Cap.E.6858	2608898	2574474	1385615	30	0.004189	241.0	f	3321	Chiroptera	Phyllostomidae	Artibeus_jamaicensis	best	196	0.0590	20	9.8000	411	20	411	0.12	-	1	9	33.3 (0.8,90.6)	0.0 (0.0,97.5)	N/A (N/A,N/A)	N/A (N/A,N/A)	41.6	42.8	0.04	0.024	0.043	0.572
