RG	ReadsRaw	ReadsFiltered	ReadsLengthfiltered	SpeciesKmers	KmerCoverage	KmerDupRate	ExtractLVL	ReadsExtracted	Order	Family	Species	Reference	ReadsMapped	ProportionMapped	ReadsDeduped	DuplicationRate	CoveredBP	ReadsBedfiltered	PostBedCoveredBP	FamPercentage	Ancientness	ReadsDeam(1term)	ReadsDeam(3term)	Deam5(95ci)	Deam3(95ci)	Deam5Cond(95ci)	Deam3Cond(95ci)	MeanFragmentLength	MeanFragmentLength(3term)	Coverage	Breadth	ExpectedBreadth	ProportionExpectedBreadth
Cap.E.6723	1608001	1590552	1095202	13	0.01731	1.62	f	72	Primates	Indriidae	Propithecus_diadema	best	14	0.1944	12	1.1666	382	12	382	0.00	-	0	1	0.0 (0.0,52.2)	0.0 (0.0,84.2)	N/A (N/A,N/A)	N/A (N/A,N/A)	43.3	42.0	0.03	0.022	0.026	0.843
Cap.E.6723	1608001	1590552	1095202	1318	0.388	3.83	f	3859	Carnivora	Ursidae	Ursus_arctos	best	2938	0.7613	2353	1.2486	14596	2279	14085	1.63	++	344	608	41.7 (37.5,46.0)	26.2 (22.5,30.2)	38.2 (22.2,56.4)	30.2 (17.2,46.1)	52.3	52.6	7.23	0.857	0.998	0.859
Cap.E.6723	1608001	1590552	1095202	133	0.164	1.95	f	3912	Carnivora	Canidae	Canis_lupus_familiaris	best	2865	0.7323	2355	1.2165	14593	2300	14349	1.65	++	342	587	43.4 (39.0,47.8)	24.1 (20.6,27.9)	42.3 (23.4,63.1)	19.0 (9.9,31.4)	50.5	49.6	7.12	0.872	0.998	0.874
Cap.E.6723	1608001	1590552	1095202	141	0.01626	1.28	f	539	Primates	Hominidae	Homo_sapiens	fixed	84	0.1558	64	1.3125	1340	-	-	0.04	+	9	16	44.4 (13.7,78.8)	21.7 (7.5,43.7)	0.0 (0.0,97.5)	N/A (N/A,N/A)	45.8	46.2	0.17	0.08	0.144	0.559
Cap.E.6723	1608001	1590552	1095202	1451	0.7358	28.7	f	97978	Artiodactyla	Bovidae	Bison_schoetensacki	best	59212	0.6043	41796	1.4166	15971	40203	15659	28.84	++	5508	9147	37.2 (36.2,38.2)	24.0 (23.2,24.9)	38.6 (34.6,42.8)	24.5 (21.7,27.4)	51.3	52.0	131.59	0.978	1.0	0.978
Cap.E.6723	1608001	1590552	1095202	154	0.02024	5.84	f	1450	Carnivora	Viverridae	Arctictis_binturong_albifrons	best	390	0.2689	313	1.2460	2079	311	2027	0.22	++	49	80	47.1 (35.1,59.4)	22.7 (13.8,33.8)	50.0 (1.3,98.7)	12.5 (0.3,52.7)	53.2	53.2	0.99	0.124	0.585	0.213
Cap.E.6723	1608001	1590552	1095202	16	0.002267	1.19	f	89	Primates	Hylobatidae	Hylobates_agilis	best	15	0.1685	11	1.3636	326	11	326	0.00	-	1	1	25.0 (0.6,80.6)	0.0 (0.0,60.2)	N/A (N/A,N/A)	N/A (N/A,N/A)	48.2	61.0	0.03	0.019	0.027	0.706
Cap.E.6723	1608001	1590552	1095202	18	0.003828	74.3	f	494	Primates	Atelidae	Alouatta_caraya	best	328	0.6639	213	1.5399	540	213	540	0.15	+	28	43	41.7 (27.6,56.8)	20.0 (9.1,35.6)	0.0 (0.0,84.2)	0.0 (0.0,60.2)	50.0	48.5	0.64	0.032	0.433	0.075
Cap.E.6723	1608001	1590552	1095202	20	0.003278	3.9	f	313	Lagomorpha	Leporidae	Lepus_europaeus	best	82	0.2619	56	1.4642	902	56	902	0.04	+	6	11	15.4 (1.9,45.4)	40.0 (12.2,73.8)	N/A (N/A,N/A)	N/A (N/A,N/A)	46.7	50.4	0.14	0.05	0.122	0.416
Cap.E.6723	1608001	1590552	1095202	2094	0.6573	6.11	f	10655	Perissodactyla	Equidae	Equus_ovodovi	best	9167	0.8603	7298	1.2560	15243	7234	15013	5.19	++	1147	1938	41.7 (39.4,44.1)	25.6 (23.5,27.7)	41.2 (31.5,51.4)	23.6 (17.6,30.5)	50.8	50.9	22.59	0.928	0.999	0.928
Cap.E.6723	1608001	1590552	1095202	22	0.002485	5.91	f	96	Lagomorpha	Ochotonidae	Ochotona_collaris	best	22	0.2291	18	1.2222	384	18	384	0.01	-	0	1	0.0 (0.0,84.2)	0.0 (0.0,52.2)	N/A (N/A,N/A)	N/A (N/A,N/A)	44.2	46.0	0.04	0.022	0.04	0.558
Cap.E.6723	1608001	1590552	1095202	22	0.004633	1.59	f	1098	Primates	Cebidae	Saguinus_oedipus	best	522	0.4754	364	1.4340	853	362	825	0.25	++	61	114	27.5 (18.6,37.8)	39.4 (29.4,50.0)	12.5 (0.3,52.7)	16.7 (0.4,64.1)	53.3	52.4	1.17	0.051	0.644	0.079
Cap.E.6723	1608001	1590552	1095202	22	0.006322	2.36	f	206	Artiodactyla	Delphinidae	Orcaella_brevirostris	best	55	0.2669	42	1.3095	718	39	711	0.02	+	8	10	50.0 (23.0,77.0)	16.7 (0.4,64.1)	N/A (N/A,N/A)	N/A (N/A,N/A)	46.6	44.5	0.12	0.043	0.103	0.422
Cap.E.6723	1608001	1590552	1095202	226	0.1938	2.68	f	1910	Proboscidea	Elephantidae	Mammuthus_primigenius	best	1740	0.9109	1446	1.2033	12097	1425	11908	1.02	++	216	382	44.2 (38.7,49.9)	26.5 (21.8,31.7)	54.2 (32.8,74.4)	34.2 (19.6,51.4)	49.3	49.9	4.24	0.721	0.976	0.738
Cap.E.6723	1608001	1590552	1095202	27	0.002889	2.63	f	721	Rodentia	Echimyidae	Proechimys_semispinosus_calidior	best	180	0.2496	121	1.4876	680	121	680	0.08	++	17	37	36.7 (19.9,56.1)	26.1 (10.2,48.4)	N/A (N/A,N/A)	0.0 (0.0,70.8)	47.1	43.8	0.34	0.041	0.261	0.156
Cap.E.6723	1608001	1590552	1095202	28	0.00594	1.39	f	2076	Primates	Cercopithecidae	Macaca_leonina	best	620	0.2986	421	1.4726	1331	418	1318	0.29	++	61	119	38.3 (29.1,48.2)	25.3 (16.9,35.2)	36.4 (10.9,69.2)	28.6 (8.4,58.1)	49.5	48.6	1.22	0.078	0.66	0.118
Cap.E.6723	1608001	1590552	1095202	28	0.006898	6.79	f	114	Artiodactyla	Phocoenidae	Phocoena_sinus	best	34	0.2982	27	1.2592	308	26	266	0.01	-	3	7	33.3 (0.8,90.6)	28.6 (3.7,71.0)	N/A (N/A,N/A)	N/A (N/A,N/A)	42.6	39.7	0.07	0.018	0.06	0.313
Cap.E.6723	1608001	1590552	1095202	29	0.00553	2.72	f	391	Carnivora	Otariidae	Arctocephalus_pusillus	best	140	0.3580	105	1.3333	1083	104	1068	0.07	++	16	32	47.6 (25.7,70.2)	30.4 (13.2,52.9)	50.0 (1.3,98.7)	100.0 (2.5,100.0)	48.1	49.0	0.3	0.065	0.234	0.276
Cap.E.6723	1608001	1590552	1095202	29	0.005893	2.55	f	355	Primates	Tarsiidae	Tarsius_wallacei	best	99	0.2788	67	1.4776	884	67	884	0.04	-	0	6	0.0 (0.0,52.2)	0.0 (0.0,20.6)	N/A (N/A,N/A)	N/A (N/A,N/A)	49.2	51.0	0.19	0.052	0.157	0.33
Cap.E.6723	1608001	1590552	1095202	32	0.003712	3.16	f	54	Pilosa	Megalonychidae	Choloepus_didactylus	best	8	0.1481	7	1.1428	235	7	235	0.00	-	0	2	N/A (N/A,N/A)	0.0 (0.0,97.5)	N/A (N/A,N/A)	N/A (N/A,N/A)	46.1	41.5	0.01	0.014	0.017	0.831
Cap.E.6723	1608001	1590552	1095202	33	0.004139	13.6	f	2560	Rodentia	Cricetidae	Microtus_thomasi	best	1210	0.4726	719	1.6828	1949	719	1949	0.51	++	91	165	36.6 (29.0,44.8)	22.3 (16.2,29.4)	33.3 (4.3,77.7)	18.2 (2.3,51.8)	48.2	47.5	2.12	0.119	0.846	0.141
Cap.E.6723	1608001	1590552	1095202	33	0.004247	3.12	f	677	Primates	Cheirogaleidae	Microcebus_griseorufus	best	203	0.2998	145	1.4000	932	107	900	0.07	++	24	43	27.3 (10.7,50.2)	61.3 (42.2,78.2)	50.0 (1.3,98.7)	50.0 (1.3,98.7)	47.6	45.8	0.4	0.055	0.303	0.183
Cap.E.6723	1608001	1590552	1095202	34	0.01127	2.65	f	666	Primates	Lepilemuridae	Lepilemur_edwardsi	best	295	0.4429	200	1.4750	988	198	981	0.14	++	40	59	58.3 (43.2,72.4)	28.0 (16.2,42.5)	50.0 (6.8,93.2)	22.2 (2.8,60.0)	47.2	45.4	0.55	0.058	0.388	0.15
Cap.E.6723	1608001	1590552	1095202	35	0.007785	7.8	f	194	Artiodactyla	Balaenopteridae	Balaenoptera_musculus	best	64	0.3298	49	1.3061	605	49	605	0.03	+	10	15	64.3 (35.1,87.2)	6.7 (0.2,31.9)	N/A (N/A,N/A)	0.0 (0.0,84.2)	47.1	47.8	0.14	0.036	0.116	0.315
Cap.E.6723	1608001	1590552	1095202	36	0.004363	18.8	f	714	Artiodactyla	Camelidae	Camelus_dromedarius	best	288	0.4033	216	1.3333	823	211	770	0.15	+	24	55	33.3 (20.4,48.4)	14.0 (6.3,25.8)	0.0 (0.0,84.2)	0.0 (0.0,52.2)	45.8	44.9	0.59	0.049	0.407	0.121
