RG	ReadsRaw	ReadsFiltered	ReadsLengthfiltered	SpeciesKmers	KmerCoverage	KmerDupRate	ExtractLVL	ReadsExtracted	Order	Family	Species	Reference	ReadsMapped	ProportionMapped	ReadsDeduped	DuplicationRate	CoveredBP	ReadsBedfiltered	PostBedCoveredBP	FamPercentage	Ancientness	ReadsDeam(1term)	ReadsDeam(3term)	Deam5(95ci)	Deam3(95ci)	Deam5Cond(95ci)	Deam3Cond(95ci)	MeanFragmentLength	MeanFragmentLength(3term)	Coverage	Breadth	ExpectedBreadth	ProportionExpectedBreadth
Cap.E.6951	2540449	2491564	1486292	11	0.001655	14.7	f	970	Primates	Cercopithecidae	Macaca_tonkeana	best	266	0.2742	5	53.2000	122	5	122	0.58	-	0	0	0.0 (0.0,84.2)	0.0 (0.0,70.8)	N/A (N/A,N/A)	N/A (N/A,N/A)	53.6	N/A	0.01	0.007	0.014	0.519
Cap.E.6951	2540449	2491564	1486292	35	0.007227	475.0	f	4646	Carnivora	Phocidae	Hydrurga_leptonyx	best	297	0.0639	31	9.5806	156	0	0	0.00	-	0	0	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A	N/A	0.08	0.009	0.073	0.127
Cap.E.6951	2540449	2491564	1486292	44	0.004053	229.0	f	33936	Dasyuromorphia	Dasyuridae	Antechinus_flavipes	best	2283	0.0672	747	3.0562	179	0	0	0.00	-	0	0	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A	N/A	2.12	0.01	0.847	0.012
Cap.E.6951	2540449	2491564	1486292	62	0.01013	290.0	f	5167	Primates	Lemuridae	Eulemur_rubriventer	best	265	0.0512	45	5.8888	173	0	0	0.00	-	0	0	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A	N/A	0.11	0.009	0.093	0.105
Cap.E.6951	2540449	2491564	1486292	67	0.01028	1440.0	f	91181	Carnivora	Mustelidae	Mustela_kathiah	best	2057	0.0225	377	5.4562	106	0	0	0.00	-	0	0	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A	N/A	0.95	0.006	0.569	0.011
Cap.E.6951	2540449	2491564	1486292	70	0.03827	113.0	f	36628	Primates	Hominidae	Homo_sapiens	fixed	36347	0.9923	849	42.8115	14448	-	-	99.41	-	3	14	0.4 (0.0,2.3)	0.8 (0.1,2.9)	0.0 (0.0,97.5)	0.0 (0.0,97.5)	55.9	64.8	2.86	0.871	0.92	0.947
Cap.E.6951	2540449	2491564	1486292	79	0.007881	188.0	f	3951	Rodentia	Anomaluridae	Anomalurus_derbianus	best	304	0.0769	21	14.4761	171	0	0	0.00	-	0	0	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A	N/A	0.05	0.01	0.048	0.21
Cap.E.6951	2540449	2491564	1486292	96	0.008624	2140.0	f	20303	Macroscelidea	Macroscelididae	Elephantulus_edwardii	best	2465	0.1214	349	7.0630	231	0	0	0.00	-	0	0	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A	N/A	0.92	0.013	0.558	0.024
Cap.E.6952	347974	324328	121226	127	0.01537	1.7	f	39	Carnivora	Hyaenidae	Crocuta_crocuta	best	28	0.7179	15	1.8666	637	14	590	3.76	-	2	2	50.0 (6.8,93.2)	0.0 (0.0,84.2)	N/A (N/A,N/A)	N/A (N/A,N/A)	51.6	62.0	0.04	0.037	0.038	0.956
Cap.E.6952	347974	324328	121226	13	0.001956	1.69	f	2985	Primates	Cercopithecidae	Macaca_tonkeana	best	2685	0.8994	11	244.0909	337	11	337	2.95	-	2	2	28.6 (3.7,71.0)	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)	49.5	55.5	0.03	0.02	0.028	0.711
Cap.E.6952	347974	324328	121226	48	0.02624	1.35	f	93601	Primates	Hominidae	Homo_sapiens	fixed	82167	0.8778	347	236.7925	7459	-	-	93.27	-	2	5	1.4 (0.0,7.4)	1.3 (0.0,7.2)	N/A (N/A,N/A)	0.0 (0.0,97.5)	62.7	75.0	1.31	0.45	0.686	0.656
Cap.E.7136	2600505	2553625	1328878	1	0.001451	1.0	f	2986	Carnivora	Felidae	Panthera_leo_persica	best	2386	0.7990	68	35.0882	1221	63	1141	6.57	+	11	18	56.2 (29.9,80.2)	40.0 (5.3,85.3)	N/A (N/A,N/A)	N/A (N/A,N/A)	51.1	58.6	0.2	0.072	0.164	0.441
Cap.E.7136	2600505	2553625	1328878	111	0.01579	172.0	f	4310	Perissodactyla	Rhinocerotidae	Coelodonta_antiquitatis	best	3555	0.8248	52	68.3653	878	52	878	5.42	++	11	21	37.5 (15.2,64.6)	27.8 (9.7,53.5)	0.0 (0.0,97.5)	0.0 (0.0,97.5)	46.3	50.4	0.14	0.053	0.121	0.44
