RG	ReadsRaw	ReadsFiltered	ReadsLengthfiltered	SpeciesKmers	KmerCoverage	KmerDupRate	ExtractLVL	ReadsExtracted	Order	Family	Species	Reference	ReadsMapped	ProportionMapped	ReadsDeduped	DuplicationRate	CoveredBP	ReadsBedfiltered	PostBedCoveredBP	FamPercentage	Ancientness	ReadsDeam(1term)	ReadsDeam(3term)	Deam5(95ci)	Deam3(95ci)	Deam5Cond(95ci)	Deam3Cond(95ci)	MeanFragmentLength	MeanFragmentLength(3term)	Coverage	Breadth	ExpectedBreadth	ProportionExpectedBreadth
Cap.E.7222	2300146	2257975	1201774	1	0.001008	30.0	f	1731	Artiodactyla	Cervidae	Cervus_nippon_hortulorum	best	1125	0.6499	63	17.8571	2094	62	2018	1.25	+	11	16	55.0 (31.5,76.9)	12.5 (0.3,52.7)	100.0 (2.5,100.0)	100.0 (2.5,100.0)	43.6	42.4	0.16	0.127	0.138	0.918
Cap.E.7222	2300146	2257975	1201774	10	0.01825	1.7	f	9709	Artiodactyla	Bovidae	Bos_grunniens_x_Bos_taurus	best	5617	0.5785	280	20.0607	7273	270	6895	5.47	++	60	105	55.7 (42.4,68.5)	47.5 (34.6,60.7)	75.0 (19.4,99.4)	60.0 (14.7,94.7)	44.4	44.1	0.76	0.445	0.491	0.907
Cap.E.7222	2300146	2257975	1201774	100	0.008983	160.0	f	1488	Macroscelidea	Macroscelididae	Elephantulus_edwardii	best	73	0.0490	17	4.2941	219	1	38	0.02	-	0	0	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)	38.0	N/A	0.04	0.013	0.038	0.344
Cap.E.7222	2300146	2257975	1201774	11	0.001655	18.9	f	2611	Primates	Cercopithecidae	Macaca_tonkeana	best	640	0.2451	28	22.8571	368	28	368	0.56	+	4	12	50.0 (11.8,88.2)	25.0 (0.6,80.6)	N/A (N/A,N/A)	N/A (N/A,N/A)	43.2	42.8	0.07	0.022	0.062	0.357
Cap.E.7222	2300146	2257975	1201774	18	0.003259	7.72	f	685	Chiroptera	Pteropodidae	Rousettus_aegyptiacus	best	12	0.0175	9	1.3333	376	9	376	0.18	-	0	0	N/A (N/A,N/A)	0.0 (0.0,97.5)	N/A (N/A,N/A)	N/A (N/A,N/A)	47.6	N/A	0.02	0.022	0.022	1.006
Cap.E.7222	2300146	2257975	1201774	19	0.002495	10.2	f	2861	Rodentia	Muridae	Rattus_norvegicus	best	790	0.2761	23	34.3478	329	23	329	0.46	-	1	8	0.0 (0.0,84.2)	50.0 (1.3,98.7)	N/A (N/A,N/A)	N/A (N/A,N/A)	42.0	42.1	0.05	0.02	0.05	0.397
Cap.E.7222	2300146	2257975	1201774	1918	0.2728	14.6	f	6520	Perissodactyla	Rhinocerotidae	Coelodonta_antiquitatis	best	6209	0.9523	435	14.2735	8893	424	8675	8.59	++	119	173	62.5 (53.2,71.2)	47.5 (38.2,56.9)	75.0 (47.6,92.7)	54.5 (32.2,75.6)	43.3	43.3	1.15	0.541	0.638	0.847
Cap.E.7222	2300146	2257975	1201774	20	0.002286	2.4	f	2808	Rodentia	Sciuridae	Dremomys_pernyi	best	1616	0.5754	35	46.1714	371	34	331	0.68	++	16	28	44.4 (13.7,78.8)	87.5 (61.7,98.4)	50.0 (6.8,93.2)	66.7 (9.4,99.2)	42.0	41.6	0.08	0.022	0.075	0.297
Cap.E.7222	2300146	2257975	1201774	23	0.03338	8.22	f	9023	Carnivora	Felidae	Panthera_leo_persica	best	8200	0.9087	524	15.6488	8865	512	8686	10.37	++	127	189	59.3 (50.5,67.6)	49.2 (39.9,58.4)	54.5 (32.2,75.6)	66.7 (41.0,86.7)	44.4	45.0	1.38	0.527	0.706	0.746
Cap.E.7222	2300146	2257975	1201774	24	0.01312	16.5	f	6729	Primates	Hominidae	Homo_sapiens	fixed	6173	0.9173	256	24.1132	7881	-	-	5.18	-	13	22	7.9 (2.6,17.6)	13.4 (6.3,24.0)	100.0 (2.5,100.0)	50.0 (1.3,98.7)	56.9	59.3	0.87	0.475	0.539	0.881
Cap.E.7222	2300146	2257975	1201774	25	0.004464	4.64	f	4027	Carnivora	Phocidae	Phoca_groenlandica	best	483	0.1199	18	26.8333	389	18	389	0.36	+	9	13	50.0 (1.3,98.7)	100.0 (63.1,100.0)	N/A (N/A,N/A)	N/A (N/A,N/A)	42.4	43.2	0.04	0.023	0.039	0.588
Cap.E.7222	2300146	2257975	1201774	25	0.007847	4.64	f	1422	Perissodactyla	Equidae	Equus_ovodovi	best	760	0.5344	74	10.2702	2491	71	2405	1.43	++	21	28	86.7 (59.5,98.3)	55.0 (31.5,76.9)	75.0 (19.4,99.4)	75.0 (19.4,99.4)	41.7	42.7	0.18	0.151	0.152	0.994
Cap.E.7222	2300146	2257975	1201774	26	0.003737	18600.0	f	33312	Eulipotyphla	Soricidae	Sorex_gracillimus	best	1191	0.0357	62	19.2096	271	8	222	0.16	-	0	1	0.0 (0.0,97.5)	0.0 (0.0,97.5)	N/A (N/A,N/A)	N/A (N/A,N/A)	40.2	35.0	0.13	0.015	0.114	0.139
Cap.E.7222	2300146	2257975	1201774	278	0.04882	37.5	f	8584	Carnivora	Ursidae	Ursus_spelaeus	best	6622	0.7714	296	22.3716	7334	289	7214	5.85	++	60	108	56.9 (43.2,69.8)	50.8 (37.9,63.6)	62.5 (24.5,91.5)	62.5 (24.5,91.5)	43.7	43.2	0.77	0.437	0.494	0.884
Cap.E.7222	2300146	2257975	1201774	29	0.00274	605.0	f	8034	Dasyuromorphia	Dasyuridae	Antechinus_arktos	best	227	0.0282	142	1.5985	294	2	78	0.04	-	1	1	100.0 (2.5,100.0)	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)	39.5	37.0	0.47	0.016	0.343	0.049
Cap.E.7222	2300146	2257975	1201774	323	0.113	25.1	f	37392	Carnivora	Canidae	Canis_lupus_chanco	best	34233	0.9155	2323	14.7365	15113	2265	14904	45.90	++	593	899	64.7 (60.6,68.6)	50.1 (45.7,54.5)	57.8 (44.8,70.1)	43.5 (32.8,54.7)	42.9	43.2	5.94	0.9	0.994	0.905
Cap.E.7222	2300146	2257975	1201774	33	0.004608	361.0	f	5398	Chiroptera	Phyllostomidae	Artibeus_jamaicensis	best	176	0.0326	32	5.5000	434	32	434	0.64	-	3	4	20.0 (0.5,71.6)	33.3 (4.3,77.7)	N/A (N/A,N/A)	N/A (N/A,N/A)	38.2	39.5	0.07	0.026	0.062	0.415
Cap.E.7222	2300146	2257975	1201774	36	0.00522	413.0	f	12490	Carnivora	Viverridae	Paguma_larvata	best	1358	0.1087	141	9.6312	517	13	328	0.26	-	2	2	50.0 (1.3,98.7)	33.3 (0.8,90.6)	0.0 (0.0,97.5)	N/A (N/A,N/A)	44.0	35.0	0.45	0.03	0.328	0.094
Cap.E.7222	2300146	2257975	1201774	37	0.006047	582.0	f	7553	Primates	Lemuridae	Eulemur_rubriventer	best	1346	0.1782	105	12.8190	350	7	182	0.14	-	1	1	33.3 (0.8,90.6)	0.0 (0.0,97.5)	N/A (N/A,N/A)	N/A (N/A,N/A)	43.1	54.0	0.26	0.019	0.21	0.094
Cap.E.7222	2300146	2257975	1201774	39	0.004495	99.2	f	2352	Rodentia	Cricetidae	Ondatra_zibethicus	best	1195	0.5080	39	30.6410	467	39	467	0.79	++	11	15	100.0 (59.0,100.0)	62.5 (24.5,91.5)	100.0 (2.5,100.0)	100.0 (2.5,100.0)	45.6	45.0	0.1	0.028	0.091	0.312
Cap.E.7222	2300146	2257975	1201774	4	0.0007034	43.8	f	4603	Chiroptera	Vespertilionidae	Myotis_riparius	best	447	0.0971	18	24.8333	399	18	399	0.36	+	6	10	83.3 (35.9,99.6)	33.3 (0.8,90.6)	N/A (N/A,N/A)	0.0 (0.0,97.5)	42.0	41.3	0.04	0.023	0.038	0.609
Cap.E.7222	2300146	2257975	1201774	45	0.03944	2.62	f	1464	Proboscidea	Elephantidae	Mammuthus_columbi	best	1129	0.7711	147	7.6802	4607	147	4607	2.97	++	41	58	68.6 (50.7,83.1)	51.4 (34.4,68.1)	66.7 (9.4,99.2)	66.7 (9.4,99.2)	43.3	43.3	0.38	0.279	0.289	0.968
Cap.E.7222	2300146	2257975	1201774	70	0.006983	46.7	f	2130	Rodentia	Anomaluridae	Anomalurus_derbianus	best	42	0.0197	15	2.8000	237	3	90	0.06	-	1	1	100.0 (2.5,100.0)	0.0 (0.0,84.2)	N/A (N/A,N/A)	0.0 (0.0,97.5)	41.0	44.0	0.03	0.014	0.033	0.415
Cap.E.7222	2300146	2257975	1201774	908	0.1099	21.4	f	4861	Carnivora	Hyaenidae	Crocuta_crocuta	best	4383	0.9016	240	18.2625	4976	233	4774	4.72	++	66	90	66.2 (53.7,77.2)	32.4 (21.8,44.5)	66.7 (9.4,99.2)	15.4 (1.9,45.4)	48.8	47.9	0.68	0.29	0.453	0.64
Cap.E.7222	2300146	2257975	1201774	927	0.1245	9.77	f	15149	Carnivora	Mustelidae	Gulo_gulo	best	2209	0.1458	182	12.1373	5231	170	5046	3.44	++	43	63	59.1 (43.2,73.7)	50.0 (32.9,67.1)	33.3 (0.8,90.6)	33.3 (0.8,90.6)	44.0	43.4	0.48	0.316	0.348	0.907
Cap.E.7223	2386456	2342747	1219583	10	0.008569	1.4	f	10532	Artiodactyla	Bovidae	Ovis_ammon_ammon	best	7165	0.6803	361	19.8476	8780	351	8543	5.26	++	70	106	49.5 (38.9,60.0)	48.5 (36.0,61.1)	61.5 (31.6,86.1)	61.5 (31.6,86.1)	49.6	49.0	1.07	0.528	0.614	0.86
Cap.E.7223	2386456	2342747	1219583	12	0.001388	9.92	f	2504	Chiroptera	Vespertilionidae	Myotis_formosus	best	628	0.2507	17	36.9411	355	17	355	0.25	++	7	12	66.7 (22.3,95.7)	87.5 (47.3,99.7)	100.0 (39.8,100.0)	100.0 (39.8,100.0)	41.1	39.9	0.04	0.02	0.035	0.585
Cap.E.7223	2386456	2342747	1219583	124	0.01501	33.1	f	896	Carnivora	Hyaenidae	Crocuta_crocuta	best	743	0.8292	28	26.5357	862	26	782	0.38	+	6	12	57.1 (18.4,90.1)	33.3 (4.3,77.7)	N/A (N/A,N/A)	0.0 (0.0,97.5)	49.5	55.8	0.07	0.05	0.068	0.739
Cap.E.7223	2386456	2342747	1219583	1286	0.1829	13.4	f	3207	Perissodactyla	Rhinocerotidae	Coelodonta_antiquitatis	best	2930	0.9136	213	13.7558	5861	210	5773	3.14	++	53	77	73.3 (58.1,85.4)	48.1 (34.0,62.4)	83.3 (35.9,99.6)	71.4 (29.0,96.3)	45.2	48.4	0.58	0.356	0.403	0.882
Cap.E.7223	2386456	2342747	1219583	14	0.001738	1.43	f	420	Chiroptera	Pteropodidae	Pteropus_scapulatus	best	62	0.1476	10	6.2000	191	10	191	0.14	-	3	6	50.0 (1.3,98.7)	50.0 (6.8,93.2)	0.0 (0.0,97.5)	N/A (N/A,N/A)	43.7	40.3	0.02	0.011	0.022	0.5
Cap.E.7223	2386456	2342747	1219583	15	0.001882	3.87	f	2916	Rodentia	Cricetidae	Microtus_thomasi	best	1117	0.3830	32	34.9062	611	31	600	0.46	+	5	8	75.0 (19.4,99.4)	33.3 (4.3,77.7)	N/A (N/A,N/A)	0.0 (0.0,97.5)	44.3	41.4	0.08	0.037	0.074	0.506
Cap.E.7223	2386456	2342747	1219583	16	0.002334	24.6	f	396	Eulipotyphla	Talpidae	Uropsilus_soricipes	best	265	0.6691	7	37.8571	187	7	187	0.10	-	1	2	100.0 (2.5,100.0)	0.0 (0.0,97.5)	N/A (N/A,N/A)	N/A (N/A,N/A)	41.9	41.0	0.01	0.011	0.015	0.728
Cap.E.7223	2386456	2342747	1219583	17	0.002558	13.1	f	2980	Primates	Cercopithecidae	Macaca_tonkeana	best	498	0.1671	17	29.2941	367	17	367	0.25	++	8	8	60.0 (14.7,94.7)	71.4 (29.0,96.3)	N/A (N/A,N/A)	N/A (N/A,N/A)	41.6	42.2	0.04	0.022	0.036	0.599
Cap.E.7223	2386456	2342747	1219583	17	0.009033	35.8	f	368	Rodentia	Echimyidae	Proechimys_poliopus	best	9	0.0244	2	4.5000	71	1	38	0.01	-	0	0	0.0 (0.0,97.5)	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)	38.0	N/A	0.0	0.004	0.003	1.134
Cap.E.7223	2386456	2342747	1219583	22	0.01887	3.23	f	802	Proboscidea	Elephantidae	Mammuthus_primigenius	best	189	0.2356	33	5.7272	1175	32	1132	0.47	++	7	14	55.6 (21.2,86.3)	57.1 (18.4,90.1)	100.0 (15.8,100.0)	100.0 (15.8,100.0)	41.2	41.1	0.08	0.07	0.069	1.011
Cap.E.7223	2386456	2342747	1219583	23	0.003212	586.0	f	4635	Chiroptera	Phyllostomidae	Artibeus_jamaicensis	best	58	0.0125	15	3.8666	227	13	190	0.19	-	0	1	0.0 (0.0,70.8)	0.0 (0.0,70.8)	N/A (N/A,N/A)	N/A (N/A,N/A)	37.8	35.0	0.03	0.013	0.029	0.462
Cap.E.7223	2386456	2342747	1219583	28	0.007968	83.4	f	1074	Chiroptera	Rhinolophidae	Rhinolophus_macrotis	best	398	0.3705	17	23.4117	164	17	164	0.25	-	1	3	50.0 (1.3,98.7)	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)	41.4	37.3	0.04	0.009	0.036	0.27
Cap.E.7223	2386456	2342747	1219583	3	0.001621	45.0	f	2519	Artiodactyla	Cervidae	Cervus_nippon_yakushimae	best	1532	0.6081	50	30.6400	1338	50	1338	0.74	+	14	19	70.6 (44.0,89.7)	23.1 (5.0,53.8)	100.0 (2.5,100.0)	33.3 (0.8,90.6)	47.1	47.8	0.14	0.081	0.118	0.684
Cap.E.7223	2386456	2342747	1219583	30	0.003487	4.07	f	1352	Rodentia	Sciuridae	Dremomys_rufigenis	best	371	0.2744	18	20.6111	460	17	424	0.25	-	3	6	66.7 (9.4,99.2)	50.0 (1.3,98.7)	N/A (N/A,N/A)	N/A (N/A,N/A)	42.2	42.5	0.04	0.027	0.039	0.707
Cap.E.7223	2386456	2342747	1219583	31	0.002856	104.0	f	16242	Dasyuromorphia	Dasyuridae	Antechinus_flavipes	best	1470	0.0905	478	3.0753	256	6	86	0.08	-	1	4	100.0 (2.5,100.0)	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)	38.7	38.0	1.39	0.014	0.708	0.02
Cap.E.7223	2386456	2342747	1219583	31	0.004456	10500.0	f	22898	Eulipotyphla	Soricidae	Sorex_gracillimus	best	1223	0.0534	47	26.0212	175	5	130	0.07	-	1	1	0.0 (0.0,97.5)	100.0 (2.5,100.0)	N/A (N/A,N/A)	N/A (N/A,N/A)	43.6	44.0	0.1	0.01	0.088	0.116
Cap.E.7223	2386456	2342747	1219583	33	0.004785	667.0	f	13380	Carnivora	Viverridae	Paguma_larvata	best	1542	0.1152	170	9.0705	823	20	610	0.29	-	3	6	66.7 (9.4,99.2)	66.7 (9.4,99.2)	100.0 (2.5,100.0)	100.0 (2.5,100.0)	45.8	43.5	0.5	0.049	0.36	0.136
Cap.E.7223	2386456	2342747	1219583	340	0.1189	29.8	f	37396	Carnivora	Canidae	Canis_lupus_chanco	best	34059	0.9107	1960	17.3770	14222	1910	13976	28.63	++	489	762	67.0 (62.4,71.4)	55.9 (51.0,60.8)	73.6 (59.7,84.7)	55.7 (43.3,67.6)	42.7	43.0	5.0	0.847	0.987	0.858
Cap.E.7223	2386456	2342747	1219583	37	0.00764	66.7	f	3594	Carnivora	Phocidae	Hydrurga_leptonyx	best	225	0.0626	17	13.2352	349	8	197	0.11	-	1	3	0.0 (0.0,97.5)	33.3 (0.8,90.6)	N/A (N/A,N/A)	N/A (N/A,N/A)	37.9	39.0	0.03	0.021	0.033	0.631
Cap.E.7223	2386456	2342747	1219583	407	0.1198	20.9	f	8241	Carnivora	Ursidae	Ursus_arctos	best	7083	0.8594	333	21.2702	8412	317	8153	4.75	++	94	142	64.4 (53.7,74.3)	52.6 (40.8,64.2)	33.3 (9.9,65.1)	33.3 (9.9,65.1)	44.2	43.4	0.86	0.494	0.535	0.923
Cap.E.7223	2386456	2342747	1219583	42	0.02296	13.0	f	8332	Primates	Hominidae	Homo_sapiens	fixed	7474	0.8970	278	26.8848	8478	-	-	4.16	-	10	13	11.3 (4.7,21.9)	4.5 (0.9,12.7)	N/A (N/A,N/A)	0.0 (0.0,97.5)	56.3	65.7	0.94	0.511	0.565	0.904
Cap.E.7223	2386456	2342747	1219583	49	0.006314	124.0	f	1875	Carnivora	Herpestidae	Suricata_suricatta	best	10	0.0053	2	5.0000	94	2	94	0.02	-	0	1	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)	47.0	50.0	0.0	0.005	0.004	1.135
Cap.E.7223	2386456	2342747	1219583	53	0.008662	445.0	f	7423	Primates	Lemuridae	Eulemur_rubriventer	best	843	0.1135	81	10.4074	246	3	113	0.04	-	1	2	N/A (N/A,N/A)	100.0 (2.5,100.0)	N/A (N/A,N/A)	N/A (N/A,N/A)	37.7	38.5	0.2	0.014	0.164	0.085
Cap.E.7223	2386456	2342747	1219583	61	0.006085	38.3	f	1780	Rodentia	Anomaluridae	Anomalurus_derbianus	best	58	0.0325	10	5.8000	140	0	0	0.00	-	0	0	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A	N/A	0.02	0.008	0.021	0.39
Cap.E.7223	2386456	2342747	1219583	65	0.009971	556.0	f	21360	Carnivora	Mustelidae	Mustela_kathiah	best	685	0.0320	83	8.2530	513	13	397	0.19	-	1	2	0.0 (0.0,97.5)	50.0 (1.3,98.7)	0.0 (0.0,97.5)	N/A (N/A,N/A)	51.0	70.5	0.21	0.03	0.172	0.179
Cap.E.7223	2386456	2342747	1219583	664	0.1353	144.0	f	53729	Carnivora	Felidae	Panthera_onca	best	41505	0.7724	3342	12.4192	11527	3271	11186	49.03	++	812	1331	59.0 (55.6,62.3)	54.4 (50.5,58.2)	54.3 (43.7,64.6)	49.0 (39.1,59.0)	51.0	51.7	10.01	0.676	0.999	0.676
Cap.E.7223	2386456	2342747	1219583	84	0.007546	339.0	f	1884	Macroscelidea	Macroscelididae	Elephantulus_edwardii	best	233	0.1236	29	8.0344	209	0	0	0.00	-	0	0	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A	N/A	0.07	0.012	0.062	0.202
Cap.E.7223	2386456	2342747	1219583	9	0.001135	11.0	f	2364	Rodentia	Muridae	Mus_pahari	best	1404	0.5939	21	66.8571	424	21	424	0.31	-	6	14	100.0 (54.1,100.0)	0.0 (0.0,84.2)	N/A (N/A,N/A)	0.0 (0.0,97.5)	40.8	40.2	0.05	0.026	0.045	0.574
Cap.E.7223	2386456	2342747	1219583	96	0.01473	38.7	f	731	Artiodactyla	Suidae	Sus_scrofa_domesticus	best	579	0.7920	19	30.4736	829	18	708	0.26	+	5	5	40.0 (5.3,85.3)	83.3 (35.9,99.6)	66.7 (9.4,99.2)	100.0 (15.8,100.0)	58.9	40.8	0.07	0.049	0.06	0.819
Cap.E.7224	2365299	2324190	1211232	11	0.006014	10.3	f	6429	Primates	Hominidae	Homo_sapiens	fixed	5400	0.8399	242	22.3140	7482	-	-	4.23	-	5	7	3.8 (0.5,13.2)	4.6 (1.0,12.9)	N/A (N/A,N/A)	N/A (N/A,N/A)	59.4	68.7	0.86	0.451	0.535	0.843
