RG	ReadsRaw	ReadsFiltered	ReadsLengthfiltered	SpeciesKmers	KmerCoverage	KmerDupRate	ExtractLVL	ReadsExtracted	Order	Family	Species	Reference	ReadsMapped	ProportionMapped	ReadsDeduped	DuplicationRate	CoveredBP	ReadsBedfiltered	PostBedCoveredBP	FamPercentage	Ancientness	ReadsDeam(1term)	ReadsDeam(3term)	Deam5(95ci)	Deam3(95ci)	Deam5Cond(95ci)	Deam3Cond(95ci)	MeanFragmentLength	MeanFragmentLength(3term)	Coverage	Breadth	ExpectedBreadth	ProportionExpectedBreadth
Cap.E.7402	1989434	1957450	984456	115	0.04022	13.4	f	12345	Carnivora	Canidae	Canis_lupus_chanco	best	11457	0.9280	336	34.0982	8559	326	8211	39.56	++	85	121	57.8 (46.9,68.1)	51.3 (39.7,62.8)	50.0 (23.0,77.0)	43.8 (19.8,70.1)	45.5	46.2	0.91	0.51	0.554	0.919
Cap.E.7402	1989434	1957450	984456	13	0.001956	6.46	f	871	Primates	Cercopithecidae	Macaca_tonkeana	best	64	0.0734	9	7.1111	185	9	185	1.09	-	1	1	0.0 (0.0,84.2)	50.0 (1.3,98.7)	N/A (N/A,N/A)	N/A (N/A,N/A)	40.0	41.0	0.02	0.011	0.018	0.589
Cap.E.7402	1989434	1957450	984456	24	0.01616	8.67	f	1383	Carnivora	Felidae	Panthera_tigris_amoyensis	best	1130	0.8170	35	32.2857	1269	34	1215	4.12	+	8	12	40.0 (5.3,85.3)	75.0 (34.9,96.8)	0.0 (0.0,97.5)	N/A (N/A,N/A)	45.8	46.2	0.09	0.074	0.08	0.929
Cap.E.7402	1989434	1957450	984456	25	0.009586	14.9	f	3088	Primates	Hominidae	Homo_sapiens	fixed	2629	0.8513	40	65.7250	1859	-	-	4.85	-	1	2	0.0 (0.0,52.2)	11.1 (0.3,48.2)	N/A (N/A,N/A)	N/A (N/A,N/A)	64.4	66.0	0.15	0.112	0.128	0.874
Cap.E.7402	1989434	1957450	984456	30	0.002763	92.5	f	23717	Dasyuromorphia	Dasyuridae	Antechinus_flavipes	best	2730	0.1151	504	5.4166	181	0	0	0.00	-	0	0	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A	N/A	1.49	0.01	0.732	0.014
Cap.E.7402	1989434	1957450	984456	366	0.05206	21.1	f	1320	Perissodactyla	Rhinocerotidae	Coelodonta_antiquitatis	best	1250	0.9469	51	24.5098	1712	50	1656	6.06	++	13	19	66.7 (34.9,90.1)	85.7 (42.1,99.6)	100.0 (2.5,100.0)	100.0 (2.5,100.0)	42.8	42.0	0.13	0.104	0.111	0.936
Cap.E.7402	1989434	1957450	984456	38	0.003753	14.7	f	7304	Chiroptera	Phyllostomidae	Macrotus_californicus	best	5	0.0006	4	1.2500	163	2	85	0.24	-	1	1	100.0 (2.5,100.0)	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)	51.0	48.0	0.01	0.009	0.011	0.855
Cap.E.7402	1989434	1957450	984456	41	0.002666	99.0	f	729	Artiodactyla	Bovidae	Bos_gaurus	best	267	0.3662	9	29.6666	337	9	337	1.09	-	1	1	100.0 (2.5,100.0)	0.0 (0.0,97.5)	N/A (N/A,N/A)	N/A (N/A,N/A)	44.8	44.0	0.02	0.02	0.021	0.957
Cap.E.7402	1989434	1957450	984456	62	0.02319	149.0	f	15831	Carnivora	Mustelidae	Martes_zibellina	best	616	0.0389	88	7.0000	735	16	541	1.94	+	6	8	83.3 (35.9,99.6)	40.0 (5.3,85.3)	100.0 (2.5,100.0)	25.0 (0.6,80.6)	42.3	42.0	0.22	0.044	0.18	0.246
Cap.E.7402	1989434	1957450	984456	731	0.1284	45.1	f	15396	Carnivora	Ursidae	Ursus_spelaeus	best	13626	0.8850	350	38.9314	8512	338	8240	41.01	++	90	130	69.0 (58.0,78.7)	51.4 (39.2,63.6)	40.0 (12.2,73.8)	44.4 (13.7,78.8)	46.7	48.2	0.97	0.507	0.577	0.878
Cap.E.7403	1961492	1924418	692679	10	0.001398	1.0	f	1404	Rodentia	Cricetidae	Microtus_montebelli	best	1108	0.7891	39	28.4102	922	35	826	1.23	++	9	11	57.1 (18.4,90.1)	50.0 (18.7,81.3)	0.0 (0.0,97.5)	N/A (N/A,N/A)	47.0	49.5	0.11	0.056	0.094	0.598
Cap.E.7403	1961492	1924418	692679	174	0.06086	44.3	f	34078	Carnivora	Canidae	Canis_lupus_chanco	best	31469	0.9234	1236	25.4603	12946	1214	12763	42.91	++	353	500	62.0 (56.6,67.2)	46.7 (41.5,52.0)	55.6 (40.0,70.4)	36.8 (25.4,49.3)	41.7	41.7	3.07	0.771	0.933	0.826
