sample	id	taxid	name	rank	nalign	nreads	mean_rlen	var_rlen	mean_gc	var_gc	lca	taxa_path	A	q	c	phi	llh	ncall	sigmaD	Zfit	A_b	q_b	c_b	phi_b	A_CI_l	A_CI_h	q_CI_l	q_CI_h	c_CI_l	c_CI_h	phi_CI_l	phi_CI_h	fwK0	fwN0	fwf0	fwdx0	fwdxConf0	fwK1	fwN1	fwf1	fwdx1	fwdxConf1	fwK2	fwN2	fwf2	fwdx2	fwdxConf2	fwK3	fwN3	fwf3	fwdx3	fwdxConf3	fwK4	fwN4	fwf4	fwdx4	fwdxConf4	bwK0	bwN0	bwf0	bwdx0	bwdxConf0	bwK1	bwN1	bwf1	bwdx1	bwdxConf1	bwK2	bwN2	bwf2	bwdx2	bwdxConf2	bwK3	bwN3	bwf3	bwdx3	bwdxConf3	bwK4	bwN4	bwf4	bwdx4	bwdxConf4
simadna_1000.fq	simadna_1000.fq	1	"root"	"no rank"	236502	67665	66.546947	432.822837	0.419824	0.004938	1:"root":"no rank"	1:"root":"no rank"	0.001544	0.725244	0.012981	12314.663887	-53.954685	2901.000000	0.000399	3.873205	0.001634	0.696726	0.012858	11902.167223	0.001129	0.002308	0.415693	1.000000	0.012490	0.013262	6210.536605	18304.540656	646	45740	0.014123	0.014524	0.001215	731	47203	0.015486	0.013405	0.001164	574	47017	0.012208	0.013097	0.001151	527	46141	0.011422	0.013013	0.001149	653	46740	0.013971	0.012990	0.001147	652	43984	0.014824	0.014524	0.001220	517	44464	0.011627	0.013405	0.001171	620	44905	0.013807	0.013097	0.001156	636	45767	0.013896	0.013013	0.001150	588	46378	0.012678	0.012990	0.001148
simadna_1000.fq	simadna_1000.fq	2759	"Eukaryota"	"domain"	236502	67665	66.533762	433.719094	0.420985	0.004936	2759:"Eukaryota":"domain"	2759:"Eukaryota":"domain";131567:"cellular organisms":"cellular root";1:"root":"no rank"	0.001544	0.725235	0.012981	12315.572545	-53.954685	7077.000000	0.000399	3.873321	0.001634	0.696828	0.012859	11903.151145	0.001129	0.002304	0.415692	1.000000	0.012490	0.013262	6210.642621	18300.762960	646	45740	0.014123	0.014524	0.001215	731	47203	0.015486	0.013405	0.001164	574	47017	0.012208	0.013097	0.001151	527	46141	0.011422	0.013013	0.001149	653	46740	0.013971	0.012990	0.001147	652	43984	0.014824	0.014524	0.001220	517	44464	0.011627	0.013405	0.001171	620	44905	0.013807	0.013097	0.001156	636	45767	0.013896	0.013013	0.001150	588	46378	0.012678	0.012990	0.001148
simadna_1000.fq	simadna_1000.fq	6072	"Eumetazoa"	"clade"	236502	67665	66.545268	434.606325	0.422502	0.004929	6072:"Eumetazoa":"clade"	6072:"Eumetazoa":"clade";33208:"Metazoa":"kingdom";33154:"Opisthokonta":"clade";2759:"Eukaryota":"domain";131567:"cellular organisms":"cellular root";1:"root":"no rank"	0.001544	0.725193	0.012981	12315.205792	-53.954685	3791.000000	0.000399	3.873179	0.001634	0.696835	0.012858	11900.976514	0.001129	0.002314	0.415668	1.000000	0.012490	0.013262	6210.283475	18318.372935	646	45740	0.014123	0.014524	0.001215	731	47203	0.015486	0.013405	0.001164	574	47017	0.012208	0.013097	0.001151	527	46141	0.011422	0.013013	0.001149	653	46740	0.013971	0.012990	0.001147	652	43984	0.014824	0.014524	0.001220	517	44464	0.011627	0.013405	0.001171	620	44905	0.013807	0.013097	0.001156	636	45767	0.013896	0.013013	0.001150	588	46378	0.012678	0.012990	0.001148
simadna_1000.fq	simadna_1000.fq	7711	"Chordata"	"phylum"	236502	67665	66.602993	434.395334	0.423211	0.004914	7711:"Chordata":"phylum"	7711:"Chordata":"phylum";33511:"Deuterostomia":"clade";33213:"Bilateria":"clade";6072:"Eumetazoa":"clade";33208:"Metazoa":"kingdom";33154:"Opisthokonta":"clade";2759:"Eukaryota":"domain";131567:"cellular organisms":"cellular root";1:"root":"no rank"	0.001544	0.725233	0.012981	12314.321269	-53.954685	1383.000000	0.000399	3.873080	0.001635	0.696622	0.012858	11899.187665	0.001129	0.002314	0.415673	1.000000	0.012490	0.013262	6210.106139	18303.885039	646	45740	0.014123	0.014524	0.001215	731	47203	0.015486	0.013405	0.001164	574	47017	0.012208	0.013097	0.001151	527	46141	0.011422	0.013013	0.001149	653	46740	0.013971	0.012990	0.001147	652	43984	0.014824	0.014524	0.001220	517	44464	0.011627	0.013405	0.001171	620	44905	0.013807	0.013097	0.001156	636	45767	0.013896	0.013013	0.001150	588	46378	0.012678	0.012990	0.001148
simadna_1000.fq	simadna_1000.fq	7742	"Vertebrata"	"clade"	236502	67665	66.669708	433.501019	0.422775	0.004897	7742:"Vertebrata":"clade"	7742:"Vertebrata":"clade";89593:"Craniata":"subphylum";7711:"Chordata":"phylum";33511:"Deuterostomia":"clade";33213:"Bilateria":"clade";6072:"Eumetazoa":"clade";33208:"Metazoa":"kingdom";33154:"Opisthokonta":"clade";2759:"Eukaryota":"domain";131567:"cellular organisms":"cellular root";1:"root":"no rank"	0.001544	0.725249	0.012981	12313.182176	-53.954686	14178.000000	0.000399	3.872965	0.001635	0.696534	0.012858	11903.122142	0.001129	0.002319	0.415692	1.000000	0.012490	0.013262	6210.832619	18298.917536	646	45740	0.014123	0.014524	0.001215	731	47203	0.015486	0.013405	0.001164	574	47017	0.012208	0.013097	0.001151	527	46141	0.011422	0.013013	0.001149	653	46740	0.013971	0.012990	0.001147	652	43984	0.014824	0.014524	0.001220	517	44464	0.011627	0.013405	0.001171	620	44905	0.013807	0.013097	0.001156	636	45767	0.013896	0.013013	0.001150	588	46378	0.012678	0.012990	0.001148
simadna_1000.fq	simadna_1000.fq	7776	"Gnathostomata"	"clade"	236502	67665	66.712469	432.825237	0.422160	0.004885	7776:"Gnathostomata":"clade"	7776:"Gnathostomata":"clade";7742:"Vertebrata":"clade";89593:"Craniata":"subphylum";7711:"Chordata":"phylum";33511:"Deuterostomia":"clade";33213:"Bilateria":"clade";6072:"Eumetazoa":"clade";33208:"Metazoa":"kingdom";33154:"Opisthokonta":"clade";2759:"Eukaryota":"domain";131567:"cellular organisms":"cellular root";1:"root":"no rank"	0.001544	0.725181	0.012981	12314.854328	-53.954685	5693.000000	0.000399	3.873177	0.001635	0.696645	0.012858	11850.770353	0.001129	0.002313	0.415679	1.000000	0.012490	0.013262	6210.356426	18313.035088	646	45740	0.014123	0.014524	0.001215	731	47203	0.015486	0.013405	0.001164	574	47017	0.012208	0.013097	0.001151	527	46141	0.011422	0.013013	0.001149	653	46740	0.013971	0.012990	0.001147	652	43984	0.014824	0.014524	0.001220	517	44464	0.011627	0.013405	0.001171	620	44905	0.013807	0.013097	0.001156	636	45767	0.013896	0.013013	0.001150	588	46378	0.012678	0.012990	0.001148
simadna_1000.fq	simadna_1000.fq	8287	"Sarcopterygii"	"superclass"	236502	67665	66.896687	429.672976	0.418418	0.004836	8287:"Sarcopterygii":"superclass"	8287:"Sarcopterygii":"superclass";117571:"Euteleostomi":"clade";117570:"Teleostomi":"clade";7776:"Gnathostomata":"clade";7742:"Vertebrata":"clade";89593:"Craniata":"subphylum";7711:"Chordata":"phylum";33511:"Deuterostomia":"clade";33213:"Bilateria":"clade";6072:"Eumetazoa":"clade";33208:"Metazoa":"kingdom";33154:"Opisthokonta":"clade";2759:"Eukaryota":"domain";131567:"cellular organisms":"cellular root";1:"root":"no rank"	0.001544	0.725213	0.012981	12315.603563	-53.954685	10265.000000	0.000399	3.873247	0.001635	0.696588	0.012858	11928.595713	0.001129	0.002315	0.415705	1.000000	0.012490	0.013262	6210.661044	18308.085448	646	45740	0.014123	0.014524	0.001215	731	47203	0.015486	0.013405	0.001164	574	47017	0.012208	0.013097	0.001151	527	46141	0.011422	0.013013	0.001149	653	46740	0.013971	0.012990	0.001147	652	43984	0.014824	0.014524	0.001220	517	44464	0.011627	0.013405	0.001171	620	44905	0.013807	0.013097	0.001156	636	45767	0.013896	0.013013	0.001150	588	46378	0.012678	0.012990	0.001148
simadna_1000.fq	simadna_1000.fq	9347	"Eutheria"	"clade"	236502	67665	67.556037	418.532953	0.409952	0.004701	9347:"Eutheria":"clade"	9347:"Eutheria":"clade";32525:"Theria":"clade";40674:"Mammalia":"class";32524:"Amniota":"clade";32523:"Tetrapoda":"clade";1338369:"Dipnotetrapodomorpha":"clade";8287:"Sarcopterygii":"superclass";117571:"Euteleostomi":"clade";117570:"Teleostomi":"clade";7776:"Gnathostomata":"clade";7742:"Vertebrata":"clade";89593:"Craniata":"subphylum";7711:"Chordata":"phylum";33511:"Deuterostomia":"clade";33213:"Bilateria":"clade";6072:"Eumetazoa":"clade";33208:"Metazoa":"kingdom";33154:"Opisthokonta":"clade";2759:"Eukaryota":"domain";131567:"cellular organisms":"cellular root";1:"root":"no rank"	0.001544	0.725205	0.012981	12314.905213	-53.954685	4539.000000	0.000399	3.873180	0.001635	0.696372	0.012858	11898.934484	0.001129	0.002314	0.415687	1.000000	0.012490	0.013262	6210.381956	18269.828907	646	45740	0.014123	0.014524	0.001215	731	47203	0.015486	0.013405	0.001164	574	47017	0.012208	0.013097	0.001151	527	46141	0.011422	0.013013	0.001149	653	46740	0.013971	0.012990	0.001147	652	43984	0.014824	0.014524	0.001220	517	44464	0.011627	0.013405	0.001171	620	44905	0.013807	0.013097	0.001156	636	45767	0.013896	0.013013	0.001150	588	46378	0.012678	0.012990	0.001148
simadna_1000.fq	simadna_1000.fq	9348	"Xenarthra"	"superorder"	3	3	40.187500	6.250000	0.412542	0.002192	9348:"Xenarthra":"superorder"	9348:"Xenarthra":"superorder";9347:"Eutheria":"clade";32525:"Theria":"clade";40674:"Mammalia":"class";32524:"Amniota":"clade";32523:"Tetrapoda":"clade";1338369:"Dipnotetrapodomorpha":"clade";8287:"Sarcopterygii":"superclass";117571:"Euteleostomi":"clade";117570:"Teleostomi":"clade";7776:"Gnathostomata":"clade";7742:"Vertebrata":"clade";89593:"Craniata":"subphylum";7711:"Chordata":"phylum";33511:"Deuterostomia":"clade";33213:"Bilateria":"clade";6072:"Eumetazoa":"clade";33208:"Metazoa":"kingdom";33154:"Opisthokonta":"clade";2759:"Eukaryota":"domain";131567:"cellular organisms":"cellular root";1:"root":"no rank"	0.026846	1.000000	0.000000	2.000000	-0.000000	374.000000	0.161635	0.166094	0.008437	0.999383	0.000000	2.111124	0.000000	0.000000	0.997875	1.000000	0.000000	0.000000	2.000000	2.633516	0	0	0.000000	0.026846	0.000000	0	0	0.000000	0.000000	0.000000	0	1	0.000000	0.000000	0.000100	0	1	0.000000	0.000000	0.000100	0	1	0.000000	0.000000	0.000100	0	0	0.000000	0.026846	0.000000	0	2	0.000000	0.000000	0.000083	0	1	0.000000	0.000000	0.000100	0	0	0.000000	0.000000	0.000000	0	3	0.000000	0.000000	0.000075
simadna_1000.fq	simadna_1000.fq	9352	"Bradypodidae"	"family"	2	2	40.500000	6.250000	0.558446	0.002192	9352:"Bradypodidae":"family"	9352:"Bradypodidae":"family";948953:"Folivora":"suborder";948950:"Pilosa":"order";9348:"Xenarthra":"superorder";9347:"Eutheria":"clade";32525:"Theria":"clade";40674:"Mammalia":"class";32524:"Amniota":"clade";32523:"Tetrapoda":"clade";1338369:"Dipnotetrapodomorpha":"clade";8287:"Sarcopterygii":"superclass";117571:"Euteleostomi":"clade";117570:"Teleostomi":"clade";7776:"Gnathostomata":"clade";7742:"Vertebrata":"clade";89593:"Craniata":"subphylum";7711:"Chordata":"phylum";33511:"Deuterostomia":"clade";33213:"Bilateria":"clade";6072:"Eumetazoa":"clade";33208:"Metazoa":"kingdom";33154:"Opisthokonta":"clade";2759:"Eukaryota":"domain";131567:"cellular organisms":"cellular root";1:"root":"no rank"	0.000000	1.000000	0.000000	2.000000	-0.000000	134.000000	0.000100	0.000100	0.004147	0.997793	0.000000	2.244892	0.000000	0.000000	0.985063	1.000000	0.000000	0.000000	2.000000	3.469609	0	0	0.000000	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0	1	0.000000	0.000000	0.000100	0	0	0.000000	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0	1	0.000000	0.000000	0.000100	0	0	0.000000	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0	2	0.000000	0.000000	0.000082
