RG	ReadsRaw	ReadsFiltered	ReadsLengthfiltered	SpeciesKmers	KmerCoverage	KmerDupRate	ExtractLVL	ReadsExtracted	Order	Family	Species	Reference	ReadsMapped	ProportionMapped	ReadsDeduped	DuplicationRate	CoveredBP	ReadsBedfiltered	PostBedCoveredBP	FamPercentage	Ancientness	ReadsDeam(1term)	ReadsDeam(3term)	Deam5(95ci)	Deam3(95ci)	Deam5Cond(95ci)	Deam3Cond(95ci)	MeanFragmentLength	MeanFragmentLength(3term)	Coverage	Breadth	ExpectedBreadth	ProportionExpectedBreadth
hyaena_1000_human_7	2499625	2499625	2499625	29	0.002589	24.5	f	62	Diprotodontia	Vombatidae	Vombatus_ursinus	best	38	0.6129	22	1.7272	149	22	149	0.04	-	2	5	40.0 (5.3,85.3)	0.0 (0.0,45.9)	N/A (N/A,N/A)	0.0 (0.0,97.5)	41.9	41.8	0.05	0.008	0.046	0.187
hyaena_1000_human_7	2499625	2499625	2499625	29	0.002809	46.0	f	660	Scandentia	Tupaiidae	Tupaia_glis	best	134	0.2030	41	3.2682	343	36	279	0.08	-	1	2	0.0 (0.0,52.2)	50.0 (1.3,98.7)	N/A (N/A,N/A)	N/A (N/A,N/A)	41.7	39.5	0.1	0.02	0.086	0.235
hyaena_1000_human_7	2499625	2499625	2499625	29	0.003598	28.0	f	273	Chiroptera	Mormoopidae	Pteronotus_rubiginosus	best	66	0.2417	26	2.5384	249	22	236	0.04	-	1	4	0.0 (0.0,52.2)	20.0 (0.5,71.6)	N/A (N/A,N/A)	N/A (N/A,N/A)	41.9	38.0	0.06	0.014	0.056	0.265
hyaena_1000_human_7	2499625	2499625	2499625	3	0.001036	142.0	f	419	Primates	Galagidae	Galago_moholi	best	271	0.6467	58	4.6724	236	58	236	0.13	-	3	7	0.0 (0.0,36.9)	16.7 (3.6,41.4)	0.0 (0.0,97.5)	N/A (N/A,N/A)	42.8	41.1	0.14	0.014	0.123	0.114
hyaena_1000_human_7	2499625	2499625	2499625	30	0.002737	43.7	f	923	Dasyuromorphia	Dasyuridae	Sminthopsis_douglasi	best	485	0.5254	70	6.9285	490	70	490	0.15	-	7	11	16.7 (3.6,41.4)	15.4 (4.4,34.9)	0.0 (0.0,84.2)	0.0 (0.0,97.5)	42.3	41.5	0.17	0.029	0.145	0.203
hyaena_1000_human_7	2499625	2499625	2499625	30	0.002843	229.0	f	1164	Hyracoidea	Procaviidae	Procavia_capensis	best	1191	1.0231	83	14.3493	436	83	436	0.18	-	4	9	8.3 (1.0,27.0)	28.6 (3.7,71.0)	N/A (N/A,N/A)	N/A (N/A,N/A)	44.0	47.4	0.21	0.026	0.175	0.148
hyaena_1000_human_7	2499625	2499625	2499625	30	0.002944	16.9	f	53	Chiroptera	Emballonuridae	Saccopteryx_leptura	best	8	0.1509	7	1.1428	186	7	186	0.01	-	2	2	100.0 (2.5,100.0)	100.0 (2.5,100.0)	N/A (N/A,N/A)	N/A (N/A,N/A)	41.6	45.5	0.01	0.011	0.015	0.729
hyaena_1000_human_7	2499625	2499625	2499625	31	0.003139	23.4	f	119	Pilosa	Mylodontidae	Mylodon_darwinii	best	77	0.6470	27	2.8518	132	27	132	0.06	-	4	10	37.5 (8.5,75.5)	25.0 (3.2,65.1)	50.0 (1.3,98.7)	100.0 (2.5,100.0)	43.9	45.1	0.07	0.008	0.061	0.13
hyaena_1000_human_7	2499625	2499625	2499625	31	0.00357	21.2	f	215	Pilosa	Megatheriidae	Megatherium_americanum	best	39	0.1813	17	2.2941	172	17	172	0.03	-	0	2	0.0 (0.0,60.2)	0.0 (0.0,60.2)	N/A (N/A,N/A)	N/A (N/A,N/A)	44.3	51.0	0.04	0.011	0.042	0.264
hyaena_1000_human_7	2499625	2499625	2499625	31	0.003902	364.0	f	7128	Chiroptera	Pteropodidae	Rousettus_lanosus	best	1699	0.2383	257	6.6108	1509	257	1509	0.58	-	12	22	7.0 (1.9,17.0)	14.8 (6.6,27.1)	0.0 (0.0,97.5)	N/A (N/A,N/A)	44.2	44.3	0.67	0.089	0.449	0.199
