#Taxa	bin0	entropy	bin1	entropy	bin2	entropy	bin3	entropy	bin4	entropy	bin5	entropy	bin6	entropy	bin7	entropy	bin8	entropy	bin9	entropy	bin10	entropy	bin11	entropy	bin12	entropy	bin13	entropy	bin14	entropy	bin15	entropy	bin16	entropy	bin17	entropy	bin18	entropy	bin19	entropy	bin20	entropy
Bovidae	884.00000	1.35745	807.43555	1.34525	922.22328	1.29369	1023.53414	1.32285	1077.67899	1.32622	1080.28695	1.34440	1124.44250	1.33147	1084.71957	1.36123	1099.35952	1.31896	1058.49331	1.34425	931.86049	1.33564
Carnivora	273.03132	1.34258	559.73271	1.33491	281.92151	1.35743	231.52909	1.34382	162.44955	1.30558	344.81082	1.32892	264.25286	1.32941	493.73808	1.34791	223.93060	1.32753	621.61728	1.36862	748.79876	1.32077
Felidae	21.00000	1.27400	25.00000	1.34178	20.00000	1.35124	25.00000	1.33640	28.00000	1.32758	15.00000	1.33234	13.03226	1.32781	42.00000	1.34501	25.00000	1.34701	23.00000	1.36553	122.00000	1.30404
Homininae	28.38095	1.38552	32.76190	1.34999	43.65152	1.35645	21.98701	1.33289	36.10521	1.29232	38.00812	1.32787	42.74978	1.31969	43.21934	1.33739	58.40152	1.33205	53.24359	1.36290	32.66667	1.33228
Proboscidea	142.80000	1.34945	135.30625	1.33882	153.80468	1.32252	145.72125	1.30921	139.08504	1.32484	162.14636	1.33937	139.96289	1.34145	136.32663	1.34432	172.03986	1.35525	147.69721	1.35491	139.07540	1.34111
Suina	389.67868	1.31255	516.76616	1.33396	431.52838	1.33050	564.10455	1.32075	518.54378	1.31886	542.09326	1.31759	557.60529	1.32545	566.49873	1.34071	508.28899	1.34267	455.43243	1.31813	588.22785	1.34197
