#Taxa	detected	Number_of_reads	proportion_estimate	85%_confidence_interval_lower_bound	85%_confidence_interval_higher_bound	95%_confidence_interval_lower_bound	95%_confidence_interval_higher_bound
Grus	no	3	0	0	0	0	0
Gryllidea	no	9	0	0	0	0	0
Gymnophiona	no	1	0	0	0	0	0
Hadziida	no	9	0	0	0	0	0
Haemaphysalis	no	3	0	0	0	0	0
Harpalinae	no	1	0	0	0	0	0
Henophidia	no	1	0	0	0	0	0
Hepialoidea	no	0	0	0	0	0	0
Hesperiidae	no	2	0	0	0	0	0
Heterotermes	no	0	0	0	0	0	0
Heterotremata	no	16	0	0	0	0	0
Hippoboscoidea	no	1	0	0	0	0	0
Hirundo	no	3	0	0	0	0	0
Homininae	yes	26561	0.0175782	0.0156149	0.0197659	0.0145549	0.0211752	
Hominoidea	yes	132	8.72811e-05	7.75396e-05	9.8274e-05	7.23091e-05	0.00010551	
Hydropsychoidea	no	0	0	0	0	0	0
Hymenopodidae	no	0	0	0	0	0	0
Hymenoptera	no	0	0	0	0	0	0
Hynobius	no	1	0	0	0	0	0
Hypsiglena	no	0	0	0	0	0	0
Hystricomorpha	yes	488	0.000322988	0.000286021	0.000363849	0.000266846	0.000388408	
Isotomidae	no	8	0	0	0	0	0
Ixodes	no	0	0	0	0	0	0
Junonia	no	1	0	0	0	0	0
Lacertibaenia	no	71	0	0	0	0	0
Lampyridae	no	1	0	0	0	0	0
Lepadoidea	no	0	0	0	0	0	0
Lepilemur	yes	389	0.000256913	0.000227405	0.000290277	0.000212342	0.000311998	
Lepus	no	111	0	0	0	0	0
Lethe	no	1	0	0	0	0	0
Limenitidinae	no	1	0	0	0	0	0
Limenitis	no	2	0	0	0	0	0
Lonchura	no	56	0	0	0	0	0
Lorisiformes	no	93	0	0	0	0	0
Lucanidae	no	1	0	0	0	0	0
Luperina	no	0	0	0	0	0	0
Lycaenidae	no	0	0	0	0	0	0
Lycosoidea	no	1	0	0	0	0	0
Macaca	yes	136	9.01695e-05	8.00822e-05	0.000101378	7.48885e-05	0.000108688	
Macroglossinae	no	0	0	0	0	0	0
Macrotermes	no	1	0	0	0	0	0
Majoidea	no	0	0	0	0	0	0
Manis	no	244	0	0	0	0	0
Mantidae	no	0	0	0	0	0	0
Martes	no	345	0	0	0	0	0
Megachiroptera	no	823	0	0	0	0	0
Meliphagoidea	no	4	0	0	0	0	0
Merostomata	no	8	0	0	0	0	0
Metatheria	no	169	0	0	0	0	0
Microcebus	no	263	0	0	0	0	0
Microchiroptera	yes	2143	0.00142091	0.00126001	0.00160172	0.0011712	0.00172395	
Microhylidae	no	1	0	0	0	0	0
Microtus	no	24	0	0	0	0	0
Muridae	yes	900	0.000595482	0.000528642	0.000672438	0.000494479	0.000721283	
Mus	no	116	0	0	0	0	0
Muscicapidae	no	16	0	0	0	0	0
Mustela	yes	766	0.000506802	0.000449883	0.000572458	0.000418947	0.00061508	
Mustelidae	yes	1926	0.00127678	0.00113221	0.00143971	0.00105362	0.00154066	
Myomorpha	no	591	0	0	0	0	0
Myotis	yes	620	0.000411299	0.00036423	0.000462993	0.000339309	0.000495401	
Myrmeleontidae	no	0	0	0	0	0	0
Myrmicinae	no	1	0	0	0	0	0
Nasutitermes	no	4	0	0	0	0	0
Nematocera	no	0	0	0	0	0	0
Nemouridae	no	0	0	0	0	0	0
Neobatrachia	no	43	0	0	0	0	0
Neognathae	no	62	0	0	0	0	0
Nesophrosyne	no	0	0	0	0	0	0
Neuropterida	no	1	0	0	0	0	0
Noctuidae	no	0	0	0	0	0	0
Nolidae	no	0	0	0	0	0	0
Notodontidae	no	0	0	0	0	0	0
Notostraca	no	0	0	0	0	0	0
Nymphalinae	no	3	0	0	0	0	0
Obtectomera	no	3	0	0	0	0	0
Ochthebius	no	0	0	0	0	0	0
Ocypodidae	no	0	0	0	0	0	0
Odontoceti	yes	2019	0.00133489	0.00118761	0.00150765	0.00110031	0.00161746	
Oestroidea	no	0	0	0	0	0	0
Olethreutinae	no	1	0	0	0	0	0
Orbiculariae	no	0	0	0	0	0	0
Orconectes	no	0	0	0	0	0	0
Ornithodoros	no	2	0	0	0	0	0
Otariidae	yes	2400	0.00159011	0.00140885	0.00179269	0.00131008	0.00192171	
Paguroidea	no	0	0	0	0	0	0
Palaemonoidea	no	0	0	0	0	0	0
Palaeognathae	no	3	0	0	0	0	0
Pamphagidae	no	9	0	0	0	0	0
Panheteroptera	no	17	0	0	0	0	0
Pannota	no	0	0	0	0	0	0
Papilio	no	0	0	0	0	0	0
Papilionidae	no	1	0	0	0	0	0
Papilioninae	no	0	0	0	0	0	0
Papilionoidea	no	1	0	0	0	0	0
Parastacoidea	no	0	0	0	0	0	0
Paridae	no	14	0	0	0	0	0
Parnassiinae	no	1	0	0	0	0	0
Passeriformes	no	33	0	0	0	0	0
Passeroidea	no	33	0	0	0	0	0
Pecora	yes	5430	0.00358561	0.00318415	0.00404397	0.0029733	0.00433345	
Pelecaniformes	no	162	0	0	0	0	0
Penaeoidea	no	0	0	0	0	0	0
Pentastomida	no	0	0	0	0	0	0
Pentatomomorpha	no	5	0	0	0	0	0
Perissodactyla	yes	840	0.000556796	0.000492495	0.000629088	0.000460412	0.000674511	
Perlidae	no	0	0	0	0	0	0
Petroicidae	no	13	0	0	0	0	0
Phlaeothripidae	no	0	0	0	0	0	0
