#Taxa	bin0	entropy	bin1	entropy	bin2	entropy	bin3	entropy	bin4	entropy	bin5	entropy	bin6	entropy	bin7	entropy	bin8	entropy	bin9	entropy	bin10	entropy	bin11	entropy	bin12	entropy	bin13	entropy	bin14	entropy	bin15	entropy	bin16	entropy	bin17	entropy	bin18	entropy	bin19	entropy	bin20	entropy
Bovidae	66931.89715	1.35745	56985.57661	1.34525	72109.81909	1.29369	73873.31314	1.32285	85506.40885	1.32622	76592.05782	1.34440	83764.48912	1.33147	82082.70092	1.36123	81902.89838	1.31896	75136.65601	1.34425	68104.41778	1.33564
Callosciurinae	13.00000	1.36112	54.00000	1.33829	24.00000	1.30874	25.00000	1.31836	45.00000	1.32219	35.00000	1.33906	30.00000	1.34195	108.00000	1.35252	87.00000	1.35336	269.00000	1.33513	9.00000	1.34092
Canidae	236.00000	1.35739	104.00000	1.34350	450.00000	1.35879	121.00000	1.35237	82.00000	1.33071	78.24324	1.34138	123.00000	1.33895	475.00000	1.35055	4.00000	1.34257	266.91306	1.36361	458.00000	1.33855
Caniformia	65.00000	1.35742	72.00000	1.33592	39.00000	1.34713	206.08369	1.35189	29.00000	1.31502	8.00000	1.32882	10.00000	1.32701	29.00000	1.34879	21.00000	1.33081	48.00000	1.35843	726.86269	1.33527
Carnivora	17270.24995	1.34258	31242.74696	1.33491	15602.45432	1.35743	14683.80685	1.34382	10293.17403	1.30558	20448.84740	1.32892	14578.92009	1.32941	33954.72877	1.34791	15480.26046	1.32753	37782.07868	1.36862	49175.23038	1.32077
Cephalophus	32.00000	1.33947	33.00000	1.36115	86.00000	1.35154	47.78352	1.29261	96.98030	1.32664	126.00000	1.32732	43.00000	1.34467	74.00000	1.33134	42.00000	1.36004	118.00000	1.32593
Cercopithecidae	69.00000	1.35949	90.00000	1.34854	18.00000	1.35202	11.00000	1.33720	55.00000	1.28712	23.00000	1.32506	16.14286	1.31743	6.00000	1.33164	64.29330	1.32488	139.00000	1.35291	103.00000	1.32431
Cetacea	87.00000	1.33951	31.00000	1.35360	104.79908	1.32939	145.00000	1.30460	10.00000	1.32534	31.87500	1.32377	11.65789	1.32857	165.00000	1.33727	49.00000	1.36252	7.00000	1.30379
Cingulata	15.00000	1.36308	85.00000	1.33727	347.00000	1.34585	13.00000	1.33671	258.10930	1.29277	4.00000	1.32918	69.00000	1.32092	10.22399	1.34470	109.34110	1.32191	123.00000	1.35791	122.00000	1.31706
Cricetidae	66.00000	1.34637	119.05263	1.33554	8.43519	1.29477	76.00000	1.32511	28.78910	1.32216	79.00000	1.33734	19.00000	1.33522	3.00000	1.35992	14.57692	1.30150	13.00000	1.35700	5.00000	1.33354
Eulipotyphla	2231.60881	1.35784	94.00000	1.33116	19.00000	1.34847	737.87646	1.33171	67.94627	1.29024	32.00000	1.32131	39.04545	1.31369	110.61682	1.34022	171.04762	1.31424	311.27602	1.35437	346.00000	1.31520
Felidae	1595.00000	1.27400	1524.07143	1.34178	1550.52645	1.35124	1893.55214	1.33640	2575.40080	1.32758	1685.67222	1.33234	594.41372	1.32781	2607.00000	1.34501	1521.68989	1.34701	1797.25030	1.36553	7996.41962	1.30404
Homininae	2292.49718	1.38552	2601.48600	1.34999	2285.93802	1.35645	2736.62176	1.33289	2493.79876	1.29232	2727.20830	1.32787	2501.10810	1.31969	2586.21740	1.33739	3930.79181	1.33205	3804.60160	1.36290	2201.65976	1.33228
Hominoidea	3.00000	1.34325	16.00000	1.34663	4.29647	1.33094	6.00000	1.29804	10.00000	1.32076	12.00000	1.31920	3.00000	1.33371	53.00000	1.34274	3.00000	1.36406	11.00000	1.31704	15.00000	1.35775
Hystricomorpha	59.05564	1.33262	34.56466	1.32296	28.00000	1.34753	11.70731	1.32810	33.00000	1.29128	4.00000	1.31288	34.00000	1.31003	58.00000	1.33491	15.22458	1.31686	150.00000	1.34879	191.00000	1.31463
Lepilemur	1.00000	1.35356	4.00000	1.33482	3.00000	1.30107	13.94643	1.33294	386.00000	1.32743	8.00000	1.34227	10.00000	1.34598	7.00000	1.36779	25.29524	1.31604	26.00000	1.35603	3.00000	1.33575
Macaca	40.00000	1.27883	5.00000	1.35035	35.00000	1.35779	5.00000	1.32698	11.00000	1.27224	9.00000	1.32504	12.99605	1.31856	12.00000	1.33224	4.00000	1.32173	5.00000	1.36343	5.00000	1.31058
Microchiroptera	122.00000	1.36810	8.06977	1.33656	96.00000	1.35743	90.05263	1.34089	77.00000	1.29756	61.07275	1.32691	38.00000	1.32865	51.62963	1.34707	175.21135	1.33635	1336.00000	1.36597	1558.00000	1.31113
Muridae	69.00000	1.32899	17.00000	1.32461	239.00000	1.33677	192.00000	1.28251	20.00000	1.31647	27.73106	1.30477	42.00000	1.33006	66.20640	1.31701	173.79108	1.34980	76.18750	1.31597
Mustela	280.00000	1.32324	175.00000	1.32842	6.00000	1.35159	38.00000	1.33596	7.00000	1.32167	189.00000	1.32975	40.00000	1.32574	114.00000	1.34469	44.10000	1.34474	22.00000	1.36532	24.00000	1.31575
Mustelidae	22.35641	1.34264	631.82051	1.35092	39.03846	1.35694	198.63521	1.31654	25.91198	1.32883	324.82353	1.33507	74.63310	1.34937	60.64920	1.35066	85.43041	1.36131	630.14752	1.33831	124.00000	1.34541
Myotis	38.00000	1.35199	27.00000	1.31627	99.00000	1.35576	41.03030	1.31345	109.98409	1.29852	65.00000	1.32148	82.86667	1.32429	4.90000	1.33174	17.00000	1.32154	37.17647	1.35267	161.00000	1.31701
Odontoceti	211.00000	1.33203	247.79497	1.35891	81.98392	1.34225	265.00000	1.28248	327.00000	1.31904	176.58770	1.32135	96.94358	1.33977	72.63908	1.32140	219.56198	1.36001	197.00000	1.31019	385.90909	1.34510
Otariidae	359.00000	1.36626	4.00000	1.32760	465.00000	1.34026	852.72857	1.35661	66.00000	1.30704	314.00000	1.33512	23.82353	1.33840	46.29412	1.34772	577.00000	1.33819	345.00000	1.36718	168.00000	1.33478
Pecora	470.24327	1.36198	575.95884	1.33245	776.28407	1.29289	1039.83512	1.32191	671.93776	1.32221	349.57795	1.34564	518.12346	1.32590	417.46189	1.35834	529.37167	1.30413	298.25926	1.34747	395.00000	1.32525
Perissodactyla	49.00000	1.34498	2.00000	1.32653	39.19078	1.34663	39.06790	1.34615	33.00000	1.31665	121.57681	1.34344	547.55523	1.32652	524.94286	1.33686	21.00000	1.32676	37.00000	1.29527	19.00000	1.31619
Phocidae	63.00000	1.33501	528.71667	1.32952	570.00000	1.34957	17.13333	1.35234	26.21818	1.29871	60.00000	1.33143	20.05263	1.33831	45.22434	1.34824	53.21297	1.33290	93.00000	1.37057	123.00000	1.32578
