#Taxa	detected	Number_of_reads	proportion_estimate	85%_confidence_interval_lower_bound	85%_confidence_interval_higher_bound	95%_confidence_interval_lower_bound	95%_confidence_interval_higher_bound
Bovidae	yes	795411	0.000131122	7.1501e-07	0.0377757	2.81967e-07	0.143459	
Callosciurinae	yes	506	6.20214e-08	1.20077e-09	6.58891e-05	3.08873e-10	0.00153395	
Canidae	yes	2179	1.68909e-05	2.92099e-07	0.0147112	4.0026e-08	0.0724787	
Caniformia	yes	1222	2.77932e-09	2.88558e-12	0.000110836	9.48913e-13	0.00138205	
Carnivora	yes	233174	3.39924e-05	6.70417e-08	0.0228907	1.30461e-08	0.0899407	
Cephalophus	yes	760	3.77981e-08	1.60225e-11	1.46203e-05	4.31123e-12	0.000627883	
Cercopithecidae	yes	482	3.50574e-12	3.89009e-15	1.72888e-07	1.92081e-17	2.1268e-05	
Cetacea	yes	643	3.54332e-08	1.25974e-09	3.54052e-06	4.1e-10	8.46645e-05	
Cingulata	yes	1039	7.53504e-12	2.41619e-15	8.7615e-06	7.78347e-16	0.00063377	
Cricetidae	yes	408	1.15217e-09	3.70156e-12	8.39042e-06	1.96605e-13	2.11775e-05	
Eulipotyphla	yes	3830	0.00415332	0.000121061	0.438839	4.24755e-05	0.978506	
Felidae	yes	25126	0.00459681	1.20944e-06	0.0693258	4.71926e-08	0.150971	
Homininae	yes	26673	0.930651	0.000137375	0.999583	5.83568e-05	0.999927	
Hominoidea	yes	132	6.71797e-06	6.48862e-09	0.000125627	1.03487e-09	0.000339297	
Hystricomorpha	yes	505	5.43392e-11	1.10225e-13	1.51345e-05	3.2347e-14	0.000440639	
Lepilemur	yes	434	3.36984e-10	1.76147e-14	9.75701e-06	2.0511e-15	2.71926e-05	
Macaca	yes	137	8.21697e-10	4.81121e-12	2.58799e-07	7.06657e-13	1.39562e-05	
Microchiroptera	yes	2337	4.5006e-10	5.89411e-12	1.34023e-06	1.73063e-12	0.000143732	
Muridae	yes	934	8.28963e-08	1.03415e-10	4.78102e-06	2.3748e-11	1.7364e-05	
Mustela	yes	919	5.67493e-14	1.49791e-19	1.06638e-08	2.18456e-20	4.70602e-06	
Mustelidae	yes	2092	1.10235e-06	2.83996e-09	0.000209468	1.20966e-10	0.000569174	
Myotis	yes	643	1.5663e-09	7.73793e-11	3.24444e-05	3.03621e-12	0.000144394	
Odontoceti	yes	2160	2.17325e-09	9.65259e-12	0.000906097	1.42713e-12	0.00272051	
Otariidae	yes	3010	5.93342e-10	2.39572e-17	2.49313e-07	1.78766e-18	7.49839e-06	
Pecora	yes	5701	3.45495e-05	2.35507e-08	0.00895634	1.8873e-09	0.0589029	
Perissodactyla	yes	889	2.56273e-12	6.23552e-15	2.83444e-06	1.75511e-15	7.58486e-05	
Phocidae	yes	1529	1.47769e-07	9.94259e-11	0.00380659	2.40301e-11	0.0159454	
Phyllostomidae	yes	654	6.80508e-08	7.64271e-10	9.74635e-05	1.67378e-10	0.000678271	
Proboscidea	yes	119772	0.000168191	1.04758e-06	0.589587	3.10923e-07	0.770837	
Rhinolophus	yes	817	2.51657e-10	1.94796e-15	0.00054761	4.08552e-16	0.00284202	
Sciurinae	yes	198	8.54932e-09	6.69633e-14	3.12557e-05	5.55783e-15	0.000113443	
Sorex	yes	350	9.60545e-09	3.90111e-10	1.94989e-06	1.75556e-10	0.00011889	
Strepsirrhini	yes	536	3.55017e-08	1.12163e-09	0.000157913	3.92003e-10	0.000726882	
Suina	yes	401978	0.00062937	3.28031e-06	0.015142	7.50216e-08	0.0419116
