sample	id	taxid	name	rank	nalign	nreads	mean_rlen	var_rlen	mean_gc	var_gc	lca	taxa_path	A	q	c	phi	llh	ncall	sigmaD	Zfit	A_b	q_b	c_b	phi_b	A_CI_l	A_CI_h	q_CI_l	q_CI_h	c_CI_l	c_CI_h	phi_CI_l	phi_CI_h	fwK0	fwN0	fwf0	fwdx0	fwdxConf0	fwK1	fwN1	fwf1	fwdx1	fwdxConf1	fwK2	fwN2	fwf2	fwdx2	fwdxConf2	fwK3	fwN3	fwf3	fwdx3	fwdxConf3	fwK4	fwN4	fwf4	fwdx4	fwdxConf4	bwK0	bwN0	bwf0	bwdx0	bwdxConf0	bwK1	bwN1	bwf1	bwdx1	bwdxConf1	bwK2	bwN2	bwf2	bwdx2	bwdxConf2	bwK3	bwN3	bwf3	bwdx3	bwdxConf3	bwK4	bwN4	bwf4	bwdx4	bwdxConf4
simadna_hd_100.fq	simadna_hd_100.fq	9653	"Procyon"	"genus"	2	2	43.500000	6.250000	0.451750	0.003654	9653:"Procyon":"genus"	9653:"Procyon":"genus";9647:"Procyonidae":"family";3072906:"Musteloidea":"superfamily";379584:"Caniformia":"suborder";33554:"Carnivora":"order";314145:"Laurasiatheria":"superorder";1437010:"Boreoeutheria":"clade";9347:"Eutheria":"clade";32525:"Theria":"clade";40674:"Mammalia":"class";32524:"Amniota":"clade";32523:"Tetrapoda":"clade";1338369:"Dipnotetrapodomorpha":"clade";8287:"Sarcopterygii":"superclass";117571:"Euteleostomi":"clade";117570:"Teleostomi":"clade";7776:"Gnathostomata":"clade";7742:"Vertebrata":"clade";89593:"Craniata":"subphylum";7711:"Chordata":"phylum";33511:"Deuterostomia":"clade";33213:"Bilateria":"clade";6072:"Eumetazoa":"clade";33208:"Metazoa":"kingdom";33154:"Opisthokonta":"clade";2759:"Eukaryota":"domain";131567:"cellular organisms":"cellular root";1:"root":"no rank"	0.000000	1.000000	0.000000	2.812522	-0.000000	245.000000	0.000100	0.000100	0.000000	0.998555	0.000000	2.026614	0.000000	0.000000	0.992089	1.000000	0.000000	0.000000	2.000000	2.000000	0	0	0.000000	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0	1	0.000000	0.000000	0.000100	0	2	0.000000	0.000000	0.000079	0	0	0.000000	0.000000	0.000000	0	1	0.000000	0.000000	0.000100	0	2	0.000000	0.000000	0.000079	0	1	0.000000	0.000000	0.000100	0	0	0.000000	0.000000	0.000000
simadna_hd_100.fq	simadna_hd_100.fq	9654	"Procyon lotor"	"species"	2	2	43.500000	6.250000	0.451750	0.003654	9654:"Procyon lotor":"species"	9654:"Procyon lotor":"species";9653:"Procyon":"genus";9647:"Procyonidae":"family";3072906:"Musteloidea":"superfamily";379584:"Caniformia":"suborder";33554:"Carnivora":"order";314145:"Laurasiatheria":"superorder";1437010:"Boreoeutheria":"clade";9347:"Eutheria":"clade";32525:"Theria":"clade";40674:"Mammalia":"class";32524:"Amniota":"clade";32523:"Tetrapoda":"clade";1338369:"Dipnotetrapodomorpha":"clade";8287:"Sarcopterygii":"superclass";117571:"Euteleostomi":"clade";117570:"Teleostomi":"clade";7776:"Gnathostomata":"clade";7742:"Vertebrata":"clade";89593:"Craniata":"subphylum";7711:"Chordata":"phylum";33511:"Deuterostomia":"clade";33213:"Bilateria":"clade";6072:"Eumetazoa":"clade";33208:"Metazoa":"kingdom";33154:"Opisthokonta":"clade";2759:"Eukaryota":"domain";131567:"cellular organisms":"cellular root";1:"root":"no rank"	0.000000	1.000000	0.000000	2.000000	-0.000000	132.000000	0.000100	0.000100	0.006110	0.998549	0.000000	2.022111	0.000000	0.058043	0.986314	1.000000	0.000000	0.000000	2.000000	2.040961	0	0	0.000000	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0	1	0.000000	0.000000	0.000100	0	2	0.000000	0.000000	0.000082	0	0	0.000000	0.000000	0.000000	0	1	0.000000	0.000000	0.000100	0	2	0.000000	0.000000	0.000082	0	1	0.000000	0.000000	0.000100	0	0	0.000000	0.000000	0.000000
simadna_hd_100.fq	simadna_hd_100.fq	9655	"Mustelidae"	"family"	70	47	45.785822	48.117408	0.391326	0.001803	9655:"Mustelidae":"family"	9655:"Mustelidae":"family";3072906:"Musteloidea":"superfamily";379584:"Caniformia":"suborder";33554:"Carnivora":"order";314145:"Laurasiatheria":"superorder";1437010:"Boreoeutheria":"clade";9347:"Eutheria":"clade";32525:"Theria":"clade";40674:"Mammalia":"class";32524:"Amniota":"clade";32523:"Tetrapoda":"clade";1338369:"Dipnotetrapodomorpha":"clade";8287:"Sarcopterygii":"superclass";117571:"Euteleostomi":"clade";117570:"Teleostomi":"clade";7776:"Gnathostomata":"clade";7742:"Vertebrata":"clade";89593:"Craniata":"subphylum";7711:"Chordata":"phylum";33511:"Deuterostomia":"clade";33213:"Bilateria":"clade";6072:"Eumetazoa":"clade";33208:"Metazoa":"kingdom";33154:"Opisthokonta":"clade";2759:"Eukaryota":"domain";131567:"cellular organisms":"cellular root";1:"root":"no rank"	0.081716	0.108570	0.000000	112369.985894	-10.046390	4723.000000	0.091314	0.894890	0.043634	0.138952	0.030993	43765.884249	0.000000	0.111729	0.000000	0.619535	0.000000	0.097559	6.609284	176413.101540	0	9	0.000000	0.081716	0.091314	2	19	0.105263	0.072844	0.059625	0	9	0.000000	0.064935	0.082140	1	15	0.066667	0.057885	0.060300	1	18	0.055556	0.051600	0.052146	0	8	0.000000	0.081716	0.096852	2	14	0.142857	0.072844	0.069460	2	12	0.166667	0.064935	0.071136	0	10	0.000000	0.057885	0.073850	0	9	0.000000	0.051600	0.073742
simadna_hd_100.fq	simadna_hd_100.fq	9658	"Martes"	"genus"	12	1	40.000000	0.000000	0.550000	0.000000	9658:"Martes":"genus"	9658:"Martes":"genus";2892069:"Guloninae":"subfamily";9655:"Mustelidae":"family";3072906:"Musteloidea":"superfamily";379584:"Caniformia":"suborder";33554:"Carnivora":"order";314145:"Laurasiatheria":"superorder";1437010:"Boreoeutheria":"clade";9347:"Eutheria":"clade";32525:"Theria":"clade";40674:"Mammalia":"class";32524:"Amniota":"clade";32523:"Tetrapoda":"clade";1338369:"Dipnotetrapodomorpha":"clade";8287:"Sarcopterygii":"superclass";117571:"Euteleostomi":"clade";117570:"Teleostomi":"clade";7776:"Gnathostomata":"clade";7742:"Vertebrata":"clade";89593:"Craniata":"subphylum";7711:"Chordata":"phylum";33511:"Deuterostomia":"clade";33213:"Bilateria":"clade";6072:"Eumetazoa":"clade";33208:"Metazoa":"kingdom";33154:"Opisthokonta":"clade";2759:"Eukaryota":"domain";131567:"cellular organisms":"cellular root";1:"root":"no rank"	0.115958	0.269008	0.000000	6.254193	-3.207226	762.000000	0.320174	0.362171	0.100663	0.448915	0.000000	4.127080	0.000000	0.170740	0.257657	1.000000	0.000000	0.000000	2.000000	6.258048	0	0	0.000000	0.115958	0.000000	0	5	0.000000	0.084764	0.155149	0	1	0.000000	0.061962	0.241086	0	4	0.000000	0.045294	0.123617	0	6	0.000000	0.033109	0.094937	0	0	0.000000	0.115958	0.000000	0	2	0.000000	0.084764	0.210088	1	2	0.500000	0.061962	0.181845	0	0	0.000000	0.045294	0.000000	0	1	0.000000	0.033109	0.178922
simadna_hd_100.fq	simadna_hd_100.fq	9659	"Martes foina"	"species"	1	1	40.000000	0.000000	0.550000	0.000000	9659:"Martes foina":"species"	9659:"Martes foina":"species";9658:"Martes":"genus";2892069:"Guloninae":"subfamily";9655:"Mustelidae":"family";3072906:"Musteloidea":"superfamily";379584:"Caniformia":"suborder";33554:"Carnivora":"order";314145:"Laurasiatheria":"superorder";1437010:"Boreoeutheria":"clade";9347:"Eutheria":"clade";32525:"Theria":"clade";40674:"Mammalia":"class";32524:"Amniota":"clade";32523:"Tetrapoda":"clade";1338369:"Dipnotetrapodomorpha":"clade";8287:"Sarcopterygii":"superclass";117571:"Euteleostomi":"clade";117570:"Teleostomi":"clade";7776:"Gnathostomata":"clade";7742:"Vertebrata":"clade";89593:"Craniata":"subphylum";7711:"Chordata":"phylum";33511:"Deuterostomia":"clade";33213:"Bilateria":"clade";6072:"Eumetazoa":"clade";33208:"Metazoa":"kingdom";33154:"Opisthokonta":"clade";2759:"Eukaryota":"domain";131567:"cellular organisms":"cellular root";1:"root":"no rank"	0.301270	0.170175	0.000000	6.318447	-2.456498	339.000000	0.458810	0.656633	0.301269	0.170175	0.000000	5.740939	0.301263	0.301275	0.170167	0.170180	0.000000	0.000000	2.000000	8.302397	0	0	0.000000	0.301270	0.000000	0	1	0.000000	0.250001	0.433013	0	0	0.000000	0.207457	0.000000	0	0	0.000000	0.172153	0.000000	0	1	0.000000	0.142857	0.349927	0	0	0.000000	0.301270	0.000000	0	1	0.000000	0.250001	0.433013	1	1	1.000000	0.207457	0.405486	0	0	0.000000	0.172153	0.000000	0	1	0.000000	0.142857	0.349927
simadna_hd_100.fq	simadna_hd_100.fq	9661	"Meles"	"genus"	5	4	48.750000	57.895832	0.277762	0.001696	9661:"Meles":"genus"	9661:"Meles":"genus";1008252:"Melinae":"subfamily";9655:"Mustelidae":"family";3072906:"Musteloidea":"superfamily";379584:"Caniformia":"suborder";33554:"Carnivora":"order";314145:"Laurasiatheria":"superorder";1437010:"Boreoeutheria":"clade";9347:"Eutheria":"clade";32525:"Theria":"clade";40674:"Mammalia":"class";32524:"Amniota":"clade";32523:"Tetrapoda":"clade";1338369:"Dipnotetrapodomorpha":"clade";8287:"Sarcopterygii":"superclass";117571:"Euteleostomi":"clade";117570:"Teleostomi":"clade";7776:"Gnathostomata":"clade";7742:"Vertebrata":"clade";89593:"Craniata":"subphylum";7711:"Chordata":"phylum";33511:"Deuterostomia":"clade";33213:"Bilateria":"clade";6072:"Eumetazoa":"clade";33208:"Metazoa":"kingdom";33154:"Opisthokonta":"clade";2759:"Eukaryota":"domain";131567:"cellular organisms":"cellular root";1:"root":"no rank"	0.220622	1.000000	0.216904	2.000000	-2.417990	404.000000	0.414666	0.532047	0.035030	0.253993	0.193632	2.000000	0.000000	0.140287	0.000000	1.000000	0.129738	0.216905	2.000000	2.000000	0	0	0.000000	0.437526	0.000000	0	1	0.000000	0.216904	0.412137	0	1	0.000000	0.216904	0.412137	1	1	1.000000	0.216904	0.412137	0	0	0.000000	0.216904	0.000000	0	0	0.000000	0.437526	0.000000	0	0	0.000000	0.216904	0.000000	0	0	0.000000	0.216904	0.000000	0	0	0.000000	0.216904	0.000000	0	2	0.000000	0.216904	0.336508
simadna_hd_100.fq	simadna_hd_100.fq	9662	"Meles meles"	"species"	5	4	48.750000	57.895832	0.277762	0.001696	9662:"Meles meles":"species"	9662:"Meles meles":"species";9661:"Meles":"genus";1008252:"Melinae":"subfamily";9655:"Mustelidae":"family";3072906:"Musteloidea":"superfamily";379584:"Caniformia":"suborder";33554:"Carnivora":"order";314145:"Laurasiatheria":"superorder";1437010:"Boreoeutheria":"clade";9347:"Eutheria":"clade";32525:"Theria":"clade";40674:"Mammalia":"class";32524:"Amniota":"clade";32523:"Tetrapoda":"clade";1338369:"Dipnotetrapodomorpha":"clade";8287:"Sarcopterygii":"superclass";117571:"Euteleostomi":"clade";117570:"Teleostomi":"clade";7776:"Gnathostomata":"clade";7742:"Vertebrata":"clade";89593:"Craniata":"subphylum";7711:"Chordata":"phylum";33511:"Deuterostomia":"clade";33213:"Bilateria":"clade";6072:"Eumetazoa":"clade";33208:"Metazoa":"kingdom";33154:"Opisthokonta":"clade";2759:"Eukaryota":"domain";131567:"cellular organisms":"cellular root";1:"root":"no rank"	0.000000	1.000000	0.216904	2.000000	-2.417990	2088.000000	0.000100	0.000100	0.033465	0.162039	0.183483	2.000000	0.000000	0.160361	0.000000	1.000000	0.056545	0.216909	2.000000	2.000000	0	0	0.000000	0.216904	0.000000	0	1	0.000000	0.216904	0.412137	0	1	0.000000	0.216904	0.412137	1	1	1.000000	0.216904	0.412137	0	0	0.000000	0.216904	0.000000	0	0	0.000000	0.216904	0.000000	0	0	0.000000	0.216904	0.000000	0	0	0.000000	0.216904	0.000000	0	0	0.000000	0.216904	0.000000	0	2	0.000000	0.216904	0.336508
simadna_hd_100.fq	simadna_hd_100.fq	9665	"Mustela"	"genus"	21	16	44.937500	19.801588	0.415602	0.001569	9665:"Mustela":"genus"	9665:"Mustela":"genus";169418:"Mustelinae":"subfamily";9655:"Mustelidae":"family";3072906:"Musteloidea":"superfamily";379584:"Caniformia":"suborder";33554:"Carnivora":"order";314145:"Laurasiatheria":"superorder";1437010:"Boreoeutheria":"clade";9347:"Eutheria":"clade";32525:"Theria":"clade";40674:"Mammalia":"class";32524:"Amniota":"clade";32523:"Tetrapoda":"clade";1338369:"Dipnotetrapodomorpha":"clade";8287:"Sarcopterygii":"superclass";117571:"Euteleostomi":"clade";117570:"Teleostomi":"clade";7776:"Gnathostomata":"clade";7742:"Vertebrata":"clade";89593:"Craniata":"subphylum";7711:"Chordata":"phylum";33511:"Deuterostomia":"clade";33213:"Bilateria":"clade";6072:"Eumetazoa":"clade";33208:"Metazoa":"kingdom";33154:"Opisthokonta":"clade";2759:"Eukaryota":"domain";131567:"cellular organisms":"cellular root";1:"root":"no rank"	0.144073	0.380257	0.000000	25.391957	-5.447582	630.000000	0.252971	0.569525	0.111324	0.420346	0.000000	26107.620139	0.050956	0.178404	0.380253	0.402492	0.000000	0.000000	2.000000	119625.978126	0	2	0.000000	0.144073	0.252971	1	6	0.166667	0.089289	0.126966	0	1	0.000000	0.055336	0.228635	0	2	0.000000	0.034294	0.131097	0	5	0.000000	0.021254	0.069216	0	6	0.000000	0.144073	0.156354	2	6	0.333333	0.089289	0.126966	0	3	0.000000	0.055336	0.136913	0	4	0.000000	0.034294	0.096024	0	5	0.000000	0.021254	0.069216
simadna_hd_100.fq	simadna_hd_100.fq	9673	"Viverridae"	"family"	46	43	44.450537	68.413827	0.370716	0.005483	9673:"Viverridae":"family"	9673:"Viverridae":"family";379583:"Feliformia":"suborder";33554:"Carnivora":"order";314145:"Laurasiatheria":"superorder";1437010:"Boreoeutheria":"clade";9347:"Eutheria":"clade";32525:"Theria":"clade";40674:"Mammalia":"class";32524:"Amniota":"clade";32523:"Tetrapoda":"clade";1338369:"Dipnotetrapodomorpha":"clade";8287:"Sarcopterygii":"superclass";117571:"Euteleostomi":"clade";117570:"Teleostomi":"clade";7776:"Gnathostomata":"clade";7742:"Vertebrata":"clade";89593:"Craniata":"subphylum";7711:"Chordata":"phylum";33511:"Deuterostomia":"clade";33213:"Bilateria":"clade";6072:"Eumetazoa":"clade";33208:"Metazoa":"kingdom";33154:"Opisthokonta":"clade";2759:"Eukaryota":"domain";131567:"cellular organisms":"cellular root";1:"root":"no rank"	0.299759	0.246508	0.000000	19.238506	-15.747994	681.000000	0.180393	1.661699	0.254619	0.220337	0.010823	5210.937194	0.122080	0.378638	0.123219	0.355664	0.000000	0.060271	2.629784	14615.841613	2	9	0.222222	0.299759	0.180393	2	10	0.200000	0.225866	0.158936	2	12	0.166667	0.170189	0.134778	0	9	0.000000	0.128236	0.131648	1	11	0.090909	0.096625	0.108886	1	9	0.111111	0.299759	0.180393	7	11	0.636364	0.225866	0.154109	2	13	0.153846	0.170189	0.131547	1	5	0.200000	0.128236	0.163638	0	6	0.000000	0.096625	0.134693
simadna_hd_100.fq	simadna_hd_100.fq	9676	"Hyaenidae"	"family"	44107	40767	60.884394	182.464337	0.401999	0.004926	9676:"Hyaenidae":"family"	9676:"Hyaenidae":"family";379583:"Feliformia":"suborder";33554:"Carnivora":"order";314145:"Laurasiatheria":"superorder";1437010:"Boreoeutheria":"clade";9347:"Eutheria":"clade";32525:"Theria":"clade";40674:"Mammalia":"class";32524:"Amniota":"clade";32523:"Tetrapoda":"clade";1338369:"Dipnotetrapodomorpha":"clade";8287:"Sarcopterygii":"superclass";117571:"Euteleostomi":"clade";117570:"Teleostomi":"clade";7776:"Gnathostomata":"clade";7742:"Vertebrata":"clade";89593:"Craniata":"subphylum";7711:"Chordata":"phylum";33511:"Deuterostomia":"clade";33213:"Bilateria":"clade";6072:"Eumetazoa":"clade";33208:"Metazoa":"kingdom";33154:"Opisthokonta":"clade";2759:"Eukaryota":"domain";131567:"cellular organisms":"cellular root";1:"root":"no rank"	0.141690	0.538335	0.129579	1613.792370	-60.587728	3300.000000	0.009406	15.063171	0.142746	0.541121	0.129516	1704.074124	0.136179	0.150658	0.491182	0.589993	0.123661	0.134282	1139.693462	2578.492017	2708	9230	0.293391	0.271270	0.011993	1820	9591	0.189761	0.194993	0.010657	1627	9594	0.169585	0.159778	0.009855	1405	10031	0.140066	0.143521	0.009401	1318	9889	0.133279	0.136016	0.009201	2982	11745	0.253895	0.271270	0.011800	2034	10847	0.187517	0.194993	0.010567	1705	10721	0.159034	0.159778	0.009780	1653	10563	0.156490	0.143521	0.009368	1320	10276	0.128455	0.136016	0.009176
