RG	FinalReads	EukaTaxa	Order	Family
simadna_01.fq	109	Bovidae	Artiodactyla	Bovidae
simadna_01.fq	54	Suina	Artiodactyla	null
simadna_hd_01.fq	86	Bovidae	Artiodactyla	Bovidae
simadna_md_01.fq	124	Bovidae	Artiodactyla	Bovidae
simadna_md_01.fq	45	Carnivora	Carnivora	null
simadna_md_01.fq	52	Suina	Artiodactyla	null
