#Taxa	detected	Number_of_reads	proportion_estimate	85%_confidence_interval_lower_bound	85%_confidence_interval_higher_bound	95%_confidence_interval_lower_bound	95%_confidence_interval_higher_bound
Bovidae	yes	11151	0.476609	0.446871	0.506727	0.429981	0.524301	
Carnivora	yes	4012	0.171184	0.1542	0.189531	0.144408	0.200699	
Felidae	yes	387	0.016512	0.0146805	0.0185466	0.013729	0.0198699	
Homininae	yes	398	0.0169505	0.0150819	0.0190421	0.0140471	0.0204264	
Proboscidea	yes	1677	0.0715335	0.0639313	0.0800088	0.0599043	0.085398	
Suina	yes	5743	0.245307	0.222935	0.269082	0.210673	0.283804
