#Taxa	bin0	entropy	bin1	entropy	bin2	entropy	bin3	entropy	bin4	entropy	bin5	entropy	bin6	entropy	bin7	entropy	bin8	entropy	bin9	entropy	bin10	entropy	bin11	entropy	bin12	entropy	bin13	entropy	bin14	entropy	bin15	entropy	bin16	entropy	bin17	entropy	bin18	entropy	bin19	entropy	bin20	entropy
Bovidae	8947.00000	1.35745	8140.57371	1.34525	9904.57645	1.29369	11022.20963	1.32285	11753.23097	1.32622	10855.71715	1.34440	11418.83556	1.33147	11141.07090	1.36123	11214.66307	1.31896	10754.13682	1.34425	9553.11975	1.33564
Carnivora	2915.96766	1.34258	5490.97667	1.33491	2978.61728	1.35743	2459.32183	1.34382	2121.83566	1.30558	3791.82217	1.32892	2685.35104	1.32941	5564.27374	1.34791	2743.96107	1.32753	6782.50393	1.36862	7803.19706	1.32077
Felidae	240.00000	1.27400	273.00000	1.34178	205.00000	1.35124	242.00000	1.33640	444.00000	1.32758	170.00000	1.33234	166.06167	1.32781	448.00000	1.34501	252.23881	1.34701	329.75540	1.36553	1132.91301	1.30404
Homininae	334.81440	1.38552	372.39245	1.34999	374.20060	1.35645	411.45282	1.33289	405.87733	1.29232	376.78390	1.32787	387.36752	1.31969	390.61368	1.33739	587.39020	1.33205	560.43800	1.36290	334.17904	1.33228
Proboscidea	1501.39264	1.34945	1434.31619	1.33882	1519.29702	1.32252	1433.54944	1.30921	1591.29611	1.32484	1658.39168	1.33937	1540.95445	1.34145	1585.43564	1.34432	1684.36518	1.35525	1692.78057	1.35491	1379.81954	1.34111
Suina	4056.68753	1.31255	5543.16094	1.33396	4947.67322	1.33050	5621.44915	1.32075	5321.66674	1.31886	5651.63803	1.31759	5828.96958	1.32545	5774.18572	1.34071	4981.47030	1.34267	4733.63899	1.31813	5821.97594	1.34197
