RG	ReadsRaw	ReadsFiltered	ReadsLengthfiltered	SpeciesKmers	KmerCoverage	KmerDupRate	ExtractLVL	ReadsExtracted	Order	Family	Species	Reference	ReadsMapped	ProportionMapped	ReadsDeduped	DuplicationRate	CoveredBP	ReadsBedfiltered	PostBedCoveredBP	FamPercentage	Ancientness	ReadsDeam(1term)	ReadsDeam(3term)	Deam5(95ci)	Deam3(95ci)	Deam5Cond(95ci)	Deam3Cond(95ci)	MeanFragmentLength	MeanFragmentLength(3term)	Coverage	Breadth	ExpectedBreadth	ProportionExpectedBreadth
simadna	499908	499908	499908	103	0.06628	1.0	f	48	Primates	Hominidae	Homo_sapiens_neanderthalensis	best	46	0.9583	46	1.0000	2234	44	2119	1.21	-	0	0	0.0 (0.0,24.7)	0.0 (0.0,30.8)	N/A (N/A,N/A)	N/A (N/A,N/A)	53.0	N/A	0.14	0.134	0.122	1.103
simadna	499908	499908	499908	284	0.2971	1.27	f	193	Proboscidea	Elephantidae	Mammuthus_primigenius	best	186	0.9637	186	1.0000	7310	182	7178	5.00	-	0	0	0.0 (0.0,10.3)	0.0 (0.0,10.6)	N/A (N/A,N/A)	N/A (N/A,N/A)	51.3	N/A	0.56	0.435	0.395	1.103
simadna	499908	499908	499908	33	0.1358	5.27	f	1182	Artiodactyla	Bovidae	Bos_taurus	best	1166	0.9864	1144	1.0192	15149	1102	14892	30.32	-	2	3	0.4 (0.0,2.3)	0.4 (0.0,2.4)	N/A (N/A,N/A)	N/A (N/A,N/A)	52.0	63.0	3.64	0.927	0.96	0.965
simadna	499908	499908	499908	5594	0.7912	4.75	f	2000	Carnivora	Hyaenidae	Crocuta_crocuta	best	1943	0.9715	1877	1.0351	16132	1756	15478	48.32	-	6	19	0.9 (0.2,2.6)	0.8 (0.2,2.4)	N/A (N/A,N/A)	N/A (N/A,N/A)	51.6	51.7	5.66	0.941	0.993	0.947
simadna	499908	499908	499908	654	0.6784	1.96	f	585	Artiodactyla	Suidae	Sus_scrofa_taivanus	best	581	0.9931	574	1.0121	13318	550	12872	15.13	-	2	6	0.0 (0.0,3.1)	2.0 (0.2,7.0)	N/A (N/A,N/A)	N/A (N/A,N/A)	52.6	55.8	1.82	0.808	0.8	1.009
simadna_01	499903	499903	499903	16	0.06584	1.0	f	144	Artiodactyla	Bovidae	Bos_taurus	best	119	0.8263	118	1.0084	4904	112	4638	29.94	-	0	0	0.0 (0.0,18.5)	0.0 (0.0,12.8)	N/A (N/A,N/A)	N/A (N/A,N/A)	50.0	N/A	0.36	0.3	0.273	1.096
simadna_01	499903	499903	499903	17	0.01778	1.0	f	26	Proboscidea	Elephantidae	Mammuthus_primigenius	best	19	0.7307	19	1.0000	888	19	888	5.08	-	0	0	0.0 (0.0,52.2)	0.0 (0.0,52.2)	N/A (N/A,N/A)	N/A (N/A,N/A)	47.6	N/A	0.05	0.052	0.046	1.139
simadna_01	499903	499903	499903	2039	0.2884	1.27	f	212	Carnivora	Hyaenidae	Crocuta_crocuta	best	202	0.9528	200	1.0100	7488	187	6946	50.00	-	0	1	0.0 (0.0,10.6)	0.0 (0.0,8.4)	N/A (N/A,N/A)	N/A (N/A,N/A)	49.9	58.0	0.59	0.436	0.406	1.074
simadna_01	499903	499903	499903	85	0.08817	1.0	f	63	Artiodactyla	Suidae	Sus_scrofa_taivanus	best	60	0.9523	60	1.0000	2673	56	2494	14.97	-	0	0	0.0 (0.0,28.5)	0.0 (0.0,23.2)	N/A (N/A,N/A)	N/A (N/A,N/A)	50.4	N/A	0.18	0.162	0.149	1.087
simadna_10	499896	499896	499896	114	0.02005	6.68	f	196	Primates	Cebidae	Leontopithecus_rosalia	best	19	0.0969	18	1.0555	195	18	195	0.06	-	0	2	0.0 (0.0,45.9)	0.0 (0.0,60.2)	N/A (N/A,N/A)	N/A (N/A,N/A)	43.7	43.5	0.04	0.011	0.04	0.286
