RG	ReadsRaw	ReadsFiltered	ReadsLengthfiltered	SpeciesKmers	KmerCoverage	KmerDupRate	ExtractLVL	ReadsExtracted	Order	Family	Species	Reference	ReadsMapped	ProportionMapped	ReadsDeduped	DuplicationRate	CoveredBP	ReadsBedfiltered	PostBedCoveredBP	FamPercentage	Ancientness	ReadsDeam(1term)	ReadsDeam(3term)	Deam5(95ci)	Deam3(95ci)	Deam5Cond(95ci)	Deam3Cond(95ci)	MeanFragmentLength	MeanFragmentLength(3term)	Coverage	Breadth	ExpectedBreadth	ProportionExpectedBreadth
simadna_10	499896	499896	499896	33	0.1358	31.5	f	12024	Artiodactyla	Bovidae	Bos_taurus	best	12003	0.9982	9775	1.2279	16050	9413	15887	31.48	-	8	22	0.1 (0.0,0.4)	0.3 (0.1,0.7)	N/A (N/A,N/A)	0.0 (0.0,97.5)	53.0	56.9	31.8	0.982	0.999	0.982
simadna_10	499896	499896	499896	5653	0.7996	47.3	f	20073	Carnivora	Hyaenidae	Crocuta_crocuta	best	19327	0.9628	14003	1.3802	16765	13098	16186	43.80	-	54	127	0.9 (0.6,1.3)	1.1 (0.7,1.6)	0.0 (0.0,30.8)	0.0 (0.0,41.0)	53.9	54.9	44.22	0.978	1.0	0.978
simadna_10	499896	499896	499896	626	0.6548	3.81	f	1892	Proboscidea	Elephantidae	Mammuthus_primigenius	best	1884	0.9957	1817	1.0368	16249	1774	16012	5.93	-	0	2	0.0 (0.0,1.1)	0.0 (0.0,1.0)	N/A (N/A,N/A)	N/A (N/A,N/A)	50.8	43.0	5.5	0.968	0.992	0.976
simadna_10	499896	499896	499896	637	0.4099	1.38	f	448	Primates	Hominidae	Homo_sapiens_neanderthalensis	best	448	1.0000	445	1.0067	12237	427	11748	1.42	-	0	2	0.0 (0.0,3.6)	0.0 (0.0,3.8)	N/A (N/A,N/A)	N/A (N/A,N/A)	50.0	37.5	1.34	0.738	0.694	1.063
simadna_10	499896	499896	499896	801	0.8309	13.3	f	6092	Artiodactyla	Suidae	Sus_scrofa_taivanus	best	6067	0.9958	5438	1.1156	16094	5168	15759	17.28	-	4	18	0.3 (0.1,0.8)	0.1 (0.0,0.6)	0.0 (0.0,97.5)	N/A (N/A,N/A)	52.3	53.1	17.3	0.976	0.999	0.976
simadna_100	499924	499924	499924	1095	0.7046	8.98	f	4482	Primates	Hominidae	Homo_sapiens_neanderthalensis	best	4476	0.9986	4180	1.0708	16455	3983	16273	4.12	-	6	22	0.5 (0.1,1.2)	0.2 (0.0,0.8)	N/A (N/A,N/A)	0.0 (0.0,97.5)	51.4	53.3	12.98	0.993	0.999	0.993
simadna_100	499924	499924	499924	34	0.02845	218.0	f	118622	Artiodactyla	Bovidae	Bos_indicus	best	116920	0.9856	27891	4.1920	16222	26642	16062	27.61	-	187	582	1.7 (1.4,2.1)	1.8 (1.5,2.2)	0.0 (0.0,14.2)	0.0 (0.0,17.6)	61.5	60.7	105.22	0.992	1.0	0.992
simadna_100	499924	499924	499924	4	0.001048	455.0	f	562	Rodentia	Muridae	Rattus_leucopus	best	114	0.2028	56	2.0357	284	56	284	0.05	-	0	4	0.0 (0.0,33.6)	0.0 (0.0,30.8)	N/A (N/A,N/A)	N/A (N/A,N/A)	43.1	36.5	0.14	0.017	0.122	0.142
simadna_100	499924	499924	499924	5652	0.7994	465.0	f	200422	Carnivora	Hyaenidae	Crocuta_crocuta	best	193456	0.9652	30227	6.4001	16896	28192	16350	29.22	-	107	306	0.9 (0.7,1.2)	0.9 (0.7,1.2)	0.0 (0.0,41.0)	0.0 (0.0,26.5)	60.5	59.5	107.14	0.985	1.0	0.985
simadna_100	499924	499924	499924	629	0.6579	38.6	f	18975	Proboscidea	Elephantidae	Mammuthus_primigenius	best	18972	0.9998	14192	1.3368	16413	13933	16229	14.44	-	14	49	0.2 (0.1,0.5)	0.3 (0.1,0.6)	0.0 (0.0,70.8)	0.0 (0.0,84.2)	53.1	53.0	44.89	0.978	1.0	0.978
simadna_100	499924	499924	499924	784	0.8133	141.0	f	59998	Artiodactyla	Suidae	Sus_scrofa_taivanus	best	59744	0.9957	24952	2.3943	16404	23671	16042	24.53	-	36	95	0.3 (0.2,0.6)	0.4 (0.3,0.7)	0.0 (0.0,84.2)	0.0 (0.0,70.8)	58.4	61.8	88.68	0.995	1.0	0.995
simadna_100	499924	499924	499924	9	0.001439	1.0	f	819	Chiroptera	Phyllostomidae	Sturnira_bakeri	best	6	0.0073	4	1.5000	116	4	116	0.00	-	1	1	0.0 (0.0,97.5)	100.0 (2.5,100.0)	N/A (N/A,N/A)	N/A (N/A,N/A)	42.8	43.0	0.01	0.007	0.009	0.771
simadna_1000	4999210	4999210	4999210	11	0.003063	1.0	f	28	Artiodactyla	Delphinidae	Lagenorhynchus_acutus	best	13	0.4642	5	2.6000	235	4	187	0.00	-	0	0	0.0 (0.0,97.5)	0.0 (0.0,84.2)	N/A (N/A,N/A)	N/A (N/A,N/A)	46.8	N/A	0.01	0.014	0.012	1.139
simadna_1000	4999210	4999210	4999210	1100	0.7079	96.2	f	44910	Primates	Hominidae	Homo_sapiens_neanderthalensis	best	44838	0.9983	23697	1.8921	16506	22537	16380	15.61	-	39	133	0.3 (0.2,0.5)	0.5 (0.3,0.7)	0.0 (0.0,36.9)	0.0 (0.0,84.2)	56.1	56.8	80.39	0.996	1.0	0.996
simadna_1000	4999210	4999210	4999210	119	0.01663	1.21	f	3673	Carnivora	Eupleridae	Cryptoprocta_ferox	best	459	0.1249	73	6.2876	1050	53	930	0.03	-	2	4	9.1 (0.2,41.3)	6.2 (0.2,30.2)	N/A (N/A,N/A)	N/A (N/A,N/A)	46.7	44.5	0.18	0.062	0.154	0.404
simadna_1000	4999210	4999210	4999210	16	0.002161	1.0	f	6044	Chiroptera	Vespertilionidae	Myotis_formosus	best	239	0.0395	67	3.5671	1102	59	903	0.04	-	1	2	0.0 (0.0,21.8)	10.0 (0.3,44.5)	N/A (N/A,N/A)	N/A (N/A,N/A)	47.2	41.0	0.18	0.064	0.148	0.431
simadna_1000	4999210	4999210	4999210	16	0.002336	1.06	f	19	Lagomorpha	Leporidae	Lepus_americanus	best	8	0.4210	6	1.3333	242	6	242	0.00	-	0	0	0.0 (0.0,84.2)	0.0 (0.0,84.2)	N/A (N/A,N/A)	N/A (N/A,N/A)	48.7	N/A	0.01	0.014	0.015	0.945
simadna_1000	4999210	4999210	4999210	17	0.003896	1.0	f	1950	Carnivora	Otariidae	Arctocephalus_pusillus	best	111	0.0569	29	3.8275	601	29	601	0.02	-	2	2	20.0 (2.5,55.6)	0.0 (0.0,41.0)	N/A (N/A,N/A)	0.0 (0.0,97.5)	47.9	46.0	0.08	0.036	0.07	0.508
simadna_1000	4999210	4999210	4999210	175	0.1464	412.0	f	1191123	Artiodactyla	Bovidae	Bos_indicus	best	1176312	0.9875	30666	38.3588	16265	29536	16080	20.46	-	215	599	1.9 (1.6,2.3)	1.8 (1.5,2.2)	0.0 (0.0,16.1)	0.0 (0.0,16.1)	49.4	47.7	92.85	0.995	1.0	0.995
simadna_1000	4999210	4999210	4999210	18	0.002538	1.28	f	17	Artiodactyla	Camelidae	Camelus_dromedarius	best	5	0.2941	2	2.5000	50	2	50	0.00	-	0	0	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)	44.0	N/A	0.0	0.003	0.004	0.644
simadna_1000	4999210	4999210	4999210	19	0.002007	1.0	f	7	Dasyuromorphia	Dasyuridae	Antechinus_arktos	best	13	1.8571	3	4.3333	131	3	131	0.00	-	0	0	N/A (N/A,N/A)	0.0 (0.0,97.5)	N/A (N/A,N/A)	N/A (N/A,N/A)	43.7	N/A	0.0	0.007	0.006	1.136
simadna_1000	4999210	4999210	4999210	19	0.0243	1.16	f	3261	Artiodactyla	Cervidae	Cervus_nippon_hortulorum	best	187	0.0573	71	2.6338	1629	69	1557	0.04	-	2	4	0.0 (0.0,18.5)	12.5 (1.6,38.3)	N/A (N/A,N/A)	N/A (N/A,N/A)	46.6	47.2	0.2	0.099	0.162	0.611
simadna_1000	4999210	4999210	4999210	2	0.001001	1.0	f	450	Rodentia	Cricetidae	Microtus_fortis_calamorum	best	51	0.1133	15	3.4000	582	15	582	0.01	-	0	1	0.0 (0.0,97.5)	0.0 (0.0,52.2)	N/A (N/A,N/A)	N/A (N/A,N/A)	49.9	43.0	0.04	0.035	0.039	0.899
simadna_1000	4999210	4999210	4999210	20	0.006225	1.3	f	20	Primates	Lepilemuridae	Lepilemur_otto	best	15	0.7500	5	3.0000	180	5	180	0.00	-	0	0	0.0 (0.0,84.2)	0.0 (0.0,84.2)	N/A (N/A,N/A)	N/A (N/A,N/A)	43.4	N/A	0.01	0.01	0.011	0.944
simadna_1000	4999210	4999210	4999210	21	0.004681	1.1	f	23	Primates	Cheirogaleidae	Microcebus_danfossi	best	15	0.6521	5	3.0000	249	4	196	0.00	-	0	0	0.0 (0.0,70.8)	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)	53.5	N/A	0.01	0.014	0.013	1.063
simadna_1000	4999210	4999210	4999210	21	0.007804	1.14	f	127	Primates	Cercopithecidae	Macaca_nigra	best	18	0.1417	8	2.2500	336	8	336	0.00	-	0	0	0.0 (0.0,84.2)	0.0 (0.0,60.2)	N/A (N/A,N/A)	N/A (N/A,N/A)	45.2	N/A	0.02	0.02	0.019	1.061
simadna_1000	4999210	4999210	4999210	22	0.004071	1.0	f	9011	Carnivora	Mustelidae	Mustela_kathiah	best	1190	0.1320	122	9.7540	1192	122	1192	0.08	-	0	0	0.0 (0.0,17.6)	0.0 (0.0,10.9)	N/A (N/A,N/A)	N/A (N/A,N/A)	44.9	N/A	0.33	0.072	0.253	0.284
simadna_1000	4999210	4999210	4999210	23	0.003053	1.13	f	109	Rodentia	Echimyidae	Proechimys_hoplomyoides	best	30	0.2752	8	3.7500	358	8	358	0.00	-	1	1	0.0 (0.0,97.5)	50.0 (1.3,98.7)	N/A (N/A,N/A)	N/A (N/A,N/A)	46.9	42.0	0.02	0.021	0.019	1.091
simadna_1000	4999210	4999210	4999210	23	0.003415	1.3	f	4933	Lagomorpha	Ochotonidae	Ochotona_princeps	best	173	0.0350	48	3.6041	598	48	598	0.03	-	0	3	0.0 (0.0,24.7)	0.0 (0.0,30.8)	N/A (N/A,N/A)	N/A (N/A,N/A)	45.8	46.0	0.13	0.036	0.11	0.327
simadna_1000	4999210	4999210	4999210	23	0.004615	1.22	f	5620	Eulipotyphla	Soricidae	Sorex_tundrensis	best	156	0.0277	48	3.2500	927	45	886	0.03	-	1	1	0.0 (0.0,28.5)	6.7 (0.2,31.9)	N/A (N/A,N/A)	N/A (N/A,N/A)	47.2	42.0	0.13	0.053	0.109	0.484
simadna_1000	4999210	4999210	4999210	23	0.005	1.09	f	37	Carnivora	Phocidae	Phoca_groenlandica	best	26	0.7027	9	2.8888	404	9	404	0.00	-	0	0	0.0 (0.0,70.8)	0.0 (0.0,97.5)	N/A (N/A,N/A)	N/A (N/A,N/A)	50.4	N/A	0.02	0.024	0.023	1.022
simadna_1000	4999210	4999210	4999210	23	0.01882	1.0	f	898	Carnivora	Ursidae	Ursus_thibetanus_formosanus	best	57	0.0634	25	2.2800	957	23	884	0.01	-	0	0	0.0 (0.0,97.5)	0.0 (0.0,52.2)	N/A (N/A,N/A)	N/A (N/A,N/A)	47.3	N/A	0.07	0.056	0.06	0.93
simadna_1000	4999210	4999210	4999210	25	0.003447	1.0	f	669	Cingulata	Chlamyphoridae	Cabassous_tatouay	best	52	0.0777	14	3.7142	386	14	386	0.00	-	0	1	0.0 (0.0,84.2)	0.0 (0.0,60.2)	N/A (N/A,N/A)	N/A (N/A,N/A)	41.9	50.0	0.03	0.023	0.03	0.756
simadna_1000	4999210	4999210	4999210	25	0.003946	1.0	f	5549	Rodentia	Muridae	Rattus_norvegicus	best	1431	0.2578	114	12.5526	925	113	883	0.07	-	3	8	11.5 (2.4,30.2)	0.0 (0.0,18.5)	N/A (N/A,N/A)	0.0 (0.0,97.5)	45.5	46.5	0.31	0.056	0.244	0.231
simadna_1000	4999210	4999210	4999210	26	0.003526	1.0	f	103	Rodentia	Sciuridae	Sundasciurus_brookei	best	60	0.5825	25	2.4000	887	23	845	0.01	-	0	1	0.0 (0.0,52.2)	0.0 (0.0,84.2)	N/A (N/A,N/A)	N/A (N/A,N/A)	47.9	42.0	0.07	0.054	0.061	0.877
simadna_1000	4999210	4999210	4999210	27	0.003526	1.26	f	24	Pholidota	Manidae	Manis_crassicaudata	best	14	0.5833	5	2.8000	212	5	212	0.00	-	0	0	N/A (N/A,N/A)	0.0 (0.0,84.2)	N/A (N/A,N/A)	N/A (N/A,N/A)	42.4	N/A	0.01	0.012	0.011	1.138
simadna_1000	4999210	4999210	4999210	30	0.002923	1.2	f	2335	Macroscelidea	Macroscelididae	Elephantulus_intufi	best	63	0.0269	16	3.9375	337	16	337	0.01	-	0	0	0.0 (0.0,36.9)	0.0 (0.0,97.5)	N/A (N/A,N/A)	N/A (N/A,N/A)	40.4	N/A	0.03	0.02	0.033	0.601
simadna_1000	4999210	4999210	4999210	30	0.004443	1.17	f	4118	Chiroptera	Rhinolophidae	Rhinolophus_ferrumequinum_quelpartis	best	361	0.0876	86	4.1976	595	86	595	0.05	-	4	8	6.2 (0.2,30.2)	13.6 (2.9,34.9)	N/A (N/A,N/A)	N/A (N/A,N/A)	45.5	48.2	0.23	0.035	0.185	0.19
simadna_1000	4999210	4999210	4999210	30	0.00526	1.2	f	65	Perissodactyla	Rhinocerotidae	Rhinoceros_unicornis	best	11	0.1692	8	1.3750	328	8	328	0.00	-	0	0	0.0 (0.0,97.5)	0.0 (0.0,84.2)	N/A (N/A,N/A)	N/A (N/A,N/A)	50.9	N/A	0.02	0.019	0.021	0.922
simadna_1000	4999210	4999210	4999210	31	0.006661	1.61	f	16	Artiodactyla	Ziphiidae	Mesoplodon_ginkgodens	best	7	0.4375	4	1.7500	127	4	127	0.00	-	0	0	N/A (N/A,N/A)	0.0 (0.0,97.5)	N/A (N/A,N/A)	N/A (N/A,N/A)	41.5	N/A	0.01	0.007	0.008	0.87
simadna_1000	4999210	4999210	4999210	32	0.004236	1.16	f	113	Eulipotyphla	Talpidae	Uropsilus_sp._1_FT-2014	best	24	0.2123	9	2.6666	440	8	397	0.00	-	0	1	0.0 (0.0,84.2)	0.0 (0.0,97.5)	N/A (N/A,N/A)	N/A (N/A,N/A)	53.2	62.0	0.02	0.026	0.024	1.075
simadna_1000	4999210	4999210	4999210	33	0.003508	1.0	f	17	Rodentia	Spalacidae	Rhizomys_sinensis	best	7	0.4117	3	2.3333	175	3	175	0.00	-	0	1	N/A (N/A,N/A)	0.0 (0.0,84.2)	N/A (N/A,N/A)	N/A (N/A,N/A)	59.3	38.0	0.01	0.01	0.009	1.118
simadna_1000	4999210	4999210	4999210	34	0.00566	1.26	f	7938	Chiroptera	Phyllostomidae	Artibeus_jamaicensis	best	256	0.0322	74	3.4594	845	74	845	0.05	-	0	2	0.0 (0.0,30.8)	0.0 (0.0,26.5)	N/A (N/A,N/A)	N/A (N/A,N/A)	45.2	42.5	0.2	0.05	0.162	0.312
simadna_1000	4999210	4999210	4999210	35	0.02885	259.0	f	5677	Carnivora	Felidae	Panthera_tigris_amoyensis	best	1123	0.1978	254	4.4212	1931	251	1889	0.17	-	5	10	4.5 (0.6,15.5)	3.7 (0.8,10.4)	N/A (N/A,N/A)	N/A (N/A,N/A)	52.3	53.2	0.78	0.113	0.499	0.227
simadna_1000	4999210	4999210	4999210	41	0.005568	1.07	f	1832	Carnivora	Canidae	Vulpes_chama	best	272	0.1484	47	5.7872	739	47	739	0.03	-	1	1	0.0 (0.0,60.2)	14.3 (0.4,57.9)	N/A (N/A,N/A)	N/A (N/A,N/A)	43.0	58.0	0.12	0.043	0.1	0.436
simadna_1000	4999210	4999210	4999210	42	0.006188	1.21	f	1605	Chiroptera	Pteropodidae	Rousettus_amplexicaudatus	best	67	0.0417	26	2.5769	739	25	703	0.01	-	0	1	0.0 (0.0,52.2)	0.0 (0.0,60.2)	N/A (N/A,N/A)	N/A (N/A,N/A)	48.4	80.0	0.07	0.044	0.064	0.695
simadna_1000	4999210	4999210	4999210	42	0.006342	1.07	f	105	Rodentia	Dipodidae	Sicista_betulina	best	9	0.0857	4	2.2500	184	4	184	0.00	-	0	0	N/A (N/A,N/A)	0.0 (0.0,97.5)	N/A (N/A,N/A)	N/A (N/A,N/A)	55.2	N/A	0.01	0.011	0.011	0.948
simadna_1000	4999210	4999210	4999210	47	0.009364	672.0	f	4107	Carnivora	Viverridae	Genetta_genetta	best	1020	0.2483	180	5.6666	1351	180	1351	0.12	-	3	14	3.3 (0.1,17.2)	4.8 (0.6,16.2)	N/A (N/A,N/A)	N/A (N/A,N/A)	48.7	46.2	0.51	0.08	0.368	0.217
simadna_1000	4999210	4999210	4999210	48	0.008443	1.17	f	27	Primates	Cebidae	Leontopithecus_rosalia	best	21	0.7777	7	3.0000	254	7	254	0.00	-	0	1	0.0 (0.0,97.5)	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)	47.3	35.0	0.01	0.015	0.017	0.876
simadna_1000	4999210	4999210	4999210	49	0.005802	1.51	f	11	Carnivora	Mephitidae	Mydaus_javanensis	best	14	1.2727	6	2.3333	159	6	159	0.00	-	0	0	0.0 (0.0,84.2)	0.0 (0.0,97.5)	N/A (N/A,N/A)	N/A (N/A,N/A)	45.2	N/A	0.01	0.009	0.014	0.669
simadna_1000	4999210	4999210	4999210	6	0.00464	1.0	f	1349	Perissodactyla	Equidae	Equus_quagga_chapmani	best	585	0.4336	33	17.7272	490	33	490	0.02	-	1	3	11.1 (0.3,48.2)	0.0 (0.0,45.9)	N/A (N/A,N/A)	N/A (N/A,N/A)	41.7	38.7	0.08	0.029	0.071	0.418
simadna_1000	4999210	4999210	4999210	6015	0.8508	4360.0	f	2003734	Carnivora	Hyaenidae	Crocuta_crocuta	best	1940735	0.9685	32039	60.5741	16956	30093	16387	20.85	-	104	319	0.8 (0.6,1.0)	0.9 (0.6,1.1)	0.0 (0.0,30.8)	0.0 (0.0,36.9)	47.5	48.6	89.44	0.989	1.0	0.989
simadna_1000	4999210	4999210	4999210	629	0.6579	381.0	f	189035	Proboscidea	Elephantidae	Mammuthus_primigenius	best	189023	0.9999	31904	5.9247	16450	31264	16304	21.66	-	32	105	0.3 (0.2,0.4)	0.3 (0.2,0.4)	0.0 (0.0,70.8)	N/A (N/A,N/A)	60.2	59.9	114.61	0.98	1.0	0.98
simadna_1000	4999210	4999210	4999210	79	0.01627	232.0	f	11528	Carnivora	Herpestidae	Herpestes_ichneumon	best	3944	0.3421	271	14.5535	1661	269	1634	0.18	-	7	16	4.0 (0.5,13.7)	8.2 (2.7,18.1)	0.0 (0.0,97.5)	0.0 (0.0,97.5)	48.3	48.9	0.77	0.099	0.497	0.199
simadna_1000	4999210	4999210	4999210	799	0.8288	1380.0	f	601814	Artiodactyla	Suidae	Sus_scrofa_taivanus	best	599829	0.9967	30696	19.5409	16415	29202	16026	20.23	-	35	102	0.3 (0.2,0.5)	0.3 (0.2,0.4)	0.0 (0.0,60.2)	0.0 (0.0,60.2)	52.1	54.8	97.5	0.996	1.0	0.996
simadna_hd	499886	499886	499886	10	0.001326	2.4	f	49	Eulipotyphla	Soricidae	Crocidura_shantungensis	best	1	0.0204	1	1.0000	37	0	0	0.00	-	0	0	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A	N/A	0.0	0.002	0.001	1.133
simadna_hd	499886	499886	499886	11	0.001838	1.0	f	41	Chiroptera	Vespertilionidae	Myotis_volans	best	1	0.0243	1	1.0000	45	1	45	0.03	-	0	0	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)	45.0	N/A	0.0	0.002	0.002	1.133
simadna_hd	499886	499886	499886	15	0.002276	1.07	f	38	Carnivora	Felidae	Panthera_tigris	best	7	0.1842	7	1.0000	320	7	320	0.24	-	1	3	50.0 (1.3,98.7)	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)	45.7	38.0	0.01	0.018	0.016	1.141
simadna_hd	499886	499886	499886	18	0.003331	1.0	f	29	Carnivora	Mustelidae	Mustela_kathiah	best	5	0.1724	5	1.0000	220	5	220	0.17	-	0	1	0.0 (0.0,97.5)	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)	44.0	40.0	0.01	0.013	0.011	1.139
simadna_hd	499886	499886	499886	185	0.1935	1.05	f	173	Proboscidea	Elephantidae	Mammuthus_primigenius	best	162	0.9364	162	1.0000	6471	160	6384	5.55	++	23	46	38.9 (23.1,56.5)	34.4 (18.6,53.2)	50.0 (6.8,93.2)	50.0 (6.8,93.2)	50.8	51.1	0.49	0.385	0.352	1.095
simadna_hd	499886	499886	499886	28	0.005767	1.36	f	21	Carnivora	Herpestidae	Herpestes_ichneumon	best	1	0.0476	1	1.0000	35	1	35	0.03	-	0	0	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)	35.0	N/A	0.0	0.002	0.001	1.133
simadna_hd	499886	499886	499886	418	0.4336	1.5	f	493	Artiodactyla	Suidae	Sus_scrofa_taivanus	best	481	0.9756	474	1.0147	11830	447	11192	15.53	++	59	109	38.4 (28.1,49.5)	31.4 (21.8,42.3)	20.0 (0.5,71.6)	16.7 (0.4,64.1)	52.2	51.5	1.5	0.717	0.735	0.975
simadna_hd	499886	499886	499886	5	0.001196	1.0	f	73	Rodentia	Muridae	Rattus_hoogerwerfi	best	2	0.0273	2	1.0000	79	2	79	0.06	-	0	0	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)	39.5	N/A	0.0	0.004	0.004	1.134
simadna_hd	499886	499886	499886	5274	0.746	2.74	f	1565	Carnivora	Hyaenidae	Crocuta_crocuta	best	1445	0.9233	1402	1.0306	15722	1315	15000	45.69	++	180	345	37.3 (31.7,43.2)	31.8 (26.2,37.8)	40.9 (20.7,63.6)	37.5 (18.8,59.4)	51.6	51.4	4.23	0.917	0.976	0.939
simadna_hd	499886	499886	499886	57	0.2346	1.39	f	1017	Artiodactyla	Bovidae	Bos_taurus	best	952	0.9360	931	1.0225	14690	901	14337	31.30	++	125	217	39.8 (32.6,47.3)	35.6 (28.3,43.4)	33.3 (11.8,61.6)	33.3 (11.8,61.6)	51.9	51.9	2.96	0.899	0.927	0.969
simadna_hd	499886	499886	499886	67	0.04311	1.0	f	38	Primates	Hominidae	Homo_sapiens_neanderthalensis	best	36	0.9473	36	1.0000	1912	33	1783	1.14	++	7	14	60.0 (14.7,94.7)	62.5 (24.5,91.5)	100.0 (2.5,100.0)	50.0 (1.3,98.7)	54.0	53.4	0.11	0.115	0.098	1.177
simadna_hd	499886	499886	499886	9	0.002228	1.11	f	33	Artiodactyla	Cervidae	Mazama_nemorivaga	best	6	0.1818	6	1.0000	175	6	175	0.20	-	1	1	0.0 (0.0,97.5)	100.0 (2.5,100.0)	0.0 (0.0,97.5)	N/A (N/A,N/A)	44.3	40.0	0.01	0.01	0.014	0.75
simadna_hd_01	499907	499907	499907	1231	0.1741	1.14	f	148	Carnivora	Hyaenidae	Crocuta_crocuta	best	132	0.8918	130	1.0153	5215	124	5007	44.76	++	16	27	32.0 (14.9,53.5)	30.8 (14.3,51.8)	0.0 (0.0,97.5)	0.0 (0.0,70.8)	50.0	51.4	0.37	0.304	0.284	1.067
